"","Plant_species","Id","Pollinator_species","Interaction","Unique_id","Locality","Latitude","Longitude","Order_all","Family_all","Genus_all","Species_all","Subspecies","Sex_or_flower_type","Breeding_system","Breeding_system_info","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","Compatibility","Self_compatible_author","Self_compatible_reference","Self_compatible_doi","Compatibility_genus","Info_level","Asexual_reproduction","Asexual_reproduction_type","Agamospermy/apomixis (yes/no/some_populations)","Flower_colour","Flower_morphology","Flower_symmetry","Corolla_diameter_mean","Corolla_diameter_min","Corolla_diameter_max","Corolla_length_mean","Corolla_length_min","Corolla_length_max","Tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_N","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","References","Reference_info","DOI","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n"
"103","Aphloia theiformis","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"kaiser_bunbury_2010_1.csv","Black River Gorges National Park, Mauritius",-20.452076,57.443254,"Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","brush","actinomorphic","20","NA","NA","10","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","tree","perennial","NA","10","5","roux 2003; byng 2014","journal: flora of southern africa; book: the flowering plants handbook","NA","ISBN: 0992999316","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"104","Deckenia nobilis","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Arecales","Arecaceae","Deckenia","Deckenia nobilis","NA","separated","monoecious","NA","none","qualitative","NA","NA","NA","monoecious","NA","NA","NA","NA","flower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","0","1","NA","NA","tree","perennial","NA","40","20","Gruhlich,2013","web:https://botany.cz/en/deckenia-nobilis/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Dillenia ferruginea","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Dilleniales","Dilleniaceae","Dillenia","Dillenia ferruginea","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","50","25","75","55","40","75","NA","4.5","4","5","NA","NA","12","10","13","NA","NA","tree","perennial","5","20","12","hoogland 1952;friedman 2011","book:a revision.of the genus dillenia ;flora malesiana Leyden book:Flore des Seychelles","https://www.repository.naturalis.nl/document/565622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Dracaena reflexa","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"kaiser_bunbury_2010_16.csv","Black River Gorges National Park, Mauritius",-20.452076,57.443254,"Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","tube","actinomorphic","NA","NA","NA","30","23","37","NA","NA","NA","NA","NA","NA","4.5","3","6","NA","NA","tree","perennial","NA","3","1.5","NA; NA","online: http://www.ville-ge.ch/; online: http://www.efloras.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"107","Dracaena reflexa","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","rizhome","NA","white","tube","actinomorphic","NA","NA","NA","22","15","30","15","14","11","18","NA","NA","3","3","3","NA","NA","shrub","perennial","1","6","3.5","Mwachala,2005","thesis:Systematics and ecology of Dracaena University of Koblenz-Landau","https://kola.opus.hbz-nrw.de/opus45-kola/frontdoor/deliver/index/docId/5/file/Thesis,_Final__aug_2005_version1.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Erythroxylum sechellarum","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum sechellarum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic",NA,NA,NA,"3.2","2.5","4",NA,"1.4","0.8","2","NA",NA,"3","3","3","NA","NA","shrub","perennial","7","8","7.5","friedman,1994","book:Flore des Seychelles Orstom éditions","https://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers12-09/010052287.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Medusagyne oppositifolia","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Theales","Ochnaceae","Medusagyne","Medusagyne oppositifolia","NA","separated & bisexual","andromonoecious","NA","low","quantitative","10","NA","24","partially_self_compatible","finger et al., 2011","journal: molecular ecology","10.1111/j.1365-294X.2011.05228.x","NA","flower","NA","NA","NA","white","brush","actinomorphic","4","3","5","4","NA","NA","NA","2.5","2","3","NA","NA","2","2","3","NA","NA","tree","perennial","8","10","9","dickison,1990","journal:Pl Syst Evol 171,27-55","https://doi.org/10.1007/BF00940595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Memecylon elaeagni","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Myrtales","Meloastomataceae","Memecylon","Memecylon eleagni","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","bowl","actinomorphic","6","5","7","3","NA","NA","NA","4.5","3.5","5.5","NA","NA","7","6","8","NA","NA","shrub","perennial","7","8","7.5","stone, 2014; Coe 1998","journal: taxon; book: a fragile eden","https://doi.org/10.12705/633.10","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Mimusops sechellarum","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Ericales","Sapotaceae","Mimusops","Mimusops Sechellarum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_incompatible","weng lee 2018","thesis:characterization and properties of mimusops elengi","http://eprints.utar.edu.my/2846/1/PE-2018-1306289-1.pdf.pdf","NA","flower","NA","NA","NA","white","tube","actinomorphic","NA","NA","NA","8","6","10","2","4","NA","NA","NA","NA","7","6","8","NA","NA","tree","perennial","3","30","16","baker,1877;","book:flora of the mauritius and of the sychelles London,1877 book:CRC world dictionary of palms","https://archive.org/details/floraofmauritiusOOjgba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Nephrosperma vanhoutteanum","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",2,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","NA","separated","monoecious","NA","NA","NA","NA","NA","NA","monoecious","NA","NA","NA","NA","flower","NA","NA","NA","yellow","brush","actinomorphic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","1","NA","NA","tree","perennial","4","11","7.5","baker,1877;quattrocchii 2017","book:flora of the mauritius and of the sychelles London,1877 book:CRC world dictionary of palms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Paragenipa lancifolia","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Gentianales","Rubiaceae","Paragenipa","Paragenipa wrightii","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","10","9","11","5.5","NA","NA","8","5","4","7","NA","NA","NA","NA","NA","NA","NA","tree","perennial","5","6","5.5","tirvengadum&robbrecht 1985;mouly et al 2014","journal:nordic journal of botany 5(5);journal:Taxon 63 (4) : 801–818","https://doi.org/10.1111/j.1756-1051.1985.tb01676.x","http://dx.doi.org/10.12705/634.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Phoenicophorium borsigianum","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Arecales","Arecaceae","Phoenicophorium","Phoenicophorium borsigianum","NA","separated","monoecious","NA","NA","quantitative","0","0","NA","monoecious","NA","NA","NA","NA","flower","NA","NA","NA","yellow","campanulate","actinomorphic","NA","NA","NA","3.7","NA","NA","NA","NA","NA","NA","NA","NA","3","2","3","NA","N","A","perennial","12","15","13","alapetite,2013","book:ètude de l'apparei reproducteur des palmiers (arecaceae),HAL, université Paris Sud","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Psychotria pervillei","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Gentianales","Rubiaceae","Psychotria","Psychotria pervillei","NA","separated & bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","2.5","2","3","5","3.3","6.6","5","7","4.5","7.5","NA","NA","2","2","3","NA","NA","shrub","perennial","3","4","3.5","friedman,1994","book:Flore des Seychelles Orstom éditions","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Pyrostria bibracteata","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Gentianales","Rubiaceae","Pyrostria","Pyrostria bibracteata","NA","separated","dioecious","NA","NA","quantitative","0","0","NA","dioecious","lantz & bremer","journal: botanical journal of the linnean society"," https://doi.org/10.1111/j.1095-8339.2004.00338.x ","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","4","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","2","10","6","NA; NA","online: http://tropical.theferns.info/; online: https://botany.cz/","NA; NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Soulamea terminalioides","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Sapindales","Simaroubeaceae","Solulamea","Soulamea terminaloides","NA","separated","dioecious","NA","NA","NA","NA","NA","NA","self_incompatible","Schlessman,2014","journal: Int. J. Plant Sci. 175(3):271–286.","10.1086/674452","NA","flower","NA","NA","NA","white",NA,"actinomorphic","2.5","NA","NA","3.3","NA","NA","NA",NA,NA,NA,NA,NA,"1","NA","NA","NA","NA","tree","perennial","5","10","NA","coe 1998","book: a fragile eden portraits of the endemic flowering plants of the granitic Seychelles","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Syzygium wrightii","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Myrtales","Myrtaceae","Syzygium","Syzygium wrightii","NA","separated","dioecious","NA","NA","quantitative","0","0","NA","NA","Fuster et al, 2020","unpublished data","https://figshare.com/articles/PE_Seychelles_Data/12029580/2","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","3.2","2.5","3.8","10","6","12","5","13","NA","NA","NA","NA","35","30","40","NA","NA","tree","perennial","15","20","17","Coe,1998","book: a fragile Eden...Princeton University Press","ISBN: 9780691048178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Timonius flavescens","11_1_kaiser_bunbury_2017_seychelles_bernica.csv","Amblypsilopus (?) nr. simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Gentianales","Rubiaceae","Timonius","Timonius sechellensis","NA","separated","dioecious","NA","none","qualitative","NA","NA","NA","dioecious","NA","NA","N","NA","flower","no","NA","NA","yellow","tube","actinomorphic","3","1","7","6.5","NA","NA","7","6","4","8","NA","NA","4","2","6","NA","NA","tree","perennial","NA","12","6","S.Darwin,1997","journal:sistematic botany 22(1):85-98","https://www.jstor.org/stable/2419678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Alstonia macrophylla","11_2_kaiser_bunbury_2017_seychelles_casse_dent.csv","Amblypsilopus simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","Llamas, K. A. 2003.","book:Tropical Flowering Plants. A Guide To Identification and Cultivation. Timber Press.",NA,"NA","flower","NA","NA","NA","white","tube","actinomorphic","12.5","10","15","5.5","5","6","1.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tree","perennial","6","30","18","khyade et al,2014;Sidiyasa,1998","journal:journal of ethnopharmacology 153 (2014) 1–18;journal:Blumea s,11(1):1-230","https://doi.org/10.1016/j.jep.2014.01.025","http://www.repository.naturalis.nl/document/566777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Cinnamomum verum","11_2_kaiser_bunbury_2017_seychelles_casse_dent.csv","Amblypsilopus simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","NA","bisexual","hermaphrodite","NA","NA","qualitative","NA","NA","NA","possibly self incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5","6","7","9","8","10","4","3.5","2","5","NA","1","1","1","1","NA","NA","tree","perennial","6","18","12","wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Colea seychellarum","11_2_kaiser_bunbury_2017_seychelles_casse_dent.csv","Amblypsilopus simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Scrophulariales","Bignoniaceae","Colea","Colea seychellarum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","yellow","tube","zygomorphic","40","NA","NA","30","25","35","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tree","perennial","8","10","9","friedman,1994; NA","book:Flore des Seychelles Orstom éditions; online: https://botany.cz/","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Excoecaria benthamiana","11_2_kaiser_bunbury_2017_seychelles_casse_dent.csv","Amblypsilopus simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","NA","separated","monoecious","NA","NA","quantitative","0","0","NA","self incompatible","NA","NA","NA","NA","flower","no","NA","no","green","open","actinomorphic","2.2000000000000002","2","2.5","2","NA","NA","NA","NA","NA","NA","NA","NA","3","2","3","NA","NA","tree","perennial","2","10","6","show,1981","journal:kew bulletin vol32(2):239-274","DOI: 10.2307/4113612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Peponidium carinatum","11_2_kaiser_bunbury_2017_seychelles_casse_dent.csv","Amblypsilopus simplex",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Roscheria melanochaetes","11_2_kaiser_bunbury_2017_seychelles_casse_dent.csv","Amblypsilopus simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Arecales","Arecaceae","Roscheria","Roscheria melanochaetes","NA","separated","monoecious","NA","NA","quantitative","0","0","NA","monoecious","NA","NA","NA","NA","flower","NA","NA","NA","pink","NA","actinomorphic","3","2","4","3","NA","NA","NA","4.8499999999999996","0","5","NA","NA","1","1","1","NA","NA","tree","perennial","5","8","6.5","dransfield,2008","online: palmweb:Palms of the world on line","http://www.palmweb.org/cdm_dataportal/taxon/a1cfc80d-8c5c-4d52-9ec7-7e83095b9307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Campnosperma seychellarum","11_3_kaiser_bunbury_2017_seychelles_copolia.csv","Amblypsilopus simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Sapindales","Anacardiaceae","Campnosperma","Campnosperma seychellarum","NA","separated","dioecious","NA","NA","quantitative","0","0","NA","dioecious","NA","NA","NA","NA","flower","NA","NA","NA","white","NA","actinomorphic","2.7","2.5","3","3","2.5","3.5",NA,"1","0.5","1.5","NA","NA","1","1","1","NA","NA","tree","perennial","NA","20","10","coe 1998","book: a fragile eden: portrait of the endemic flowering plants of the granitic Seychelles","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Craterispermum microdon","11_3_kaiser_bunbury_2017_seychelles_copolia.csv","Amblypsilopus simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Gentianales","Rubiaceae","Craterispermum","Craterispermum microdon","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","tube","actinomorphic","4.5","4","5","5.5","5","6","5","4.5","4","5","NA","NA","2","1","2","NA","NA","shrub","perennial","7","8","7.5","Friedman,1994","book:Flore des Seychelles. Dicotylédones. OSTROM, Paris,","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Nepenthes pervillei","11_3_kaiser_bunbury_2017_seychelles_copolia.csv","Amblypsilopus simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Caryophyllales","Nepenthaceae","Nepenthes","Nepenthes pervillei","NA","separated","dioecious","NA","none","qualitative","NA","NA","NA","dioecious","Brittnacher,2011","web:ICPS","https://www.carnivorousplants.org/cp/evolution/Nepenthes","NA","flower","NA","NA","NA","greenish","tube&dish","actinomorphic","20","female flower","NA","60","female flower","NA","NA","NA","NA","NA","NA","NA","24","NA","NA","NA","NA","vine","perennial","3","8","6","Scharmann et al,2017","journal:sistematic botany 22(1):85-98","https://doi.org/10.1101/240259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Northea seychellana","11_3_kaiser_bunbury_2017_seychelles_copolia.csv","Amblypsilopus simplex",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Ericales","Sapotaceae","Northea","Northia seychellana","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","12","11","13","6.5","6","7","4","8","NA","NA","NA","NA","5","4","6","NA","NA","tree","perennial","4","20","12","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Polyscias crassa","11_3_kaiser_bunbury_2017_seychelles_copolia.csv","Amblypsilopus simplex",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Chrysobalanus icaco","11_4_kaiser_bunbury_2017_seychelles_reserve.csv","Agrius convolvuli",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Malpighiales","Chrysobalanaceae","Chrysobalanus","Chrysobalanus icaco","NA","bisexual","hermaphrodite","NA","low","quantitative","3.3","NA","1452","self_compatible","sa & locatelli, 2012","journal: brazilian journal of ecology","ISSN 1516-5868","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","10","NA","NA","9","7","11","NA","NA","NA","NA","NA","NA","1","1","2","NA","NA","shrub","perennial","1.5","3","2.2000000000000002","NA","NA","NA",NA,NA,NA,NA,NA,"9.5","1064","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA
"132","Ochna kirkii","11_4_kaiser_bunbury_2017_seychelles_reserve.csv","Agrius convolvuli",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Malpighiales","Ochnaceae","Ochna","Ochna kirkii","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","propagules","NA","yellow","dish","actinomorphic","45","38","51","12","10","14",NA,"13","NA","NA","NA","NA","9","3","15","NA","NA","shrub","perennial","1","1.5","1.2","Amaral &Bittrich,2014","book:ochnaceae,flowering plants Springer,Berlin","https://doi.org/10.1007/978-3-642-39417-1_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Premna serratifolia","11_4_kaiser_bunbury_2017_seychelles_reserve.csv","Agrius convolvuli",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Lamiales","Lamiaceae","Premna","Premna serratifolia","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","greenish","tube","zygomorphic","2.2999999999999998","1.5","3","4.5","4","5","3.5","4.8","3","8","NA","NA","3","2","4","NA","NA","shrub","perennial","1","6","3.5","Mali,2015","journal:anc sci life. 35(1): 4–11.","10.4103/0257-7941.165624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Syzygium jambos","11_4_kaiser_bunbury_2017_seychelles_reserve.csv","Agrius convolvuli",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Ixora pudica","11_5_kaiser_bunbury_2017_seychelles_rosebelle.csv","Apis mellifera",7,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Gentianales","Rubiaceae","Ixora","Ixora pudica","NA","separated","monoecious","NA","none","qualitative","NA","NA","NA","monoecious","NA","NA","NA","NA","flower","NA","NA","NA","white","tube","actinomorphic","9","8","10","30","12","48","7","11","10","12","NA","NA","2","1","2","NA","NA","shrub","perennial","3","7","5","Mouly et al, 2009","journal: American Journal of Botany 96(3): 686–706.","https://doi.org/10.3732/ajb.0800235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Pittosporum senacia","11_5_kaiser_bunbury_2017_seychelles_rosebelle.csv","Apis mellifera",0,"kaiser_bunbury_2010_5.csv","Black River Gorges National Park, Mauritius",-20.452076,57.443254,"Apiales","Pittosporaceae","Pittosporum","Pittosporum senacia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"137","Pittosporum senacia","11_5_kaiser_bunbury_2017_seychelles_rosebelle.csv","Apis mellifera",0,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Apiales","Pittosporaceae","Pittosporum","Pittosporum senacia","NA","separated","dioecious","NA","NA","quantitative","0","0","NA","dioecious","NA","NA","NA","NA","flower","NA","NA","NA","yellow","tube","actinomorphic","11","10","12","7.5","5","10",NA,"6","4","8","NA","NA","6","4","8","NA","NA","shrub","perennial","4","5","4.5","koode,1976","journal:kew bulletin vol31(2):221-225","DOI: 10.2307/4109168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Psidium cattleianum","11_5_kaiser_bunbury_2017_seychelles_rosebelle.csv","Apis mellifera",24,"14_metaweb_kaiser_bunbury_2017","Republic of Seychelles",8,25,"Myrtales","Myrtaceae","Psidium","Psidium cattleanum","NA","bisexual","hermaphrodite","NA","NA","quantitative","0","0","NA","partially_self_compatible","Fidalgo&Kleinert,2009","journal online: https://www.tandfonline.com/loi/tnzb20","https://doi.org/10.1080/0028825x.2009.9672712","NA","flower","yes","NA","NA","white","disc","zygomorphic","20","15","25","NA","5","6","NA","9","6","12","NA","NA","127","105","149","22","NA","tree","perennial","2","13","7.5","rojas-sandoval,2015","online:CABI,2020,psidium cattleianum.Invasive Species Compendium","www.cabi.org/isc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
