"","order","family","species"
"605","Fabales","Fabaceae","Robinia pseudoacacia"
"606",NA,NA,NA
"607","Lamiales","Plantaginaceae","Penstemon laevigatus"
"608","Geraniales","Geraniaceae","Geranium maculatum"
"609","Lamiales","Orobanchaceae","Dasistoma macrophylla"
"610","Asterales","Asteraceae","Solidago speciosa"
"611","Rosales","Rosaceae","Crataegus coccinea"
"612","Gentianales","Apocynaceae","Asclepias syriaca"
"613","Ranunculales","Ranunculaceae","Thalictrum dasycarpum"
"614","Apiales","Apiaceae","Taenidia integerrima"
"615","Malpighiales","Salicaceae","Salix cordata"
"616","Ranunculales","Berberidaceae","Podophyllum peltatum"
"617",NA,NA,NA
"618","Santalales","Comandraceae","Comandra umbellata"
"619",NA,NA,NA
"620","Poales","Poaceae","Panicum virgatum"
"621","Ericales","Polemoniaceae","Phlox pilosa"
"622","Ranunculales","Ranunculaceae","Myosurus minimus"
"623",NA,NA,NA
"624",NA,NA,NA
"625","Malpighiales","Violaceae","Viola cucullata"
"626","Asterales","Asteraceae","Eupatorium perfoliatum"
"627","Asterales","Asteraceae","Eupatorium perfoliatum"
"628","Asterales","Asteraceae","Cirsium pumilum"
"629","Asterales","Asteraceae","Cirsium pumilum"
"630","Asterales","Asteraceae","Conoclinium coelestinum"
"631","Asterales","Asteraceae","Conoclinium coelestinum"
"632","Gentianales","Apocynaceae","Asclepias verticillata"
"633","Ranunculales","Ranunculaceae","Aquilegia canadensis"
"634","Asterales","Asteraceae","Helianthus mollis"
"635","Asterales","Asteraceae","Helianthus mollis"
"636",NA,NA,NA
"637","Asterales","Asteraceae","Bidens laevis"
"638","Asterales","Asteraceae","Bidens laevis"
"639",NA,NA,NA
"640",NA,NA,NA
"641",NA,NA,NA
"642","Liliales","Liliaceae","Lilium superbum"
"643","Ranunculales","Ranunculaceae","Thalictrum thalictroides"
"644",NA,NA,NA
"645","Asterales","Asteraceae","Helenium autumnale"
"646","Asterales","Asteraceae","Helenium autumnale"
"647","Asterales","Asteraceae","Bidens frondosa"
"648","Asterales","Asteraceae","Bidens frondosa"
"649","Asterales","Asteraceae","Packera aurea"
"650","Asterales","Asteraceae","Packera aurea"
"651","Asterales","Asteraceae","Eupatorium altissimum"
"652","Asterales","Asteraceae","Eupatorium altissimum"
"653","Malpighiales","Hypericaceae","Hypericum punctatum"
"654","Asterales","Asteraceae","Coreopsis tripteris"
"655","Asterales","Asteraceae","Coreopsis tripteris"
"656",NA,NA,NA
"657",NA,NA,NA
"658","Lamiales","Verbenaceae","Verbena hastata"
"659","Gentianales","Gentianaceae","Gentiana andrewsii"
"660","Fabales","Fabaceae","Amorpha fruticosa"
"661","Proteales","Nelumbonaceae","Nelumbo lutea"
"662","Asterales","Asteraceae","Silphium laciniatum"
"663","Asterales","Asteraceae","Silphium laciniatum"
"664",NA,NA,NA
"665","Ericales","Primulaceae","Lysimachia lanceolata"
"666",NA,NA,NA
"667","Malpighiales","Salicaceae","Salix humilis"
"668","Malpighiales","Salicaceae","Salix humilis"
"669",NA,NA,NA
"670",NA,NA,NA
"671",NA,NA,NA
"672","Lamiales","Lamiaceae","Pycnanthemum virginianum"
"673",NA,NA,NA
"674","Lamiales","Orobanchaceae","Aphyllon uniflorum"
"675","Apiales","Apiaceae","Zizia aurea"
"676","Asterales","Asteraceae","Helianthus divaricatus"
"677","Asterales","Asteraceae","Helianthus divaricatus"
"678","Fabales","Fabaceae","Desmodium canescens"
"679","Fabales","Fabaceae","Desmodium illinoense"
"680",NA,NA,NA
"681","Solanales","Convolvulaceae","Ipomoea pandurata"
"682","Geraniales","Geraniaceae","Geranium carolinianum"
"683","Brassicales","Brassicaceae","Boechera laevigata"
"684","Caryophyllales","Amaranthaceae","Amaranthus spinosus"
"685","Brassicales","Brassicaceae","Cardamine bulbosa"
"686","Ranunculales","Papaveraceae","Dicentra cucullaria"
"687","Asterales","Asteraceae","Silphium terebinthinaceum"
"688",NA,NA,NA
"689","Malpighiales","Hypericaceae","Hypericum cistifolium"
"690","Malvales","Malvaceae","Abutilon theophrasti"
"691","Asterales","Asteraceae","Erigeron pulchellus"
"692","Fabales","Fabaceae","Lespedeza procumbens"
"693","Lamiales","Phrymaceae","Phryma leptostachya"
"694","Asterales","Asteraceae","Helianthus tuberosus"
"695","Solanales","Solanaceae","Physalis virginiana"
"696","Asterales","Asteraceae","Boltonia asteroides"
"697","Asterales","Asteraceae","Boltonia asteroides"
"698","Asterales","Asteraceae","Boltonia asteroides"
"699","Fabales","Fabaceae","Tephrosia virginiana"
"700","Apiales","Apiaceae","Cicuta maculata"
"701","Lamiales","Lamiaceae","Monarda fistulosa"
"702","Alismatales","Araceae","Arisaema triphyllum"
"703",NA,NA,NA
"704",NA,NA,NA
"705",NA,NA,NA
"706",NA,NA,NA
"707",NA,NA,NA
"708","Solanales","Solanaceae","Physalis lanceolata"
"709","Lamiales","Lamiaceae","Physostegia virginiana"
"710","Cornales","Cornaceae","Cornus florida"
"711","Ranunculales","Ranunculaceae","Isopyrum biternatum"
"712","Lamiales","Lamiaceae","Agastache nepetoides"
"713","Solanales","Solanaceae","Datura stramonium"
"714","Apiales","Apiaceae","Cryptotaenia canadensis"
"715","Fabales","Fabaceae","Lespedeza virginica"
"716",NA,NA,NA
"717",NA,NA,NA
"718",NA,NA,NA
"719","Rosales","Rosaceae","Prunus serotina"
"720",NA,NA,NA
"721",NA,NA,NA
"722","Lamiales","Plantaginaceae","Linaria vulgaris"
"723","Lamiales","Phrymaceae","Mimulus alatus"
"724","Ranunculales","Ranunculaceae","Ranunculus septentrionalis"
"725","Lamiales","Plantaginaceae","Veronica arvensis"
"726",NA,NA,NA
"727",NA,NA,NA
"728",NA,NA,NA
"729","Malpighiales","Salicaceae","Populus tremuloides"
"730","Malpighiales","Salicaceae","Populus tremuloides"
"731",NA,NA,NA
"732","Malpighiales","Salicaceae","Salix nigra"
"733","Malpighiales","Salicaceae","Salix nigra"
"734","Asterales","Asteraceae","Parthenium integrifolium"
"735","Asterales","Asteraceae","Parthenium integrifolium"
"736","Asterales","Asteraceae","Parthenium integrifolium"
"737","Lamiales","Orobanchaceae","Aureolaria grandiflora"
"738","Asterales","Campanulaceae","Lobelia siphilitica"
"739",NA,NA,NA
"740","Asterales","Asteraceae","Helianthus annuus"
"741","Asterales","Asteraceae","Helianthus annuus"
"742","Asterales","Asteraceae","Helianthus annuus"
"743",NA,NA,NA
"744","Asterales","Campanulaceae","Campanula americana"
"745",NA,NA,NA
"746",NA,NA,NA
"747","Lamiales","Lamiaceae","Scutellaria lateriflora"
"748","Asparagales","Iridaceae","Iris versicolor"
"749","Malpighiales","Euphorbiaceae","Euphorbia corollata"
"750","Malpighiales","Euphorbiaceae","Euphorbia corollata"
"751","Dipsacales","Adoxaceae","Sambucus canadensis"
"752","Caryophyllales","Polygonaceae","Persicaria hydropiper"
"753",NA,NA,NA
"754","Asterales","Asteraceae","Bidens connata"
"755","Asterales","Asteraceae","Antennaria plantaginifolia"
"756","Asterales","Asteraceae","Antennaria plantaginifolia"
"757",NA,NA,NA
"758",NA,NA,NA
"759","Ranunculales","Ranunculaceae","Delphinium tricorne"
"760",NA,NA,NA
"761","Lamiales","Orobanchaceae","Castilleja coccinea"
"762",NA,NA,NA
"763","Rosales","Rosaceae","Geum vernum"
"764","Caryophyllales","Polygonaceae","Persicaria hydropiperoides"
"765",NA,NA,NA
"766",NA,NA,NA
"767",NA,NA,NA
"768",NA,NA,NA
"769","Asterales","Asteraceae","Nabalus asper"
"770","Asterales","Asteraceae","Erigeron canadensis"
"771","Asterales","Asteraceae","Erigeron canadensis"
"772","Asterales","Asteraceae","Erigeron canadensis"
"773","Gentianales","Apocynaceae","Asclepias purpurascens"
"774","Myrtales","Lythraceae","Ammannia coccinea"
"775","Dipsacales","Caprifoliaceae","Triosteum perfoliatum"
"776","Myrtales","Onagraceae","Oenothera fruticosa"
"777",NA,NA,NA
"778","Solanales","Convolvulaceae","Cuscuta glomerata"
"779","Celastrales","Celastraceae","Celastrus scandens"
"780","Lamiales","Lamiaceae","Leonurus cardiaca"
"781","Asterales","Asteraceae","Solidago ulmifolia"
"782","Asterales","Asteraceae","Solidago ulmifolia"
"783","Asterales","Asteraceae","Solidago ulmifolia"
"784","Poales","Poaceae","Zea mays"
"785","Fabales","Fabaceae","Astragalus canadensis"
"786","Lamiales","Scrophulariaceae","Scrophularia marilandica"
"787","Malpighiales","Passifloraceae","Passiflora lutea"
"788","Malpighiales","Hypericaceae","Hypericum ascyron"
"789",NA,NA,NA
"790",NA,NA,NA
"791","Asterales","Asteraceae","Achillea millefolium"
"792","Asterales","Asteraceae","Achillea millefolium"
"793","Asterales","Asteraceae","Achillea millefolium"
"794","Lamiales","Phrymaceae","Mimulus ringens"
"795",NA,NA,NA
"796",NA,NA,NA
"797",NA,NA,NA
"798","Sapindales","Sapindaceae","Aesculus hippocastanum"
"799","Caryophyllales","Montiaceae","Claytonia virginica"
"800",NA,NA,NA
"801",NA,NA,NA
"802",NA,NA,NA
"803","Ericales","Primulaceae","Primula meadia"
"804","Myrtales","Lythraceae","Lythrum alatum"
"805","Lamiales","Lamiaceae","Lycopus americanus"
"806","Caryophyllales","Phytolaccaceae","Phytolacca americana"
"807",NA,NA,NA
"808","Asterales","Asteraceae","Cirsium discolor"
"809","Ranunculales","Ranunculaceae","Ranunculus fascicularis"
"810","Cornales","Hydrangeaceae","Hydrangea arborescens"
"811","Malpighiales","Violaceae","Viola striata"
"812","Liliales","Melanthiaceae","Veratrum virginicum"
"813",NA,NA,NA
"814","Asterales","Asteraceae","Anthemis cotula"
"815","Asterales","Asteraceae","Anthemis cotula"
"816","Asterales","Asteraceae","Anthemis cotula"
"817","Lamiales","Lamiaceae","Marrubium vulgare"
"818","Fabales","Fabaceae","Amorpha canescens"
"819",NA,NA,NA
"820","Lamiales","Verbenaceae","Verbena stricta"
"821","Sapindales","Rutaceae","Ptelea trifoliata"
"822","Rosales","Rhamnaceae","Ceanothus americanus"
"823","Ranunculales","Ranunculaceae","Clematis pitcheri"
"824","Rosales","Rosaceae","Prunus americana"
"825","Asparagales","Amaryllidaceae","Nothoscordum bivalve"
"826","Caryophyllales","Polygonaceae","Persicaria pensylvanica"
"827","Caryophyllales","Polygonaceae","Persicaria amphibia"
"828","Boraginales","Boraginaceae","Mertensia virginica"
"829",NA,NA,NA
"830",NA,NA,NA
"831",NA,NA,NA
"832",NA,NA,NA
"833","Sapindales","Sapindaceae","Aesculus glabra"
"834","Asterales","Asteraceae","Eupatorium serotinum"
"835","Asterales","Asteraceae","Eupatorium serotinum"
"836","Asterales","Asteraceae","Eupatorium serotinum"
"837","Solanales","Convolvulaceae","Calystegia sepium"
"838","Gentianales","Apocynaceae","Apocynum androsaemifolium"
"839","Apiales","Apiaceae","Erigenia bulbosa"
"840","Myrtales","Onagraceae","Oenothera gaura"
"841",NA,NA,NA
"842",NA,NA,NA
"843","Asterales","Asteraceae","Bidens bipinnata"
"844","Asterales","Asteraceae","Bidens bipinnata"
"845","Asterales","Asteraceae","Bidens bipinnata"
"846",NA,NA,NA
"847","Asterales","Asteraceae","Ambrosia trifida"
"848","Vitales","Vitaceae","Vitis cordifolia"
"849",NA,NA,NA
"850","Fabales","Fabaceae","Trifolium hybridum"
"851","Apiales","Apiaceae","Pastinaca sativa"
"852","Lamiales","Verbenaceae","Verbena urticifolia"
"853","Malvales","Thymelaeaceae","Dirca palustris"
"854",NA,NA,NA
"855",NA,NA,NA
"856",NA,NA,NA
"857",NA,NA,NA
"858",NA,NA,NA
"859","Fabales","Fabaceae","Baptisia bracteata"
"860",NA,NA,NA
"861","Fabales","Fabaceae","Trifolium reflexum"
"862","Dipsacales","Caprifoliaceae","Dipsacus fullonum"
"863",NA,NA,NA
"864","Apiales","Apiaceae","Sanicula marilandica"
"865","Asterales","Asteraceae","Silphium integrifolium"
"866","Asterales","Asteraceae","Silphium integrifolium"
"867","Asterales","Asteraceae","Silphium integrifolium"
"868","Asterales","Asteraceae","Euthamia graminifolia"
"869","Asterales","Asteraceae","Euthamia graminifolia"
"870","Asterales","Asteraceae","Euthamia graminifolia"
"871","Sapindales","Anacardiaceae","Toxicodendron pubescens"
"872","Malpighiales","Salicaceae","Salix amygdaloides"
"873","Malpighiales","Salicaceae","Salix amygdaloides"
"874","Lamiales","Lamiaceae","Mentha arvensis"
"875","Rosales","Rosaceae","Agrimonia striata"
"876","Asterales","Asteraceae","Silphium perfoliatum"
"877","Asterales","Asteraceae","Silphium perfoliatum"
"878","Asterales","Asteraceae","Silphium perfoliatum"
"879","Malpighiales","Violaceae","Viola sagittata"
"880","Brassicales","Brassicaceae","Capsella bursa-pastoris"
"881","Asterales","Asteraceae","Lactuca floridana"
"882","Asterales","Asteraceae","Lactuca floridana"
"883","Asterales","Asteraceae","Lactuca floridana"
"884","Lamiales","Lamiaceae","Hedeoma pulegioides"
"885",NA,NA,NA
"886","Caryophyllales","Caryophyllaceae","Silene stellata"
"887","Ranunculales","Ranunculaceae","Anemone acutiloba"
"888","Rosales","Rhamnaceae","Ventia lanceolata"
"889","Myrtales","Onagraceae","Circaea lutetiana"
"890","Malpighiales","Salicaceae","Populus deltoides"
"891","Malpighiales","Salicaceae","Populus deltoides"
"892","Oxalidales","Oxalidaceae","Oxalis stricta"
"893","Ericales","Balsaminaceae","Impatiens capensis"
"894",NA,NA,NA
"895","Lamiales","Lamiaceae","Nepeta cataria"
"896",NA,NA,NA
"897","Malpighiales","Violaceae","Viola pubescens"
"898",NA,NA,NA
"899",NA,NA,NA
"900",NA,NA,NA
"901",NA,NA,NA
"902",NA,NA,NA
"903",NA,NA,NA
"904","Sapindales","Sapindaceae","Acer negundo"
"905","Sapindales","Sapindaceae","Acer negundo"
"906","Asterales","Asteraceae","Solidago rigida"
"907","Asterales","Asteraceae","Solidago rigida"
"908","Asterales","Asteraceae","Solidago rigida"
"909","Asterales","Asteraceae","Rudbeckia laciniata"
"910","Asterales","Asteraceae","Rudbeckia laciniata"
"911","Asterales","Asteraceae","Rudbeckia laciniata"
"912",NA,NA,NA
"913",NA,NA,NA
"914",NA,NA,NA
"915","Solanales","Convolvulaceae","Ipomoea purpurea"
"916","Malvales","Malvaceae","Hibiscus trionum"
"917","Apiales","Apiaceae","Chaerophyllum procumbens"
"918","Rosales","Ulmaceae","Ulmus americana"
"919","Rosales","Ulmaceae","Ulmus americana"
"920","Fabales","Fabaceae","Lespedeza capitata"
"921",NA,NA,NA
"922",NA,NA,NA
"923",NA,NA,NA
"924","Ericales","Polemoniaceae","Polemonium reptans"
"925","Asterales","Asteraceae","Helianthus x laetiflorus"
"926","Asterales","Asteraceae","Helianthus x laetiflorus"
"927","Asterales","Asteraceae","Helianthus x laetiflorus"
"928","Brassicales","Brassicaceae","Cardamine concatenata"
"929","Asterales","Asteraceae","Erigeron annuus"
"930","Asterales","Asteraceae","Erigeron annuus"
"931","Asterales","Asteraceae","Erigeron annuus"
"932","Ericales","Polemoniaceae","Phlox glaberrima"
"933",NA,NA,NA
"934","Fabales","Fabaceae","Desmodium dillenii"
"935","Rosales","Rosaceae","Geum canadense"
"936","Asterales","Asteraceae","Arctium minus"
"937","Asterales","Asteraceae","Arctium minus"
"938","Asterales","Asteraceae","Arctium minus"
"939","Asterales","Asteraceae","Vernonia fasciculata"
"940","Asterales","Asteraceae","Vernonia fasciculata"
"941","Asterales","Asteraceae","Vernonia fasciculata"
"942","Asterales","Asteraceae","Lactuca canadensis"
"943","Asterales","Asteraceae","Lactuca canadensis"
"944","Asterales","Asteraceae","Lactuca canadensis"
"945","Asparagales","Orchidaceae","Liparis liliifolia"
"946",NA,NA,NA
"947","Myrtales","Onagraceae","Oenothera biennis"
"948","Asterales","Asteraceae","Solidago missouriensis"
"949","Asterales","Asteraceae","Solidago missouriensis"
"950","Asterales","Asteraceae","Solidago missouriensis"
"951","Caryophyllales","Caryophyllaceae","Cerastium nutans"
"952","Gentianales","Apocynaceae","Asclepias tuberosa"
"953","Asterales","Asteraceae","Rudbeckia triloba"
"954","Asterales","Asteraceae","Rudbeckia triloba"
"955","Asterales","Asteraceae","Rudbeckia triloba"
"956","Brassicales","Brassicaceae","Lepidium virginicum"
"957",NA,NA,NA
"958","Fabales","Fabaceae","Gleditsia triacanthos"
"959","Fabales","Fabaceae","Gleditsia triacanthos"
"960","Fabales","Fabaceae","Melilotus albus"
"961","Solanales","Solanaceae","Solanum nigrum"
"962","Asterales","Asteraceae","Cirsium altissimum"
"963","Asterales","Asteraceae","Cirsium altissimum"
"964","Asterales","Asteraceae","Cirsium altissimum"
"965","Liliales","Melanthiaceae","Trillium sessile"
"966","Solanales","Convolvulaceae","Ipomoea hederacea"
"967","Lamiales","Lamiaceae","Teucrium canadense"
"968","Fabales","Fabaceae","Desmodium sessilifolium"
"969","Asterales","Asteraceae","Rudbeckia hirta"
"970","Asterales","Asteraceae","Rudbeckia hirta"
"971","Asterales","Asteraceae","Rudbeckia hirta"
"972","Asparagales","Hypoxidaceae","Hypoxis hirsuta"
"973","Gentianales","Apocynaceae","Asclepias incarnata"
"974",NA,NA,NA
"975",NA,NA,NA
"976","Ericales","Ebenaceae","Diospyros virginiana"
"977","Ericales","Ebenaceae","Diospyros virginiana"
"978","Malpighiales","Violaceae","Viola pedata"
"979","Asterales","Asteraceae","Eutrochium purpureum"
"980","Asterales","Asteraceae","Eutrochium purpureum"
"981","Asterales","Asteraceae","Eutrochium purpureum"
"982","Rosales","Rosaceae","Rubus occidentalis"
"983","Asterales","Asteraceae","Solidago canadensis"
"984","Asterales","Asteraceae","Solidago canadensis"
"985","Asterales","Asteraceae","Solidago canadensis"
"986","Liliales","Smilacaceae","Smilax hispida"
"987","Liliales","Smilacaceae","Smilax hispida"
"988","Sapindales","Rutaceae","Zanthoxylum americanum"
"989","Sapindales","Rutaceae","Zanthoxylum americanum"
"990",NA,NA,NA
"991","Lamiales","Verbenaceae","Lantana camara"
"992","Rosales","Rosaceae","Crataegus crus-galli"
"993","Apiales",NA,"Sanicula canadensis"
"994","Apiales",NA,"Sanicula canadensis"
"995",NA,NA,NA
"996","Liliales","Liliaceae","Erythronium albidum"
"997","Asparagales","Asparagaceae","Maianthemum racemosum"
"998","Malpighiales","Violaceae","Hybanthus concolor"
"999","Fabales","Fabaceae","Crotalaria sagittalis"
"1000",NA,NA,NA
"1001","Malvales","Malvaceae","Sida spinosa"
"1002","Asterales","Asteraceae","Rudbeckia subtomentosa"
"1003","Asterales","Asteraceae","Rudbeckia subtomentosa"
"1004","Asterales","Asteraceae","Rudbeckia subtomentosa"
"1005",NA,NA,NA
"1006",NA,NA,NA
"1007","Sapindales","Anacardiaceae","Rhus copallinum"
"1008","Lamiales","Lamiaceae","Blephilia hirsuta"
"1009","Oxalidales","Oxalidaceae","Oxalis violacea"
"1010","Oxalidales","Oxalidaceae","Oxalis violacea"
"1011","Asparagales","Asparagaceae","Asparagus officinalis"
"1012","Asparagales","Asparagaceae","Asparagus officinalis"
"1013","Solanales","Solanaceae","Solanum rostratum"
"1014",NA,NA,NA
"1015","Asparagales","Iridaceae","Iris hexagona"
"1016","Ranunculales","Ranunculaceae","Ranunculus abortivus"
"1017","Dipsacales","Caprifoliaceae","Valerianella radiata"
"1018","Asparagales","Asparagaceae","Maianthemum stellatum"
"1019","Asterales","Asteraceae","Leucanthemum vulgare"
"1020","Asterales","Asteraceae","Leucanthemum vulgare"
"1021","Asterales","Asteraceae","Leucanthemum vulgare"
"1022","Dipsacales","Adoxaceae","Viburnum prunifolium"
"1023","Malpighiales","Violaceae","Viola pedatifida"
"1024","Lamiales","Plantaginaceae","Veronica peregrina"
"1025","Fabales","Fabaceae","Trifolium pratense"
"1026","Fabales","Fabaceae","Orbexilum onobrychis"
"1027","Apiales","Apiaceae","Eryngium yuccifolium"
"1028","Fabales","Fabaceae","Stylosanthes biflora"
"1029","Boraginales","Hydrophyllaceae","Hydrophyllum appendiculatum"
"1030",NA,NA,NA
"1031",NA,NA,NA
"1032",NA,NA,NA
"1033",NA,NA,NA
"1034","Asterales","Asteraceae","Liatris scariosa"
"1035","Asterales","Asteraceae","Liatris scariosa"
"1036","Asterales","Asteraceae","Liatris scariosa"
"1037",NA,NA,NA
"1038","Boraginales","Boraginaceae","Cynoglossum officinale"
"1039","Lamiales","Plantaginaceae","Penstemon hirsutus"
"1040","Apiales","Apiaceae","Oxypolis rigidior"
"1041",NA,NA,NA
"1042",NA,NA,NA
"1043",NA,NA,NA
"1044",NA,NA,NA
"1045","Ranunculales","Papaveraceae","Sanguinaria canadensis"
"1046","Asterales","Asteraceae","Heliopsis helianthoides"
"1047",NA,NA,NA
"1048","Sapindales","Anacardiaceae","Rhus glabra"
"1049",NA,NA,NA
"1050",NA,NA,NA
"1051","Fabales","Polygalaceae","Polygala sanguinea"
"1052","Asparagales","Iridaceae","Sisyrinchium angustifolium"
"1053","Solanales","Convolvulaceae","Cuscuta cephalanthi"
"1054","Apiales","Apiaceae","Heracleum maximum"
"1055","Apiales","Apiaceae","Anethum graveolens"
"1056",NA,NA,NA
"1057","Liliales","Smilacaceae","Smilax herbacea"
"1058","Rosales","Rosaceae","Potentilla canadensis"
"1059","Ranunculales","Berberidaceae","Caulophyllum thalictroides"
"1060","Poales","Poaceae","Poa pratensis"
"1061","Lamiales","Plantaginaceae","Gratiola virginiana"
"1062","Commelinales","Commelinaceae","Tradescantia virginiana"
"1063","Rosales","Rosaceae","Crataegus mollis"
"1064","Caryophyllales","Caryophyllaceae","Stellaria media"
"1065","Asterales","Asteraceae","Solidago nemoralis"
"1066","Lamiales","Lamiaceae","Monarda bradburiana"
"1067","Sapindales","Sapindaceae","Acer saccharinum"
"1068","Caryophyllales","Caryophyllaceae","Silene nivea"
"1069",NA,NA,NA
"1070",NA,NA,NA
"1071","Piperales","Aristolochiaceae","Aristolochia tomentosa"
"1072","Asterales","Asteraceae","Erigeron philadelphicus"
"1073","Lamiales","Lamiaceae","Scutellaria parvula"
"1074","Fabales","Fabaceae","Lotus uliginosus"
"1075","Apiales","Apiaceae","Pimpinella major"
"1076","Rosales","Rosaceae","Filipendula ulmaria"
"1077","Lamiales","Plantaginaceae","Veronica serpyllifolia"
"1078","Caryophyllales","Caryophyllaceae","Silene flos-cuculi"
"1079","Apiales","Apiaceae","Angelica sylvestris"
"1080","Boraginales","Boraginaceae","Myosotis scorpioides"
"1081","Caryophyllales","Caryophyllaceae","Silene dioica"
"1082","Fabales","Fabaceae","Vicia sepium"
"1083","Lamiales","Lamiaceae","Mentha aquatica"
"1084","Dipsacales","Caprifoliaceae","Valeriana officinalis"
"1085","Rosales","Rosaceae","Potentilla erecta"
"1086","Lamiales","Plantaginaceae","Veronica beccabunga"
"1087","Ranunculales","Ranunculaceae","Ranunculus acris"
"1088","Myrtales","Lythraceae","Lythrum salicaria"
"1089","Asterales","Asteraceae","Cirsium vulgare"
"1090","Rosales","Rosaceae","Geum rivale"
"1091","Asterales","Asteraceae","Cirsium oleraceum"
"1092","Asterales","Asteraceae","Centaurea jacea"
"1093","Lamiales","Plantaginaceae","Veronica chamaedrys"
"1094","Caryophyllales","Caryophyllaceae","Stellaria graminea"
"1095","Caryophyllales","Caryophyllaceae","Stellaria palustris"
"1096","Apiales","Apiaceae","Anthriscus sylvestris"
"1097","Fabales","Fabaceae","Trifolium campestre"
"1098","Ranunculales","Ranunculaceae","Ranunculus flammula"
"1099",NA,NA,NA
"1100","Asterales","Asteraceae","Crepis paludosa"
"1101","Ericales","Primulaceae","Lysimachia vulgaris"
"1102","Fabales","Fabaceae","Vicia cracca"
"1103","Caryophyllales","Caryophyllaceae","Cerastium fontanum"
"1104","Geraniales","Geraniaceae","Geranium robertianum"
"1105","Fabales","Fabaceae","Lathyrus pratensis"
"1106","Gentianales","Rubiaceae","Galium palustre"
"1107","Lamiales","Lamiaceae","Ajuga reptans"
"1108",NA,NA,NA
"1109","Asterales","Asteraceae","Pallenis spinosa"
"1110","Geraniales","Geraniaceae","Erodium cicutarium"
"1111","Malvales","Cistaceae","Cistus parviflorus"
"1112","Liliales","Liliaceae","Gagea granatellii"
"1113","Apiales","Apiaceae","Scandix australis"
"1114","Asterales","Asteraceae","Echinops microcephalus"
"1115","Lamiales","Lamiaceae","Thymbra capitata"
"1116","Asparagales","Hyacinthaceae","Prospero autumnale"
"1117","Asterales","Asteraceae","Helichrysum stoechas"
"1118","Boraginales","Heliotropiaceae","Heliotropium hirsutissimum"
"1119","Brassicales","Resedaceae","Reseda alba"
"1120","Malpighiales","Euphorbiaceae","Euphorbia acanthothamnos"
"1121","Asterales","Asteraceae","Crupina crupinastrum"
"1122",NA,NA,NA
"1123","Asterales","Asteraceae","Scorzonera cana"
"1124",NA,NA,NA
"1125","Gentianales","Rubiaceae","Sherardia arvensis"
"1126",NA,NA,NA
"1127","Ranunculales","Papaveraceae","Papaver rhoeas"
"1128",NA,NA,NA
"1129","Geraniales","Geraniaceae","Geranium rotundifolium"
"1130","Apiales","Apiaceae","Daucus guttatus"
"1131","Asterales","Asteraceae","Calendula arvensis"
"1132","Boraginales","Heliotropiaceae","Heliotropium europaeum"
"1133","Fabales","Fabaceae","Ebenus sibthorpii"
"1134","Alismatales","Araceae","Arisarum vulgare"
"1135","Asterales","Asteraceae","Chondrilla juncea"
"1136","Apiales","Apiaceae","Tordylium apulum"
"1137",NA,NA,NA
"1138","Lamiales","Lamiaceae","Salvia verbenaca"
"1139","Asparagales","Iridaceae","Crocus laevigatus"
"1140","Ranunculales","Ranunculaceae","Anemone coronaria"
"1141","Asterales","Asteraceae","Phagnalon graecum"
"1142",NA,NA,NA
"1143",NA,NA,NA
"1144","Asparagales","Iridaceae","Iris pumila"
"1145","Lamiales","Plantaginaceae","Veronica persica"
"1146","Ericales","Ericaceae","Erica manipuliflora"
"1147","Boraginales","Boraginaceae","Anchusa undulata"
"1148","Asterales","Asteraceae","Senecio vulgaris"
"1149","Malpighiales","Hypericaceae","Hypericum triquetrifolium"
"1150","Lamiales","Lamiaceae","Teucrium polium"
"1151","Ericales","Primulaceae","Cyclamen graecum"
"1152",NA,NA,NA
"1153","Ranunculales","Ranunculaceae","Anemone pavonina"
"1154","Dipsacales","Caprifoliaceae","Scabiosa atropurpurea"
"1155","Geraniales","Geraniaceae","Erodium malacoides"
"1156","Ranunculales","Ranunculaceae","Delphinium peregrinum"
"1157","Asterales","Asteraceae","Dittrichia graveolens"
"1158","Asparagales","Iridaceae","Crocus cancellatus"
"1159","Malvales","Cistaceae","Cistus salviifolius"
"1160","Asterales","Asteraceae","Glebionis coronaria"
"1161","Asparagales","Hyacinthaceae","Leopoldia comosa"
"1162","Asparagales","Asphodelaceae","Asphodelus aestivus"
"1163","Brassicales","Brassicaceae","Hirschfeldia incana"
"1164",NA,NA,NA
"1165","Apiales","Apiaceae","Thapsia garganica"
"1166",NA,NA,NA
"1167","Asterales","Asteraceae","Carduus pycnocephalus"
"1168","Boraginales","Boraginaceae","Echium angustifolium"
"1169","Asterales","Asteraceae","Tragopogon porrifolius"
"1170","Solanales","Convolvulaceae","Convolvulus arvensis"
"1171","Brassicales","Brassicaceae","Sisymbrium orientale"
"1172","Brassicales","Brassicaceae","Lepidium draba"
"1173",NA,NA,NA
"1174","Lamiales","Lamiaceae","Satureja thymbra"
"1175","Malvales","Thymelaeaceae","Thymelaea hirsuta"
"1176","Brassicales","Brassicaceae","Biscutella didyma"
"1177","Sapindales","Rutaceae","Ruta graveolens"
"1178","Malvales","Malvaceae","Malva sylvestris"
"1179",NA,NA,NA
"1180","Malvales","Thymelaeaceae","Thymelaea tartonraira"
"1181","Fabales","Fabaceae","Astragalus monspessulanus"
"1182","Solanales","Convolvulaceae","Convolvulus cantabricus"
"1183",NA,NA,NA
