"","species"
"967","Gillenia stipulacea"
"968","Gnaphalium polycephalum"
"969","Helianthus divaricatus"
"970","Hydrophyllum appendiculatum"
"971","Lactuca canadensis"
"972","Lespedeza procumbens"
"973","Oxalis corniculata"
"974","Polygonum persicaria"
"975","Polytaenia nuttallii"
"976","Radicula palustris"
"977","Rhus glabra"
"978","Rosa humilis"
"979","Solidago graminifolia"
"980","Stellaria media"
"981","Verbena angustifolia"
"982","Veronica arvensis"
"983","Anethum graveolens"
"984","Antennaria plantaginifolia"
"985","Cacalia atriplicifolia"
"986","Collinsia verna"
"987","Dirca palustris"
"988","Geranium maculatum"
"989","Lobelia inflata"
"990","Oxalis stricta"
"991","Polygonum pennsylvanicum"
"992","Prenanthes crepidinea"
"993","Sanicula marilandica"
"994","Symphoricarpos orbicularis"
"995","Trifolium hybridum"
"996","Ulmus americana"
"997","Viola pedata"
"998","Acer saccharinum"
"999","Agastache nepetoides"
"1000","Agastache scrophulariaefolia"
"1001","Alisma plantago aquatica"
"1002","Asclepias syriaca"
"1003","Aster lateriflorus"
"1004","Camassia esculenta"
"1005","Capsella bursa-pastoris"
"1006","Cassia marilandica"
"1007","Celastrus scandens"
"1008","Erigeron annuus"
"1009","Geum vernum"
"1010","Heliopsis helianthoides"
"1011","Lobelia spicata"
"1012","Mimulus alatus"
"1013","Potentilla canadensis"
"1014","Solanum nigrum"
"1015","Solidago rigida"
"1016","Steironema ciliatum"
"1017","Amaranthus spinosus"
"1018","Apocynum androsaemifolium"
"1019","Bidens frondosa"
"1020","Crataegus crus-galli"
"1021","Cucurbita melopepo"
"1022","Hypericum ascyron"
"1023","Lantana camara"
"1024","Liatris pycnostachya"
"1025","Monarda bradburiana"
"1026","Monarda fistulosa"
"1027","Oenothera fruticosa"
"1028","Pontederia cordata"
"1029","Pycnanthemum pilosum"
"1030","Ranunculus fascicularis"
"1031","Salix amygdaloides"
"1032","Salix cordata"
"1033","Silphium laciniatum"
"1034","Thaspium aureum trifoliatum"
"1035","Tilia americana"
"1036","Uvularia grandiflora"
"1037","Verbena bracteosa"
"1038","Agrimonia striata"
"1039","Coreopsis palmata"
"1040","Echinocystis lobata"
"1041","Eupatorium serotinum"
"1042","Eupatorium urticaefolium"
"1043","Habenaria leucophaea"
"1044","Hedeoma pulegioides"
"1045","Helianthus tuberosus"
"1046","Hypericum cistifolium"
"1047","Leonurus cardiaca"
"1048","Lespedeza capitata"
"1049","Mentha arvensis"
"1050","Nothoscordum bivalve"
"1051","Orchis spectabilis"
"1052","Petalostemum candidum"
"1053","Physostegia virginiana"
"1054","Phytolacca decandra"
"1055","Plantago major"
"1056","Populus tremuloides"
"1057","Prenanthes aspera"
"1058","Prunus serotina"
"1059","Pycnanthemum virginianum"
"1060","Rudbeckia subtomentosa"
"1061","Smilacina racemosa"
"1062","Thalictrum dasycarpum"
"1063","Tradescantia brevicaulis"
"1064","Arabis dentata"
"1065","Arisaema triphyllum"
"1066","Asclepias incarnata"
"1067","Aster ericoides villosus"
"1068","Aster novaeangliae"
"1069","Baptisia bracteata"
"1070","Chaerophyllum procumbens"
"1071","Desmodium dillenii"
"1072","Hepatica acutiloba"
"1073","Hydrophyllum virginianum"
"1074","Hypericum punctatum"
"1075","Lonicera sullivantii"
"1076","Lycopus americanus"
"1077","Melanthium virginicum"
"1078","Myosurus minimus"
"1079","Penstemon hirsutus"
"1080","Pycnanthemum flexuosum"
"1081","Ranunculus septentrionalis"
"1082","Scutellaria lateriflora"
"1083","Sicyos angulatus"
"1084","Stellaria longifolia"
"1085","Vernonia fasciculata"
"1086","Viola cucullata"
"1087","Viola pedatifida"
"1088","Aesculus glabra"
"1089","Aesculus hippocastanum"
"1090","Anthemis cotula"
"1091","Ascerates viridiflora"
"1092","Bidens aristosa"
"1093","Cerastium nutans"
"1094","Cerastium vulgatum"
"1095","Cercis canadensis"
"1096","Cornus paniculata"
"1097","Cypripedium parviflorum pubescens"
"1098","Desmodium bracteosum"
"1099","Erigeron canadensis"
"1100","Erigeron pulchellus"
"1101","Eryngium yuccifolium"
"1102","Eupatorium coelestinum"
"1103","Eupatorium purpureum"
"1104","Gerardia grandiflora"
"1105","Helianthus grosse-serratus"
"1106","Ipomoea pandurata"
"1107","Isopyrum biternatum"
"1108","Lythrum alatum"
"1109","Martynia louisiana"
"1110","Osmorrhiza longistylis"
"1111","Panicum virgatum"
"1112","Phlox glaberrima"
"1113","Physalis subglabrata"
"1114","Rudbeckia laciniata"
"1115","Sagittaria latifolia"
"1116","Solidago serotina"
"1117","Stenanthium angustifolium"
"1118","Triosteum perfoliatum"
"1119","Aquilegia canadensis"
"1120","Aster multiflorus"
"1121","Clematis pitcheri"
"1122","Clematis virginiana"
"1123","Crataegus coccinea"
"1124","Datura stramonium"
"1125","Datura tatula"
"1126","Erigeron philadelphicus"
"1127","Eupatorium sessilifolium"
"1128","Galium aperine"
"1129","Helianthus mollis"
"1130","Hydrangea arborescens"
"1131","Krigia amplexicaulis"
"1132","Lespedeza virginica"
"1133","Lobelia leptostachys"
"1134","Polygonum hydropiper"
"1135","Rhus canadensis"
"1136","Robinia pseudacacia"
"1137","Silene stellata"
"1138","Sisyrinchium gramineum"
"1139","Sium cicutaefolium"
"1140","Smilax hispida"
"1141","Solidago speciosa"
"1142","Tradescantia pilosa"
"1143","Verbena stricta"
"1144","Veronica virginica"
"1145","Actea alba"
"1146","Arabis laevigata"
"1147","Ceanothus americanus"
"1148","Cuphea petiolata"
"1149","Cynoglossum officinale"
"1150","Dianthera americana"
"1151","Diospyros virginiana"
"1152","Dipsacus sylvestris"
"1153","Gonolobus laevis"
"1154","Hybanthus concolor"
"1155","Lobelia cardinalis x siphilitica"
"1156","Nelumbo lutea"
"1157","Nepeta hederacea"
"1158","Oxalis violacea"
"1159","Polygala sanguinea"
"1160","Polygonum acre"
"1161","Ranunculus recurvatus"
"1162","Rhus copallina"
"1163","Sanguinaria canadensis"
"1164","Sanicula canadensis"
"1165","Sebatia angularis"
"1166","Silphium terebinthinaceum"
"1167","Taraxacum officinale"
"1168","Thaspium aureum atropurpurem"
"1169","Trillium sessile"
"1170","Vitis cordifolia"
"1171","Zizia aurea"
"1172","Amphicarpa pitcheri"
"1173","Anemonella thalictroides"
"1174","Apios tuberosa"
"1175","Aristolochia tomentosa"
"1176","Aruncus sylvester"
"1177","Cacalia tuberosa"
"1178","Campanula americana"
"1179","Erigeron ramosus"
"1180","Evonymus atropurpureus"
"1181","Lobelia siphilitica"
"1182","Lonicera sempervirens"
"1183","Nymphaea advena"
"1184","Parthenium integrifolium"
"1185","Pastinaca sativa"
"1186","Phlox pilosa"
"1187","Phryma leptostachya"
"1188","Pyrus coronaria"
"1189","Sisyrinchium angustifolium"
"1190","Solidago missouriensis"
"1191","Specularia perfoliata"
"1192","Stylosanthes biflora"
"1193","Veronica peregrina"
"1194","Viburnum pubescens"
"1195","Viola striata"
"1196","Acer negundo"
"1197","Brauneria purpurea"
"1198","Castalia tuberosa"
"1199","Cirsium discolor"
"1200","Delphinium tricorne"
"1201","Ellisia nyctelaea"
"1202","Euphorbia preslii"
"1203","Gaura biennis"
"1204","Helianthus strumosus"
"1205","Impatiens pallida"
"1206","Mertensia virginica"
"1207","Nepeta cataria"
"1208","Phlox divaricata"
"1209","Potentilla monspeliensis norvegica"
"1210","Ribes gracile"
"1211","Ruellia ciliosa"
"1212","Senecio aureus"
"1213","Seymeria macrophylla"
"1214","Strophostyles pauciflora"
"1215","Tradescantia virginiana"
"1216","Valerianella radiata"
"1217","Verbascum thapsus"
"1218","Asclepias tuberosa"
"1219","Bidens connata"
"1220","Cacalia reniformis"
"1221","Crataegus mollis"
"1222","Cryptotaenia canadensis"
"1223","Desmodium paniculatum"
"1224","Erigenia bulbosa"
"1225","Gerardia purpurea"
"1226","Gleditsia triacanthos"
"1227","Hibiscus militaris"
"1228","Hibiscus trionum"
"1229","Physalis virginiana"
"1230","Polemonium reptans"
"1231","Polygonum scandens"
"1232","Populus deltoides"
"1233","Rubus occidentalis"
"1234","Teucrium canadense"
"1235","Zanthoxylum americanum"
"1236","Aster turbinellus"
"1237","Cuscuta cephalanthi"
"1238","Gerardia auriculata"
"1239","Gymnocladus dioica"
"1240","Melilotus alba"
"1241","Oenothera biennis"
"1242","Oxypolis rigidior"
"1243","Rhamnus lanceolata"
"1244","Salix longifolia"
"1245","Tecoma radicans"
"1246","Ulmus fulva"
"1247","Amorpha canescens"
"1248","Asiminia triloba"
"1249","Dentaria laciniata"
"1250","Desmodium marilandicum"
"1251","Gratiola virginiana"
"1252","Liatris scariosa"
"1253","Lilium superbum"
"1254","Lithospermum canescens"
"1255","Ptelea trifoliata"
"1256","Rudbeckia triloba"
"1257","Salix humilis"
"1258","Trifolium reflexum"
"1259","Verbesina helianthoides"
"1260","Viburnum prunifolium"
"1261","Baptisia leucantha"
"1262","Desmodium sessilifolium"
"1263","Radicula obtusa"
"1264","Smilax herbacea"
"1265","Steironema quadriflorum"
"1266","Bidens bipinnata"
"1267","Caulophyllum thalictroides"
"1268","Cornus florida"
"1269","Lepidium virginicum"
"1270","Poa pratensis"
"1271","Rhus toxicodendron"
"1272","Smilacina stellata"
"1273","Astragalus mexicanus"
"1274","Claytonia virginica"
"1275","Petalostemum purpureum"
"1276","Polygonum hydropiperoides"
"1277","Psoralea onobrychis"
"1278","Rudbeckia hirta"
"1279","Sambucus canadensis"
"1280","Silene nivea"
"1281","Solidago nemoralis"
"1282","Solidago ulmifolia"
"1283","Zea mays"
"1284","Crotalaria sagittalis"
"1285","Sassafras variifolium"
"1286","Scutellaria parvula"
"1287","Viola pubescens"
"1288","Passiflora lutea"
"1289","Ruellia strepens"
"1290","Solidago canadensis"
"1291","Desmodium grandiflorum"
"1292","Saponaria officinalis"
"1293","Salix fragilis"
"1294","Vaccinium myrtilloides"
"1295","Ledum groenlandicum"
"1296","Nemopanthus mucronata"
"1297","Gaylussacia baccata"
"1298","Spiraea alba"
"1299","Chamaedaphne calyculata"
"1300","Aronia melanocarpa"
"1301","Kalmia polifolia"
"1302","Kalmia angustifolia"
"1303","Calopogon pulchellus"
"1304","Smilacina trifolia"
"1305","Andromeda glaucophylla"
"1306","Aeschynomene_mollicula"
"1307","Alternanthera_sp."
"1308","Arachis_microsperma"
"1309","Arrabidaea_sp."
"1310","Ayenia_cf._tomentosa"
"1311","Borreria_eryngioides"
"1312","Camptosema_paraguariense"
"1313","Castela_coccinea"
"1314","Cereus_bicolor"
"1315","Cleistocactus_cf._baumannii"
"1316","Cleome_guianensis"
"1317","Cnidoscolus_urens"
"1318","Coccoloba_guaranitica"
"1319","Commelina_nudiflora"
"1320","Croton_sp.1"
"1321","Croton_sp.2"
"1322","Cuphea_thymoides"
"1323","Echinopsis_rhodotricha"
"1324","Eupatorium_sp."
"1325","Gomphrena_celosioides"
"1326","Gomphrena_elegans"
"1327","Gymnocalycium_sp."
"1328","Harrisia_balansae"
"1329","Herissantia_nemoralis"
"1330","Heteropterys_glabra"
"1331","Isostigma_hoffmannii"
"1332","Jatropa_sp."
"1333","Lepidaploa_pseudomuricata"
"1334","Lippia_alba"
"1335","Malpighiaceae_sp.1"
"1336","Melochia_pyramidata"
"1337","Microtea_scabrida"
"1338","Mimosa_hexandra"
"1339","Mimosa_sensibilis"
"1340","Mollugo_verticillata"
"1341","Myrtaceae_sp.1"
"1342","Neptunia_cf._plena"
"1343","Opuntia_bergeriana"
"1344","Oxalis_sp."
"1345","Parkinsonia_praecox"
"1346","Pavonia_sidifolia"
"1347","Pavonia_sp."
"1348","Pectis_sp."
"1349","Pereskia_sacharosa"
"1350","Piriqueta_sp."
"1351","Portulaca_fluvialis"
"1352","Prosopis_rubriflora"
"1353","Ruellia_tweediana"
"1354","Scoparia_montevidensis"
"1355","Senegalia_sp."
"1356","Sida_rhombifolia"
"1357","Sida_sp."
"1358","Stachytarpheta_elatior"
"1359","Staelia_thymoides"
"1360","Stylosanthes_hamata"
"1361","Talinum_triangulare"
"1362","Tillandsia_didisticha"
"1363","Tradescanta_sp."
"1364","Tripogandra_glandulosa"
"1365","Vernonia_sp."
"1366","Waltheria_indica"
"1367","Ziziphus_oblongifolius"
"1368","Acacia rurodiana"
"1369","Alternanthera echinocephala"
"1370","Alternanthera filifolia"
"1371","Blainvillea dichotoma"
"1372","Boerhaavia caribaea"
"1373","Boerhaavia erecta"
"1374","Borreria ericaefolia"
"1375","Chiococca alba"
"1376","Cleome viscosa"
"1377","Cordia revoluta"
"1378","Crotalaria pumila"
"1379","Darwiniothamnus lancifolius"
"1380","Desmanthus virgatus"
"1381","Galactia striata"
"1382","Gossypium darwinii"
"1383","Heliotropium angiospermum"
"1384","Ipomoea habeliana"
"1385","Jasminocereus thouarsii"
"1386","Lantana peduncularis"
"1387","Maytenus octogona"
"1388","Mollugo flavescens"
"1389","Mollugo snodgrassii"
"1390","Momordica charantia"
"1391","Opuntia  echios"
"1392","Opuntia galapageia"
"1393","Pectis tenuifolia"
"1394","Polygala galapageia"
"1395","Sarcostemma angustissimum"
"1396","Scalesia bauri"
"1397","Scutia spicata"
"1398","Senna pistacifolia"
"1399","Tamarindus indica"
"1400","Tiquilia darwinii"
"1401","Tiquilia fusca"
"1402","Tournefortia pubescens"
"1403","Angelica sylvestris"
"1404","Pimpinella major"
"1405","Filipendula ulmaria"
"1406","Cirsium oleraceum"
"1407","Centaurea jacea"
"1408","Cirsium vulgare"
"1409","Stellaria graminea"
"1410","Mentha aquatica"
"1411","Valeriana officinalis"
"1412","Lotus uliginosus"
"1413","Anthriscus sylvestris"
"1414","Myosotis palustris"
"1415","Potentilla erecta"
"1416","Ranunculus acris"
"1417","Silene dioica"
"1418","Galium palustre"
"1419","Lythrum salicaria"
"1420","Ranunculus flammula"
"1421","Lychnis flos-cuculi"
"1422","Veronica beccabunga"
"1423","Crepis paludosa"
"1424","Lathyrus pratensis"
"1425","Veronica chamaedrys"
"1426","Geranium robertianum"
"1427","Lysimachia vulgaris"
"1428","Trifolium campestre"
"1429","Vicia sepium"
"1430","Lathyrus montanus"
"1431","Cerastium fontanum"
"1432","Geum rivale"
"1433","Stellaria palustris"
"1434","Ajuga reptans"
"1435","Veronica serpyllifolia"
"1436","Angelica archangelica"
"1437","Epilobium hirsutum"
"1438","Umbellifer sp1 M_PL_046"
"1439","Unidentified sp27 M_PL_046"
"1440","Chamaenerium angustifolium"
"1441","Cirsium pratensis"
"1442","Rubus fruticosus"
"1443","Trfolium sp1 M_PL_046"
"1444","Trifolium arvense"
"1445","Stachys sylvatica"
"1446","Ranunculus sp1 M_PL_046"
"1447","Acantholippiaseriphioides"
"1448","Aloyssia_gratissima"
"1449","Argemone_subfusiformis"
"1450","Arjona_longifolia"
"1451","Baccharis_aff._crispa"
"1452","Bougainvillea_spinosa"
"1453","Bredemeyera_microphylla"
"1454","Buddleja_mendozensis"
"1455","Capparis_atamisquea"
"1456","Centaurea_solstialis"
"1457","Cerastium_arvense"
"1458","Cereus_sp."
"1459","Clematis_montevidensis"
"1460","Condalia_microphylla"
"1461","Cryptantha_sp."
"1462","Descurainia_sp."
"1463","Dipyrena_glaberrima"
"1464","Elaeagnus_angustifolia"
"1465","Erodium_cicatarium"
"1466","Erodium_sp."
"1467","Fumaria_capreolata"
"1468","Glandularia_crithmifolia"
"1469","Helenium_donianum"
"1470","Heliotropium_sp."
"1471","Hoffmannseggia_eremophila"
"1472","Hysterionica_jassionoide"
"1473","Junellia_aspera"
"1474","Larrea_cuneifolia"
"1475","Larrea_divaricata"
"1476","Larrea_nitida"
"1477","Lecanophora_heterophylla"
"1478","Lippia_turbinata"
"1479","Lycium_chilense"
"1480","Lycium_gilliesianum"
"1481","Lycium_tenuispinosum"
"1482","Mentzelia_albescens"
"1483","Menodora_decemfida"
"1484","Monttea_aphylla"
"1485","Opuntia_sulphurea"
"1486","Oxybaphus_obatus"
"1487","Petunia_axillaris"
"1488","Philibertia_gilliesii"
"1489","Pyrrhocactus_pachacoensis"
"1490","Polygala_stenophylla"
"1491","Proustia_cuneifolia"
"1492","Prosopis_flexuosa"
"1493","Ruta_chalepensis"
"1494","Salvia_gilliesii"
"1495","Schinus_aff._fasciculata"
"1496","Senna_aphylla"
"1497","Senecio_aff._pinnatus"
"1498","Spartium_junceum"
"1499","Spharealcea_miniata"
"1500","Thymophylla_pentachaeta"
"1501","Trichocereus_candicans"
"1502","Trichocereus_strigosus"
"1503","Veronica_polita"
"1504","Verbascum_thapsus"
"1505","Zuccagnia_punctata"
"1506","Centaurea nigra"
"1507","Leucanthemum vulgare"
"1508","Lotus corniculatus"
"1509","Plantago lanceolata"
"1510","Trifolium dubium"
"1511","Vicia sativa"
"1512","Cirsium palustre"
"1513","Galium verum"
"1514","Orchis morio"
"1515","Primula veris"
"1516","Arnica montana"
"1517","Calluna vulgaris"
"1518","Campanula rotundifolia"
"1519","Empetrum nigrum"
"1520","Epilobium angustifolium"
"1521","Erica tetralix"
"1522","Galeopsis sp1 M_PL_048"
"1523","Galium saxatile"
"1524","Genista anglica"
"1525","Genista pilosa"
"1526","Hieracium sp1 M_PL_048"
"1527","Hieracium umbellatum"
"1528","Knautia arvensis"
"1529","Prunus padus"
"1530","Salix cinerea"
"1531","Salix repens"
"1532","Scorzonea humilis"
"1533","Solidago virgaurea"
"1534","Sorbus sp1 M_PL_048"
"1535","Succisa pratensis"
"1536","Taraxacum sp1 M_PL_048"
"1537","Trientalis europaea"
"1538","Vaccinium myrtillus"
"1539","Vaccinium vitis-idaea"
"1540","Salix aurita"
"1541","Dryas octopetala"
"1542","Diapensia lapponica"
"1543","Saxifraga aizoides"
"1544","Potentilla crantzii"
"1545","Parnassia palustris"
"1546","Salix lanata"
"1547","Salix reticulata"
"1548","Trollius europaeus"
"1549","Viola biflora"
"1550","Pinguicula alpina"
"1551","Rhodiola rosea"
"1552","Antennaria alpina"
"1553","Arabis alpina"
"1554","Astragalus alpinus"
"1555","Salix polaris"
"1556","Cassiope hypnoides"
"1557","Bartsia alpina"
"1558","Cerastium arcticum"
"1559","Potentilla hyparctica"
"1560","Saxifraga nivalis"
"1561","Arnica angustifolia"
"1562","Arenaria pseudofrigida"
"1563","Melandrium triflorum"
"1564","Saxifraga cernua"
"1565","Ranunculus sulphureus"
"1566","Cochlearia groenlandica"
"1567","Taraxacum phymatocarpum"
"1568","Armeria scabra"
"1569","Pedicularis hirsuta"
"1570","Draba lactea"
"1571","Draba arctica"
