"","Species_geonet","Unique_id","Locality","Order_all","Family_all","Genus_all","Species_all","Info_level","yes"
"169","Aster turbinellus","robertson_1929","Carlinville, Illinois, USA","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum turbinellum","disc_floret",NA
"170","Aster vestitus","fang_2008","China","Asterales","Asteraceae","Aster","Aster vestitus","capitulum","Yes"
"171","Aster yunnanensis","fang_2008","China","Asterales","Asteraceae","Aster","Aster yunnanensis","capitulum","Yes"
"172","Astilbe thunbergii","Inouye_1990","Kibune, Kyoto, Japan","Saxifragales","Saxifragaceae","Astilbe","Astilbe thunbergii","flower",NA
"173","Astragalus alpinus","elberling_1999","Latnjajaure, Abisko, Sweden","Fabales","Fabaceae","Astragalus","Astragalus alpinus","flower","Yes"
"174","Astragalus canadensis","robertson_1929","Carlinville, Illinois, USA","Fabales","Fabaceae","Astragalus","Astragalus canadensis","flower",NA
"175","Astragalus lusitanicus","bartomeus_2015","donana np, spain","Fabales","Fabaceae","Erophaca","Erophaca baetica","flower","Yes"
"176","Astragalus mexicanus","robertson_1929","Carlinville, Illinois, USA","Fabales","Fabaceae","Astragalus","Astragalus mexicanus","flower",NA
"177","Astragalus pullus","fang_2008","China","Fabales","Fabaceae","Astragalus","Astragalus pullus","flower","Yes"
"178","Avicennia germinans","mcmullen_1993","Galapagos","Lamiales","Acanthaceae","Avicennia","Avicennia germinans","flower",NA
"179","Ayenia tomentosa","souza_2018","Brazil","Malvales","Malvaceae","Ayenia","Ayenia tomentosa","flower","Yes"
"180","Azorina vidalii","olesen_2002","Flores island","Asterales","Campanulaceae","Azorina","Azorina vidalii","flower","Yes"
"181","Baccharis_aff._crispa","peralta_2011","Mendoza, Argentina","Asterales","Asteraceae","Baccharis","Baccharis crispa","capitulum",NA
"182","Bacopa monniera","mcmullen_1993","Galapagos","Lamiales","Plantaginaceae","Bacopa","Bacopa monnieri","flower",NA
"183","Badula insularis","kaiser_bunbury_2010","Black River Gorges National Park, Mauritius","Ericales","Primulaceae","Badula","Badula insularis","NA","Yes"
"184","Badula platiphylla","kaiser_bunbury_2010","Black River Gorges National Park, Mauritius","Ericales","Primulaceae","Badula","Badula platyphylla","flower","Yes"
"185","Baeckia gunniana","inouye_1988","Snowy Mountains, Australia","Myrtales","Myrtaceae","Baeckea","Baeckea gunniana","flower","Yes"
"186","Bakerella hoyifolia","kaiser_bunbury_2010","Black River Gorges National Park, Mauritius","Santalales","Loranthaceae","Bakerella","Bakerella hoyifolia","flower","Yes"
"187","Baptisia bracteata","robertson_1929","Carlinville, Illinois, USA","Fabales","Fabaceae","Baptisia","Baptisia bracteata","flower",NA
"188","Baptisia leucantha","robertson_1929","Carlinville, Illinois, USA","Fabales","Fabaceae","Baptisia","Baptisia alba","flower",NA
"189","Barringtonia racemosa","kato_2000","Amami-Ohsima Island, Japan","Ericales","Lecythidaceae","Barringtonia","Barringtonia racemosa","flower",NA
"190","Bartsia alpina","elberling_1999","Latnjajaure, Abisko, Sweden","Lamiales","Orobanchaceae","Bartsia","Bartsia alpina","flower","Yes"
"191","Bastardia viscosa","mcmullen_1993","Galapagos","Malvales","Malvaceae","Bastardia","Bastardia viscosa","flower",NA
