"","plant_species","interaction","unique_id","order_all","family","genus","species","sex_or_flower_type","breeding_system","autonomous_selfing_level","autonomous_selfing_level_data_type","autonomous_selfing_level_fruit_set","autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","compatibility","self_compatible_author","self_compatible_reference","self_compatible_doi","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","flower_colour","flower_morphology","flower_symmetry","floral_unit_width","corolla_diameter_mean","corolla_diameter_min","corolla_diameter_max","corolla_length_mean","corolla_length_min","corolla_length_max","tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_n","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_info","doi","doi__1","doi__2","doi__3","net_id","net_id.1","visits","z_score_sum","phylo"
"888","Senecio pectinatus",0,"inouye_1988","Asterales","Asteraceae","Senecio","Senecio pectinatus","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","capitulum","yes","rhizomes","NA","yellow","capitulum","actinomorphic","25",25,"20","30","8","NA","NA","NA","NA","NA","NA","NA","NA",87,"NA","NA","NA","NA","herb","perennial","NA","0.4",0.2,"NA","online: https://vicflora.rbg.vic.gov.au/","NA","NA","NA","NA","NA","6_1_inouye_1988_australia.csv",2,-0.725525310599646,"Senecio pectinatus"
"894","Sida rhombifolia",0,"souza_2018","Malvales","Malvaceae","Sida","Sida rhombifolia","bisexual","hermaphrodite","high","qualitative","NA","NA","NA","self_compatible","ugburogho 1982","journal: cytologia","NA","NA","flower","NA","NA","NA","orange","bowl","actinomorphic","17.5",17.5,"15","20","2","NA","NA","NA","NA","NA","NA","NA","NA",7.5,"5","10","NA","NA","shrub","perennial","0.6","2",1.3,"ugborogho 1982; NA; NA","journal: cytologia; online: https://keyserver.lucidcentral.org; online: http://flora.huh.harvard.edu/ *style length*","NA","NA","NA","NA","NA","10_1_souza_2017_brazil_chaco.csv",8,-0.280861646096002,"Sida rhombifolia"
"900","Silene acaulis",0,"elberling_sweeden_1999","Caryophyllales","Caryophyllaceae","Silene","Silene acaulis","bisexual","gynodioecious","low","NA","NA","NA","NA","partially_self_compatible","shykoff 1988","journal: american journal of botany","https://doi.org/10.1002/j.1537-2197.1988.tb13507.x","NA","flower","yes","NA","NA","purple","tube","actinomorphic","12",12,"NA","NA","9","NA","NA","NA","9","8","10","NA","NA",13,"NA","NA","2","NA","herb","perennial","0.02","0.05",35,"journal: american journal of botany; journal: sexual plant reproduction; journal: international journal of plant sciences","https://doi.org/10.2307/2445100","https://doi.org/10.1007/s00497-001-0124-2","https://doi.org/10.1086/297542",NA,NA,NA,"4_1_elberling_sweeden_1999.csv",17,0.0344237627817123,"Silene acaulis"
"901","Silene acaulis",0,"elberling_sweeden_1999","Caryophyllales","Caryophyllaceae","Silene","Silene acaulis","bisexual","gynodioecious","low","NA","NA","NA","NA","partially_self_compatible","shykoff 1988","journal: american journal of botany","https://doi.org/10.1002/j.1537-2197.1988.tb13507.x","NA","flower","yes","NA","NA","purple","tube","actinomorphic","12",12,"NA","NA","9","NA","NA","NA","9","8","10","NA","NA",13,"NA","NA","2","NA","herb","perennial","0.02","0.05",35,"journal: american journal of botany; journal: sexual plant reproduction; journal: international journal of plant sciences","https://doi.org/10.2307/2445100","https://doi.org/10.1007/s00497-001-0124-2","https://doi.org/10.1086/297542",NA,NA,NA,"7_1_lundgren_2005_greenland.csv",6,-0.203023284562955,"Silene acaulis"
"903","Silene gracilicaulis",0,"fang_2008","Caryophyllales","Caryophyllaceae","Silene","Silene gracilicaulis","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","tube","actinomorphic","4",4,"NA","NA","13","8","18","13","NA","NA","NA","NA","NA",60,"NA","NA","NA","NA","herb","perennial","0.15","0.5",325,"NA; gao et al., 2015","online: http://www.efloras.org/; journal: journal of plant ecology","NA","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","5_1_fang_2008_china.csv",7,-0.97040282551859,"Silene gracilicaulis"
"904","Silene vulgaris",7,"olesen_2002","Caryophyllales","Caryophillaceae","Silene","Silene vulgaris","separated & bisexual","gynodioecious","low","qualitative","NA","NA","NA","self_compatible","bailey & mc cauley 2006","journal : journal of ecology","https://doi.org/10.1111/j.1365-2745.2005.01090.x","NA","flower","no","NA","NA","white","campanulate","actinomorphic","25",25,"20","30",NA,NA,NA,NA,NA,"1.5","20","NA","3",146,"138","154","33",NA,"herb","perennial","0.2","0.8",0.5,"dulverger & horovitz 2008; jurgens 2006; glaettli, pescadore & goudet 2006","journal: botannical journal of the linnean society; journal: plant systematic and evolution; journal: annals of botany","10.1111/j.1095-8339.1984.tb01004.x","10.1007/s00606-005-0379-4","10.1093/aob/mcl119",NA,NA,"8_1_olesen_2002_azores.csv",37,-0.667561476826423,"Silene vulgaris"
"905","Silene yunnanensis",0,"fang_2008","Caryophyllales","Caryophyllaceae","Silene","Silene yunnanensis","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","red","tube","actinomorphic","3.5",3.5,"NA","NA","15","NA","NA","NA","NA","NA","NA","NA","NA",109,"NA","NA","NA","NA","herb","perennial","0.2","0.8",0.5,"gao et al., 2015; NA","journal: journal of plant ecology; online: http://www.efloras.org/","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","NA","5_1_fang_2008_china.csv",8,-0.957464121178342,"Silene yunnanensis"
"906","Smilacina trifolia",0,"small_1976","Asparagales","Asparagaceae","Maianthemum","Maianthemum trifolium","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","yes","rhizomes","NA","white","dish","actinomorphic","3.25",3.25,"2.5","4","2.25","1.5","2","NA","1","0.5","1.5","NA","NA",3,"NA","NA","NA","NA","herb","perennial","0.05","0.15",0.1,"NA","online: http://www.efloras.org/ *style length and ovule number*","NA","NA","NA","NA","NA","9_1_small_1976_canada.csv",19,-1.12775664452865,"Maianthemum trifolium"
"909","Solidago sempervirens",141,"olesen_2002","Asterales","Asteraceae","Solidago","Solidago sempervirens","separated & bisexual","gynomonoecious","low","qualitative","NA","NA","NA","self_compatible","Lonard, Judd & Stalter","journal: journal of coastal research","https://doi.org/10.2112/JCOASTRES-D-14-00261.1","NA","capitulum","yes","rizhome","NA","yellow","capitulum","actinomorphic","3.1",3.1,"3","3.2","5","2","8",NA,"3.8","3.2","4.5999999999999996","NA",NA,1,"NA","NA","NA","1","herb","perennial","0.4","1.1000000000000001",1.2,"schaefer 2015","journal:phytotaxa 210 (1):47-59","http://dx.doi.org/10.11646/phytotaxa.210.1.",NA,NA,NA,NA,"8_1_olesen_2002_azores.csv",163,0.458445833483206,"Solidago sempervirens"
"913","Sonchus tenerrinus",0,"bartomeus_2008","Asterales","Asteraceae","Sonchus","Sonchus tenerrimus","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","14",14,"NA","NA","6.5","NA","NA","NA","9.5","9","10","NA","NA",100,"NA","NA","NA","NA","herb","annual_short_lived_perennial","0.2","0.4",0.3,"NA; NA; NA","online: http://www.maltawildplants.com/; online: https://www.floravascular.com/; online: https://www.gbif.org/","NA","NA","NA","NA","NA","1_2_bartomeus_spain_2008_fraop_1_2.csv",39,1.13043481189693,"Sonchus tenerrimus"
"914","Sonchus tenerrinus",0,"bartomeus_2008","Asterales","Asteraceae","Sonchus","Sonchus tenerrimus","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","14",14,"NA","NA","6.5","NA","NA","NA","9.5","9","10","NA","NA",100,"NA","NA","NA","NA","herb","annual_short_lived_perennial","0.2","0.4",0.3,"NA; NA; NA","online: http://www.maltawildplants.com/; online: https://www.floravascular.com/; online: https://www.gbif.org/","NA","NA","NA","NA","NA","1_5_bartomeus_spain_2008_miqop_1_2.csv",25,0.293376994516198,"Sonchus tenerrimus"
"915","Sonchus tenerrinus",0,"bartomeus_2008","Asterales","Asteraceae","Sonchus","Sonchus tenerrimus","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","14",14,"NA","NA","6.5","NA","NA","NA","9.5","9","10","NA","NA",100,"NA","NA","NA","NA","herb","annual_short_lived_perennial","0.2","0.4",0.3,"NA; NA; NA","online: http://www.maltawildplants.com/; online: https://www.floravascular.com/; online: https://www.gbif.org/","NA","NA","NA","NA","NA","1_1_bartomeus_spain_2008_batca_1_2.csv",38,0.541915436190191,"Sonchus tenerrimus"
"916","Sonchus tenerrinus",0,"bartomeus_2008","Asterales","Asteraceae","Sonchus","Sonchus tenerrimus","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","14",14,"NA","NA","6.5","NA","NA","NA","9.5","9","10","NA","NA",100,"NA","NA","NA","NA","herb","annual_short_lived_perennial","0.2","0.4",0.3,"NA; NA; NA","online: http://www.maltawildplants.com/; online: https://www.floravascular.com/; online: https://www.gbif.org/","NA","NA","NA","NA","NA","1_6_bartomeus_spain_2008_selop_1_2.csv",2,-0.638630189641323,"Sonchus tenerrimus"
"917","Sonchus tenerrinus",0,"bartomeus_2008","Asterales","Asteraceae","Sonchus","Sonchus tenerrimus","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","14",14,"NA","NA","6.5","NA","NA","NA","9.5","9","10","NA","NA",100,"NA","NA","NA","NA","herb","annual_short_lived_perennial","0.2","0.4",0.3,"NA; NA; NA","online: http://www.maltawildplants.com/; online: https://www.floravascular.com/; online: https://www.gbif.org/","NA","NA","NA","NA","NA","1_4_bartomeus_spain_2008_medca_2_3.csv",18,0.0567352105854175,"Sonchus tenerrimus"
"918","Sonchus tenerrinus",0,"bartomeus_2008","Asterales","Asteraceae","Sonchus","Sonchus tenerrimus","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","14",14,"NA","NA","6.5","NA","NA","NA","9.5","9","10","NA","NA",100,"NA","NA","NA","NA","herb","annual_short_lived_perennial","0.2","0.4",0.3,"NA; NA; NA","online: http://www.maltawildplants.com/; online: https://www.floravascular.com/; online: https://www.gbif.org/","NA","NA","NA","NA","NA","1_3_bartomeus_spain_2008_medca_1_2.csv",12,-0.241904050288787,"Sonchus tenerrimus"
"930","Spartium junceum",13,"bartomeus_2015","Fabales","Fabaceae","Spartium","Spartium junceum","bisexual","hermaphrodite","none","quantitative","0","0","487","self_incompatible","galloni & cristofolini 2002","journal: plant systematics and evolution","10.1007/s00606-002-0270-5","NA","flower","NA","NA","no","yellow","papilionaceous","zygomorphic","25",25,"NA","NA","24.1","NA","NA","NA","NA","NA","NA","NA","NA",16.9,"15.5","18.3","NA","NA","shrub","perennial","NA","2.1",1.5,"galloni & cristofolini 2003; herrera 1999","journal: plant systematics and evolution; journal: international journal of plant sciences","https://doi.org/10.1007/s00606-002-0270-5","10.1086/314183","NA","NA","NA","15_1_peralta_2006_mendoza_site_1.csv",41,-0.418649050198656,"Spartium junceum"
"931","Spartium junceum",13,"bartomeus_2015","Fabales","Fabaceae","Spartium","Spartium junceum","bisexual","hermaphrodite","none","quantitative","0","0","487","self_incompatible","galloni & cristofolini 2002","journal: plant systematics and evolution","10.1007/s00606-002-0270-5","NA","flower","NA","NA","no","yellow","papilionaceous","zygomorphic","25",25,"NA","NA","24.1","NA","NA","NA","NA","NA","NA","NA","NA",16.9,"15.5","18.3","NA","NA","shrub","perennial","NA","2.1",1.5,"galloni & cristofolini 2003; herrera 1999","journal: plant systematics and evolution; journal: international journal of plant sciences","https://doi.org/10.1007/s00606-002-0270-5","10.1086/314183","NA","NA","NA","12_2_bartomeus_spain_2008_ConventodelaLuz_unp.csv",5,-0.779005851279805,"Spartium junceum"
"932","Spartium junceum",13,"bartomeus_2015","Fabales","Fabaceae","Spartium","Spartium junceum","bisexual","hermaphrodite","none","quantitative","0","0","487","self_incompatible","galloni & cristofolini 2002","journal: plant systematics and evolution","10.1007/s00606-002-0270-5","NA","flower","NA","NA","no","yellow","papilionaceous","zygomorphic","25",25,"NA","NA","24.1","NA","NA","NA","NA","NA","NA","NA","NA",16.9,"15.5","18.3","NA","NA","shrub","perennial","NA","2.1",1.5,"galloni & cristofolini 2003; herrera 1999","journal: plant systematics and evolution; journal: international journal of plant sciences","https://doi.org/10.1007/s00606-002-0270-5","10.1086/314183","NA","NA","NA","15_4_peralta_2006_mendoza_site_4.csv",10,-0.440758177693992,"Spartium junceum"
"933","Spartium junceum",13,"bartomeus_2015","Fabales","Fabaceae","Spartium","Spartium junceum","bisexual","hermaphrodite","none","quantitative","0","0","487","self_incompatible","galloni & cristofolini 2002","journal: plant systematics and evolution","10.1007/s00606-002-0270-5","NA","flower","NA","NA","no","yellow","papilionaceous","zygomorphic","25",25,"NA","NA","24.1","NA","NA","NA","NA","NA","NA","NA","NA",16.9,"15.5","18.3","NA","NA","shrub","perennial","NA","2.1",1.5,"galloni & cristofolini 2003; herrera 1999","journal: plant systematics and evolution; journal: international journal of plant sciences","https://doi.org/10.1007/s00606-002-0270-5","10.1086/314183","NA","NA","NA","12_15_bartomeus_spain_2008_Villamanriqueeste_unp.csv",6,-1.12220618154249,"Spartium junceum"
"934","Spartium junceum",13,"bartomeus_2015","Fabales","Fabaceae","Spartium","Spartium junceum","bisexual","hermaphrodite","none","quantitative","0","0","487","self_incompatible","galloni & cristofolini 2002","journal: plant systematics and evolution","10.1007/s00606-002-0270-5","NA","flower","NA","NA","no","yellow","papilionaceous","zygomorphic","25",25,"NA","NA","24.1","NA","NA","NA","NA","NA","NA","NA","NA",16.9,"15.5","18.3","NA","NA","shrub","perennial","NA","2.1",1.5,"galloni & cristofolini 2003; herrera 1999","journal: plant systematics and evolution; journal: international journal of plant sciences","https://doi.org/10.1007/s00606-002-0270-5","10.1086/314183","NA","NA","NA","12_12_bartomeus_spain_2008_PinaresdeHinojos_unp.csv",15,0.565090905158132,"Spartium junceum"
"935","Spartium junceum",13,"bartomeus_2015","Fabales","Fabaceae","Spartium","Spartium junceum","bisexual","hermaphrodite","none","quantitative","0","0","487","self_incompatible","galloni & cristofolini 2002","journal: plant systematics and evolution","10.1007/s00606-002-0270-5","NA","flower","NA","NA","no","yellow","papilionaceous","zygomorphic","25",25,"NA","NA","24.1","NA","NA","NA","NA","NA","NA","NA","NA",16.9,"15.5","18.3","NA","NA","shrub","perennial","NA","2.1",1.5,"galloni & cristofolini 2003; herrera 1999","journal: plant systematics and evolution; journal: international journal of plant sciences","https://doi.org/10.1007/s00606-002-0270-5","10.1086/314183","NA","NA","NA","12_9_bartomeus_spain_2008_LaRocina_unp.csv",12,-0.377583397510696,"Spartium junceum"
"936","Spenceria ramalana",0,"fang_2008","Rosales","Rosaceae","Spenceria","Spenceria ramalana","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","16",16,"NA","NA","1.5","NA","NA","NA","4.5","NA","NA","NA","NA",2,"NA","NA","NA","NA","herb","perennial","0.18","0.32",0.25,"NA; gao et al., 2015","online: http://www.efloras.org/; journal: journal of plant ecology","NA","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","5_1_fang_2008_china.csv",43,-0.504609469269667,"Spenceria ramalana"
"937","Spiraea alba",0,"small_1976","Rosales","Rosaceae","Spiraea","Spiraea alba","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","5.5",5.5,"3","8","NA","NA","NA","NA","0.9","0.5","1.8","NA","NA",19,"6","32","NA","NA","shrub","perennial","0.6","1.8",1.2,"larson 1993; NA","book: aquatic and wetland vascular plants of the northern great plains; online: http://www.efloras.org/ *ovule number*","NA","NA","NA","NA","NA","9_1_small_1976_canada.csv",87,0.210413655824809,"Spiraea alba"
"938","Stachys sylvatica",1,"bundgaard_2003","Lamiales","Lamiaceae","Stachys","Stachys sylvatica","bisexual","hermaphrodite","high","qualitative","NA","NA","NA","self_compatible","taylor & rowland 1992","journal: journal of ecology","10.1111/j.1365-2745.2010.01725.x","NA","flower","yes","stolons","NA","purple","tube","zygomorphic","7",7,"NA","NA","7","6","8","4","NA","NA","NA","NA","NA",4,"NA","NA","NA","NA","herb","perennial","0.3","1.2",0.75,"NA; taylor & rowland 2010","online: http://www.terrain.net.nz/; journal: journal of ecology","NA","https://doi.org/10.1111/j.1365-2745.2010.01725.x","NA","NA","NA","18_1_bundgaard_2003_denmark.csv",48,-0.608820852109128,"Stachys sylvatica"
"939","Stachytapheta jamaicencis",0,"mauritius_valerie_unpublished_data","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta jamaicensis","bisexual","hermaphrodite","high","qualitative","NA","NA","NA","self_compatible","lakshmi & raju 2011","journal: current science","NA","NA","flower","NA","NA","NA","purple","tube","actinomorphic","8",8,"NA","NA","8.1","7","11","8.1","5.0999999999999996","NA","NA","NA","NA",2,"NA","NA","NA","NA","herb","perennial","NA","2",1,"NA; shivanna 2014; lakshmi & raju 2011","online: https://keyserver.lucidcentral.org; journal: proceedings of the national academy of sciences, india section b: biological sciences. 84.; journal: current science","NA","10.1007/s40011-014-0307-x.","NA","NA","NA","8_2_olesen_2002_mauritius.csv",32,-0.934222259410921,"Stachytarpheta jamaicensis"
"940","Stachytarpheta elatior",0,"souza_2018","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta indica","bisexual","hermaphrodite","high","quantitative","85.07","NA","67","self_compatible","shivanna 2014","journal: proceedings of the national academy of sciences","10.1007/s40011-014-0307-x","NA","flower","NA","NA","NA","purple","tube","actinomorphic","8",8,"NA","NA","8.1","7","11","9","5","NA","NA","NA","NA",2,"NA","NA","NA","NA","herb","perennial","NA","2",1,"NA; shivanna 2014; verdcourt 1992; abid 1992","online: https://keyserver.lucidcentral.org; journal: proceedings of the national academy of sciences, india section b: biological sciences. 84.; book: flora of tropical east africa; book: journal of the adilaide botanic gardens","NA","10.1007/s40011-014-0307-x.","NA","NA","NA","10_1_souza_2017_brazil_chaco.csv",4,-0.295273747944089,"Stachytarpheta indica"
"942","Staelia thymoides",0,"souza_2018","Gentianales","Rubiaceae","Staelia","Staelia thymoides","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","NA","tube","actinomorphic","2",2,"NA","NA","4.25","3.5","5","4.25","4.75","4.5","5","NA","NA",2,"NA","NA","NA","NA","herb","perennial","0.1","0.3",0.2,"salas & cabral 2011; salas & cabral 2010","journal: plant ecology and evolution; journal: blumea","10.5091/plecevo.2011.620","10.3767/000651910X526681","NA","NA","NA","10_1_souza_2017_brazil_chaco.csv",11,-0.270052569709936,"Staelia thymoides"
"947","Stylidium graminifolium",0,"inouye_1988","Asterales","Stylidiaceae","Stylidium","Stylidium graminifolium","bisexual","hermaphrodite","low","qualitative","NA","NA","NA","partially_self_compatible","illish & ash 1990","journal: australian journal of botany","https://doi.org/10.1071/BT9900217","NA","flower","yes","rhizomes","no","pink","tube","actinomorphic","10",10,"NA","NA","7.5","5","10","7.5","5","NA","NA","NA","NA",117.6,"NA","NA","NA","NA","herb","perennial","0.3","0.7",0.5,"NA; NA; totterdell & gray 2001; brookes 2008","online: http://anpsa.org.au/; online: http://plantnet.rbgsyd.nsw.gov.au/; book: kosciusko alpine flora; journal: new phytologist","NA","NA","NA","https://doi.org/10.1111/j.1469-8137.2008.02453.x","NA","6_1_inouye_1988_australia.csv",2,-0.725525310599646,"Stylidium graminifolium"
"948","Stylosanthes hamata",0,"souza_2018","Fabales","Fabaceae","Stylosanthes","Stylosanthes hamata","bisexual","hermaphrodite","high","qualitative","NA","NA","NA","self_compatible","NA","online: https://apps.lucidcentral.org/","NA","NA","flower","NA","NA","NA","yellow","papilionaceous","zygomorphic","4.5",4.5,"4","5","4.5","4","4.0999999999999996","NA","NA","NA","NA","NA","NA",2.5,"2","3","NA","NA","herb","annual","0.1","1.4",0.75,"NA; NA","online: https://apps.lucidcentral.org; online: http://flora.huh.harvard.edu/ *ovule number*","NA","NA","NA","NA","NA","10_1_souza_2017_brazil_chaco.csv",1,-0.306082824330155,"Stylosanthes hamata"
"950","Suriana maritima",23,"mauritius_valerie_unpublished_data","Fabales","Surianaceae","Suriana","Suriana maritima","bisexual","hermaphrodite","low","quantitative","20","NA","20","self_compatible","lemus-jimenez & ramirez 2005","journal: revista de biologia tropical","10.15517/rbt.v53i3-4.14610","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","20",20,"NA","NA","3","NA","NA","NA","4","NA","NA","NA","NA",10,"NA","NA","NA","NA","shrub","perennial","1","4",2.5,"NA; NA","online: http://www.canbr.gov.au/; online: http://keys.trin.org.au/","NA","NA","NA","NA","NA","8_2_olesen_2002_mauritius.csv",37,-0.872760268660202,"Suriana maritima"
"955","Syzygium glomeratum",0,"kaiser_bunbury_2010","Myrtales","Myrtaceae","Syzygium","Syzygium glomeratum","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","NA","brush","actinomorphic","NA",NA,"NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA",15,"10","20","NA","NA","tree","perennial","NA","9.1",5,"NA","online: http://pages.intnet.mu/","NA","NA","NA","NA","NA","14_2_kaiser-bunbury_2010_mauritius_restored.csv",30,-0.33154480371732,"Syzygium glomeratum"
"956","Syzygium jambos",0,"kaiser_bunbury_2017","Myrtales","Myrtaceae","Syzygium","Syzygium jambos","bisexual","hermaphrodite","medium","quantitative","72.5","NA","182","self_compatible","chantaranothai & parnell 1994","journal: tropical ecology","NA","NA","flower","NA","NA","yes","white","brush","actinomorphic","15.3",15.3,"50","100","75","NA","NA","NA","40","NA","NA","NA","NA",60,"NA","NA","N","NA","tree","perennial","7","12",9.5,"NA; soh & parnell 2015","online: https://www.cabi.org/; journal:adansonia","NA","http://dx.doi.org/10.5252/a2015n2a1",NA,NA,NA,"11_4_kaiser-bunbury_2017_seychelles_reserve.csv",131,-0.0175777196070545,"Syzygium jambos"
"960","Syzygium venosum",0,"kaiser_bunbury_2010","Myrtales","Myrtaceae","Syzygium","Syzygium venosum","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","NA","brush","actinomorphic","16",16,"NA","NA","NA","NA","NA","NA","12.5","10","15","NA","NA",18,"16","20","NA","NA","tree","perennial","NA","9",4.5,"NA","online: http://pages.intnet.mu/","NA","NA","NA","NA","NA","14_2_kaiser-bunbury_2010_mauritius_restored.csv",33,-0.293800793459817,"Syzygium venosum"
"961","Syzygium wrightii",0,"kaiser_bunbury_2017","Myrtales","Myrtaceae","Syzygium","Syzygium wrightii","separated","dioecious","NA","quantitative","0","0","NA","unknown","Fuster et al, 2020","unpublished data","https://figshare.com/articles/PE_Seychelles_Data/12029580/2","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","3.2",3.2,"2.5","3.8","10","6","12","5","13","NA","NA","NA","NA",35,"30","40","NA","NA","tree","perennial","15","20",17,"Coe,1998","book: a fragile Eden...Princeton University Press","ISBN: 9780691048178",NA,NA,NA,NA,"11_1_kaiser-bunbury_2017_seychelles_bernica.csv",33,-0.411287440285848,"Syzygium wrightii"
"962","Syzygium wrightii",0,"kaiser_bunbury_2017","Myrtales","Myrtaceae","Syzygium","Syzygium wrightii","separated","dioecious","NA","quantitative","0","0","NA","unknown","Fuster et al, 2020","unpublished data","https://figshare.com/articles/PE_Seychelles_Data/12029580/2","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","3.2",3.2,"2.5","3.8","10","6","12","5","13","NA","NA","NA","NA",35,"30","40","NA","NA","tree","perennial","15","20",17,"Coe,1998","book: a fragile Eden...Princeton University Press","ISBN: 9780691048178",NA,NA,NA,NA,"11_3_kaiser-bunbury_2017_seychelles_copolia.csv",65,0.171467309720073,"Syzygium wrightii"
"963","Syzygium wrightii",0,"kaiser_bunbury_2017","Myrtales","Myrtaceae","Syzygium","Syzygium wrightii","separated","dioecious","NA","quantitative","0","0","NA","unknown","Fuster et al, 2020","unpublished data","https://figshare.com/articles/PE_Seychelles_Data/12029580/2","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","3.2",3.2,"2.5","3.8","10","6","12","5","13","NA","NA","NA","NA",35,"30","40","NA","NA","tree","perennial","15","20",17,"Coe,1998","book: a fragile Eden...Princeton University Press","ISBN: 9780691048178",NA,NA,NA,NA,"13_1_kaiser-bunbury_2011_seychelles_bernica.csv",30,-0.466813910782413,"Syzygium wrightii"
"964","Syzygium wrightii",0,"kaiser_bunbury_2017","Myrtales","Myrtaceae","Syzygium","Syzygium wrightii","separated","dioecious","NA","quantitative","0","0","NA","unknown","Fuster et al, 2020","unpublished data","https://figshare.com/articles/PE_Seychelles_Data/12029580/2","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","3.2",3.2,"2.5","3.8","10","6","12","5","13","NA","NA","NA","NA",35,"30","40","NA","NA","tree","perennial","15","20",17,"Coe,1998","book: a fragile Eden...Princeton University Press","ISBN: 9780691048178",NA,NA,NA,NA,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation.csv",24,-0.520501724204313,"Syzygium wrightii"
"965","Syzygium wrightii",0,"kaiser_bunbury_2017","Myrtales","Myrtaceae","Syzygium","Syzygium wrightii","separated","dioecious","NA","quantitative","0","0","NA","unknown","Fuster et al, 2020","unpublished data","https://figshare.com/articles/PE_Seychelles_Data/12029580/2","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","3.2",3.2,"2.5","3.8","10","6","12","5","13","NA","NA","NA","NA",35,"30","40","NA","NA","tree","perennial","15","20",17,"Coe,1998","book: a fragile Eden...Princeton University Press","ISBN: 9780691048178",NA,NA,NA,NA,"13_3_kaiser-bunbury_2011_seychelles_copolia.csv",28,-0.556801139664058,"Syzygium wrightii"
"966","Syzygium wrightii",0,"kaiser_bunbury_2017","Myrtales","Myrtaceae","Syzygium","Syzygium wrightii","separated","dioecious","NA","quantitative","0","0","NA","unknown","Fuster et al, 2020","unpublished data","https://figshare.com/articles/PE_Seychelles_Data/12029580/2","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","3.2",3.2,"2.5","3.8","10","6","12","5","13","NA","NA","NA","NA",35,"30","40","NA","NA","tree","perennial","15","20",17,"Coe,1998","book: a fragile Eden...Princeton University Press","ISBN: 9780691048178",NA,NA,NA,NA,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",26,-0.482807759062939,"Syzygium wrightii"
"970","Tambourissa peltata",0,"kaiser_bunbury_2010","Laurales","Monimiaceae","Tambourissa","Tambourissa peltata","separated","dioecious","NA","quantitative","0","0","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","green","exposed","zygomorphic","15.5",15.5,"14","17","8","7","9","NA","NA","0.4","0.3","0.5","NA",450,"400","500","NA","NA","tree","perennial","12","15",13.5,"NA; williams 2008","online: http://pages.intnet.mu/; journal: pnas","NA; https://doi.org/10.1073/pnas.0800036105",NA,NA,NA,NA,"14_1_kaiser-bunbury_2010_mauritius_control.csv",8,-0.650927310169426,"Tambourissa peltata"
