"","Species_all","Order_all","Family_all","Genus_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Eigenval"
"392","Cryptocarpus pyriformis","Caryophyllales","Nyctaginaceae","Cryptocarpus","Hermaphrodite","self_compatible","low",11,"Open","actinomorphic",2500,20,25,2.26,1.59,0.5,2,"shrub","Perennial",0.75,0.00104253409660704
"393","Cryptotaenia canadensis","Apiales","Apiaceae","Cryptotaenia","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",100,100,25,3,1,1,2,"herb","Perennial",0.6,0.00399522977016757
"394","Cryptotaenia japonica","Apiales","Apiaceae","Cryptotaenia","Hermaphrodite","self_compatible","none",35.6858121628504,"Campanulate","actinomorphic",40,40,4,4,4,0.5,2,"herb","Perennial",0.65,0.00390795399284668
"395","Cucurbita pepo","Cucurbitales","Cucurbitaceae","Cucurbita","Monoecious","monoecious","none",0,"Funnelform","actinomorphic",15,1,100,100,70,10,500,"herb","Short lived",0.48,0.000519128333376745
"396","Cuphea odonellii","Myrtales","Lythraceae","Cuphea","Hermaphrodite","partially_self_compatible","medium",32.26,"Open","actinomorphic",20,20,10,12.2732456679667,10,1,4,"herb","Short lived",1,0.000173610649072554
"397","Cuphea racemosa","Myrtales","Lythraceae","Cuphea","Hermaphrodite","self_compatible","medium",36.1,"Tube","zygomorphic",15,15,10,3.8,5.1,1,4,"herb","Short lived",0.25,0.00017026936294274
"398","Cuphea thymoides","Myrtales","Lythraceae","Cuphea","Hermaphrodite","self_compatible","high",42.5387745272875,"Tube","actinomorphic",50,15,10,1.25,7,1,6,"herb","Perennial",0.5,0.000166576141400078
"399","Cuphea viscosissima","Myrtales","Lythraceae","Cuphea","Hermaphrodite","self_compatible","high",67.007503377185,"Tube","zygomorphic",10,10,10,4.1,10,1,4,"herb","Short lived",0.375,0.000174966406899305
"400","Cuscuta cephalanthi","Solanales","Convolvulaceae","Cuscuta","Hermaphrodite","self_compatible","high",43.7799282654802,"Open","actinomorphic",200,200,15,3,3,1.25,4,"herb","Short lived",0.25,0.0014426313332743
"401","Cuscuta glomerata","Solanales","Convolvulaceae","Cuscuta","Hermaphrodite","self_compatible","high",48.0128281866326,"Tube","actinomorphic",900,900,50,9.5,4.5,4.5,4,"herb","Short lived",0.25,0.00144123540607338
"402","Cyananthus delavayi","Asterales","Campanulaceae","Cyananthus","Dioecious","partially_self_compatible","none",18.2578418960826,"Tube","actinomorphic",15,1,15,15,20,8,34,"herb","Perennial",0.135,0.00439902761954269
"403","Cybianthus quelchii","Ericales","Primulaceae","Cybianthus","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",200,200,20,2.75,2.75,0.1,3.5,"shrub","Perennial",2.5,0.00125044546647403
"404","Cynoglossum amabile","Boraginales","Boraginaceae","Cynoglossum","Hermaphrodite","self_compatible","high",47.451436460217,"Open","actinomorphic",30,30,24,6,2,4,4,"herb","Short lived",0.375,0.00207489771682643
"405","Cynoglossum officinale","Boraginales","Boraginaceae","Cynoglossum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",50,50,30,6,5.3,1,4,"herb","Short lived",0.5,0.00206839024441269
"406","Cypripedium parviflorum","Asparagales","Orchidaceae","Cypripedium","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",50,1,4.2,4.2,73,0.1,25000,"herb","Perennial",0.46,7.70699473700113e-05
"407","Cyrilla racemiflora","Ericales","Cyrillaceae","Cyrilla","Hermaphrodite","self_incompatible","low",0.02,"Open","actinomorphic",16000,400,30,5,1,2,3,"tree","Perennial",4.1,0.00130211466546113
"408","Cytisus scoparius","Fabales","Fabaceae","Cytisus","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",500,20,64,16,20,10,13,"shrub","Perennial",2.5,0.000732452746921369
"409","Dalea purpurea","Fabales","Fabaceae","Dalea","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",10500,130,25,4,3.1,8.5,2,"herb","Perennial",0.45,0.000756884989144006
"410","Darwiniothamnus lancifolius","Asterales","Asteraceae","Darwiniothamnus","Hermaphrodite","self_compatible","none",18.7109404419183,"Capitulum","actinomorphic",500,10,10,10,5,5,60,"shrub","Perennial",2,0.0137534963864949
"411","Darwiniothamnus tenuifolius","Asterales","Asteraceae","Darwiniothamnus","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",300,6,16.5,16.5,3.91574181853606,5,60,"shrub","Perennial",5,0.0133692780358754
"412","Dasiphora fruticosa","Rosales","Rosaceae","Dasiphora","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",80,2,19.1,19.1,2.5,2,88,"shrub","Perennial",1.65,0.000622412014186735
"413","Dasistoma macrophylla","Lamiales","Orobanchaceae","Dasistoma","Hermaphrodite","self_compatible","high",51.3434706305733,"Tube","zygomorphic",30,5,10.1,10.1,13.1,3,206.874565598682,"herb","Perennial",1.2,0.00250715071132167
"414","Datura stramonium","Solanales","Solanaceae","Datura","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,2,40,40,75,50,80,"herb","Short lived",1.25,0.00151221519754334
"415","Daucus carota","Apiales","Apiaceae","Daucus","Monoecious","self_compatible","none",0,"Open","zygomorphic",650,650,80,5.5,1.5,1.15,2,"herb","Short lived",0.5,0.00410440397598454
"416","Deckenia nobilis","Arecales","Arecaceae","Deckenia","Monoecious","monoecious","none",0,"Spike","actinomorphic",50000,12500,600,1,1,0.5,2000,"tree","Perennial",19.1,3.95254066283274e-05
"417","Declieuxia fruticosa","Gentianales","Rubiaceae","Declieuxia","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",175,175,60,5.5,3.5,4.35,2,"shrub","Perennial",0.785,0.0017861251713817
"418","Delphinium delavayi","Ranunculales","Ranunculaceae","Delphinium","Hermaphrodite","self_compatible","low",38.9530559480806,"Tube","zygomorphic",15,15,100,27.5,50,2.5,14,"herb","Perennial",0.775,9.61337683203825e-05
"419","Delphinium tricorne","Ranunculales","Ranunculaceae","Delphinium","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,30,90,35,35,15,42,"herb","Perennial",0.225,9.62446040954815e-05
"420","Dendropanax trifidus","Apiales","Araliaceae","Dendropanax","Dioecious","dioecious","none",4.86858870808582,"Open","actinomorphic",2500,40,10,1.1,2,0.875,12,"tree","Perennial",7,0.00368298050803129
"421","Descurainia pinnata","Brassicales","Brassicaceae","Descurainia","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",35,10,30,3,1.5,0.11,28,"herb","Short lived",0.375,0.000351976355754045
"423","Desmanthus virgatus","Fabales","Fabaceae","Desmanthus","Hermaphrodite","self_compatible","medium",50.5,"Campanulate","actinomorphic",50,30,10,1,2.75,3.15,7,"shrub","Perennial",1,0.000670610105787262
"424","Desmodium barbatum","Fabales","Fabaceae","Desmodium","Hermaphrodite","self_compatible","medium",31.25,"Papilionaceous","zygomorphic",300,30,20,4.5,6,2,7,"herb","Short lived",0.5,0.000800372219405627
"425","Desmodium canadense","Fabales","Fabaceae","Desmodium","Hermaphrodite","self_compatible","high",59.3388977520064,"Papilionaceous","zygomorphic",50,15,20,11,11,2,7,"herb","Perennial",1.35,0.000804674757015574
"426","Desmodium canescens","Fabales","Fabaceae","Desmodium","Hermaphrodite","self_compatible","high",90,"Papilionaceous","zygomorphic",50,50,20,9.1,9.1,2,7,"herb","Perennial",1.05,0.000799210843309299
"428","Desmodium dillenii","Fabales","Fabaceae","Desmodium","Hermaphrodite","self_compatible","high",60.6433644204478,"Papilionaceous","zygomorphic",60,60,20,7,7,2,7,"herb","Perennial",0.5,0.000794881293478907
"429","Desmodium grandiflorum","Fabales","Fabaceae","Desmodium","Hermaphrodite","self_compatible","high",60.9174295581359,"Papilionaceous","zygomorphic",80,80,20,4.5,8,2,7,"herb","Perennial",0.5,0.000793713953023972
"430","Desmodium hookerianum","Fabales","Fabaceae","Desmodium","Hermaphrodite","self_compatible","high",56.2242602899778,"Papilionaceous","zygomorphic",80,80,15,2,3.75,0.5,10,"shrub","Perennial",0.9,0.000793085249627319
"431","Desmodium illinoense","Fabales","Fabaceae","Desmodium","Hermaphrodite","self_compatible","high",59.9951328043787,"Papilionaceous","zygomorphic",90,15,20,8,8,2,7,"herb","Perennial",1.5,0.000800372253918066
"432","Desmodium marilandicum","Fabales","Fabaceae","Desmodium","Hermaphrodite","self_compatible","high",61.4843788304864,"Papilionaceous","zygomorphic",80,80,20,1.1,5,2,7,"herb","Perennial",1,0.000790167200941973
"433","Desmodium paniculatum","Fabales","Fabaceae","Desmodium","Hermaphrodite","self_compatible","high",60.8614103196461,"Papilionaceous","zygomorphic",80,8,20,6,5.1,2,5,"herb","Perennial",0.85,0.000805279176560349
"434","Desmodium sessilifolium","Fabales","Fabaceae","Desmodium","Hermaphrodite","self_compatible","high",60.9845795469296,"Papilionaceous","zygomorphic",80,15,20,4.3,6,1,4,"herb","Perennial",1.05,0.000781400285647501
"435","Deutzia crenata","Cornales","Hydrangeaceae","Deutzia","Hermaphrodite","self_compatible","none",13.4858840514904,"Campanulate","actinomorphic",1600,60,45,14.1,8,8,267.209795460197,"shrub","Perennial",2.5,0.00117178950684983
"436","Deutzia maximowicziana","Cornales","Hydrangeaceae","Deutzia","Hermaphrodite","self_compatible","none",13.0376728150089,"Campanulate","actinomorphic",1600,60,50,17.5,1.35,8,244.898629229484,"shrub","Perennial",2.5,0.00116898153045172
"437","Deutzia naseana","Cornales","Hydrangeaceae","Deutzia","Hermaphrodite","self_compatible","none",11.4848843460149,"Campanulate","actinomorphic",1600,60,75,14.1,15,7.7,362.477289913226,"shrub","Perennial",1,0.00116736956006384
"438","Dianthus armeria","Caryophyllales","Caryophyllaceae","Dianthus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,2,10.5,10.5,10,10,93,"herb","Short lived",0.45,0.00100708878780594
"439","Dianthus caryophyllus","Caryophyllales","Caryophyllaceae","Dianthus","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",15,2,45,45,26.0175642300035,10,97.5,"herb","Perennial",0.4,0.0010083597136904
"440","Diapensia lapponica","Ericales","Diapensiaceae","Diapensia","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",50,1,14.1,14.1,9.1,3,240,"shrub","Perennial",0.04,0.00128377661577626
"441","Dicentra cucullaria","Ranunculales","Papaveraceae","Dicentra","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,5,15,15,17.5,2.1,6,"herb","Perennial",0.2,8.32334548588289e-05
"442","Digitalis purpurea","Lamiales","Plantaginaceae","Digitalis","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","zygomorphic",40,40,120,32,45,36.5,264,"herb","Short lived",0.7,0.00218652389993793
"443","Digitaria ciliaris","Poales","Poaceae","Digitaria","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",400,400,0.8,0.8,2.1,0.1,1,"herb","Short lived",0.55,6.13641590155146e-05
"444","Digomphia laurifolia","Lamiales","Bignoniaceae","Digomphia","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",10,3,40,40,40,35,920.276379045385,"herb","Perennial",1.83924367206212,0.00234837739441284
"445","Dillenia ferruginea","Dilleniales","Dilleniaceae","Dillenia","Hermaphrodite","partially_self_compatible","none",-2.09649491603194,"Open","actinomorphic",50,5,50,50,55,4.5,12,"tree","Perennial",12,0.000899161870665723
"446","Dillenia suffruticosa","Dilleniales","Dilleniaceae","Dillenia","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",800,15,110,110,38.9360096180705,10,57.5,"shrub","Perennial",8,0.000906327472529484
"447","Diodella radula","Gentianales","Rubiaceae","Diodella","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,5,30,5,8,7,25.9022545123665,"herb","Perennial",0.8,0.00185722482944562
"451","Diplotaxis virgata","Brassicales","Brassicaceae","Diplotaxis","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,8,30,10,5,2,2,"herb","Short lived",0.65,0.000375520266672383
"453","Dipsacus chinensis","Dipsacales","Caprifoliaceae","Dipsacus","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,80,30,5,12.5,10,1,"herb","Perennial",1,0.0035292915921903
"454","Dipsacus fullonum","Dipsacales","Caprifoliaceae","Dipsacus","Hermaphrodite","self_compatible","low",13,"Funnelform","actinomorphic",600,300,50,50,12.5,6,1,"herb","Short lived",1,0.00349923480515589
"455","Dipsacus japonicus","Dipsacales","Caprifoliaceae","Dipsacus","Hermaphrodite","self_compatible","high",52.878796174453,"Tube","actinomorphic",1500,40,30,3.25,6.5,6.5,1,"herb","Short lived",0.75,0.00351451395460795
"456","Dipyrena glaberrima","Lamiales","Verbenaceae","Dipyrena","Hermaphrodite","self_compatible","none",21.2365023464508,"Tube","actinomorphic",100,15,60,15,25,25,4,"shrub","Perennial",1,0.00234302652474959
"457","Dirca palustris","Malvales","Thymelaeaceae","Dirca","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",500,5,10,2.15,9.5,10,1,"shrub","Perennial",1,0.000283335588552004
"458","Discaria toumatou","Rosales","Rhamnaceae","Discaria","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",8000,10,20,4,1,1,3,"shrub","Perennial",2.5,0.000525040772848036
"459","Dodonaea viscosa","Sapindales","Sapindaceae","Dodonaea","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,20,50,8,4,5,3,"shrub","Perennial",2.5,0.000251471833268632
"460","Dolichoglottis scorzoneroides","Asterales","Asteraceae","Dolichoglottis","Hermaphrodite","self_incompatible","none",1.92201788205135,"Capitulum","actinomorphic",15,5,50,50,9.1,1.5,100,"herb","Perennial",0.25,0.00735711776222015
"461","Donatia novae-zelandiae","Asterales","Stylidiaceae","Donatia","Hermaphrodite","self_compatible","none",25.927463176212,"Open","actinomorphic",100,1,9,9,5.5,2,6,"herb","Perennial",0.25,0.00464794119319296
"462","Doratoxylon apetalum","Sapindales","Sapindaceae","Doratoxylon","Dioecious","dioecious","none",0,"Open","actinomorphic",30000,250,10,2.5,1,0.1,6,"tree","Perennial",7.5,0.000249548168401403
"463","Dorycnium pentaphyllum","Fabales","Fabaceae","Dorycnium","Hermaphrodite","self_compatible","high",53.4943789311197,"Tube","zygomorphic",2500,35,10,3.5,4.5,4,33,"herb","Perennial",0.3,0.000814041278464088
"464","Draba arctica","Brassicales","Brassicaceae","Draba","Hermaphrodite","self_compatible","high",92,"Open","actinomorphic",25,4,20,8,4,1.05,20.2,"herb","Perennial",0.2,0.000362695249600282
"465","Draba lactea","Brassicales","Brassicaceae","Draba","Hermaphrodite","self_compatible","medium",50,"Open","actinomorphic",20,5,24,8,4,0.25,22,"herb","Perennial",0.125,0.000366987391766136
"467","Draba yunnanensis","Brassicales","Brassicaceae","Draba","Hermaphrodite","self_compatible","high",39.0777859464239,"Tube","actinomorphic",50,5,40,11.1,9,1.2,8,"herb","Perennial",0.325,0.000365442394764376
"468","Dracaena concinna","Asparagales","Asparagaceae","Dracaena","Hermaphrodite","self_incompatible","none",-15.7544660392667,"Open","actinomorphic",2000,1000,300,51.3503144233807,40.8984846759917,14,4.5,"shrub","Perennial",2.5,7.49527524417921e-05
"469","Dracaena reflexa","Asparagales","Asparagaceae","Dracaena","Hermaphrodite","self_incompatible","none",-3.68504559035192,"Tube","actinomorphic",1000,500,300,45.1564307107217,30,14,4.5,"tree","Perennial",1.5,7.55690663218787e-05
"470","Dracocephalum forrestii","Lamiales","Lamiaceae","Dracocephalum","Hermaphrodite","self_compatible","high",48.2000833955686,"Tube","zygomorphic",15,15,50,12.5,26.5,26.5,4,"herb","Perennial",0.205,0.00305047064098647
"471","Dracophyllum acerosum","Ericales","Ericaceae","Dracophyllum","Hermaphrodite","self_compatible","none",35.4010565313834,"Tube","actinomorphic",500,5,20,3.1,6.1,3,176,"shrub","Perennial",1.5,0.00132211177175702
"472","Dracophyllum pronum","Ericales","Ericaceae","Dracophyllum","Hermaphrodite","self_compatible","none",36.2544260860569,"Tube","actinomorphic",100,10,20,3.5,4,1.25,176,"shrub","Perennial",0.13,0.00132202528779037
"473","Drapetes dieffenbachii","Malvales","Thymelaeaceae","Drapetes","Hermaphrodite","self_compatible","none",28.8957321696983,"Tube","actinomorphic",100,3,15,3,1.5,1,1,"shrub","Perennial",0.2,0.000289911911829789
"474","Dryas integrifolia","Rosales","Rosaceae","Dryas","Hermaphrodite","self_compatible","none",25.8525589314882,"Open","actinomorphic",50,1,25,25,9,4,30,"shrub","Perennial",0.1,0.000578079481831317
"475","Dryas octopetala","Rosales","Rosaceae","Dryas","Monoecious","self_incompatible","none",0,"Open","actinomorphic",50,1,30,30,6,20,59.67,"shrub","Perennial",0.075,0.000581009893363714
"476","Dubyaea bhotanica","Asterales","Asteraceae","Dubyaea","Hermaphrodite","self_incompatible","none",12.1625788747967,"Capitulum","actinomorphic",5,3,10.5,10.5,10,2.5,45,"herb","Perennial",0.3,0.00669408009315606
"477","Duchesnea chrysantha","Rosales","Rosaceae","Duchesnea","Hermaphrodite","self_compatible","none",35.0521095580124,"Open","actinomorphic",20,1,10,10,5,1,1,"herb","Perennial",0.4,0.000624486898466894
"478","Echinacea pallida","Asterales","Asteraceae","Echinacea","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,1,57,57,69,9,65.5,"herb","Perennial",0.6,0.0373351264558206
"479","Echinacea purpurea","Asterales","Asteraceae","Echinacea","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","zygomorphic",1,1,14,14,55,4.5,65.5,"herb","Perennial",0.9,0.0377955471956212
"480","Echinocystis lobata","Cucurbitales","Cucurbitaceae","Echinocystis","Monoecious","monoecious","none",0,"Open","actinomorphic",750,30,40,12.5,-0.516670023572111,1,6,"vine","Short lived",4,0.000514411258943617
"481","Echinopsis candicans","Caryophyllales","Cactaceae","Echinopsis","Hermaphrodite","self_compatible","medium",50,"Campanulate","actinomorphic",5,1,205,205,72.1818564256796,20,2203,"shrub","Perennial",2,0.00113412385298906
"482","Echinopsis rhodotricha","Caryophyllales","Cactaceae","Echinopsis","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",5,1,112,112,167,5.5,2203,"shrub","Perennial",0.2,0.00112612950466247
"483","Echinopsis strigosa","Caryophyllales","Cactaceae","Echinopsis","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",5,1,142.5,142.5,195,15,2203,"shrub","Perennial",0.3,0.00113767947158491
"484","Echium plantagineum","Boraginales","Boraginaceae","Echium","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,3,100,23.1,25,35,4,"herb","Perennial",0.8,0.00199460422191509
"485","Echium sabulicola","Boraginales","Boraginaceae","Echium","Hermaphrodite","self_compatible","high",69.6278110054276,"Tube","zygomorphic",100,10,6,6,17,20,4,"herb","Short lived",0.75,0.00198777264162829
"486","Elaeagnus angustifolia","Rosales","Elaeagnaceae","Elaeagnus","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",25000,200,30,9.9,7.5,7.5,1,"tree","Perennial",3,0.000520101556605931
"487","Elaeocarpus japonicus","Oxalidales","Elaeocarpaceae","Elaeocarpus","Hermaphrodite","dioecious","none",5.43095742897601,"Campanulate","actinomorphic",5000,80,100,4,4,3,35,"tree","Perennial",12.5,0.000400601474823143
"488","Elaeocarpus sylvestris","Oxalidales","Elaeocarpaceae","Elaeocarpus","Hermaphrodite","self_incompatible","none",-0.289546466949865,"Open","actinomorphic",5000,100,200,9.1,5,2,35,"tree","Perennial",7.5,0.00039643806524465
"489","Eleutherine bulbosa","Asparagales","Iridaceae","Eleutherine","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,5,20,20,5,6,15,"herb","Perennial",0.45,6.71772555992069e-05
"490","Ellisia nyctelea","Boraginales","Boraginaceae","Ellisia","Hermaphrodite","self_compatible","high",53.1809355713023,"Tube","actinomorphic",5,5,5,5,6.1,3,4,"herb","Short lived",0.2,0.00198180160796701
"491","Elsholtzia densa","Lamiales","Lamiaceae","Elsholtzia densa","Hermaphrodite","self_compatible","high",67.6692241235227,"Tube","zygomorphic",400,80,10,1.1,2.5,5,4,"herb","Short lived",0.4,0.00287771800090629
"492","Embelia angustifolia","Ericales","Primulaceae","Embelia","Hermaphrodite","self_compatible","none",25.1702261007471,"Open","actinomorphic",2000,30,50,4,2,1,1,"herb","Perennial",2.28317046154213,0.00125508229100535
"493","Empetrum nigrum","Ericales","Ericaceae","Empetrum","Dioecious","dioecious","none",0,"Open","actinomorphic",500,10,12,2,3,0.3,4.5,"shrub","Perennial",0.2,0.00139513793275547
"495","Enemion biternatum","Ranunculales","Ranunculaceae","Enemion","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",80,3,15.5,15.5,1.5,2,24,"herb","Perennial",0.25,9.17596865468733e-05
"496","Epacris microphylla","Ericales","Ericaceae","Epacris","Hermaphrodite","partially_self_compatible","none",16.3118770811773,"Open","actinomorphic",1500,40,25,7.5,2.75,0.8,77.5,"shrub","Perennial",0.75,0.00131908494853183
"497","Epacris petrophila","Ericales","Ericaceae","Epacris","Hermaphrodite","partially_self_compatible","none",17.1639426801368,"Open","actinomorphic",1500,15,25,3.8,1.55,0.45,77.5,"shrub","Perennial",0.45,0.00131849083498932
"498","Epidendrum ibaguense","Asparagales","Orchidaceae","Epidendrum","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",200,10,20,52.8169502563105,43.7870197975718,0.1,25000,"herb","Perennial",2.14082547170866,7.96299235503536e-05
"499","Epilobium angustifolium","Myrtales","Onagraceae","Epilobium","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",40,40,105,35,5,15,593,"herb","Perennial",0.3,0.00018647013748742
"500","Epilobium gunnianum","Myrtales","Onagraceae","Epilobium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,5,11.5,11.5,2,7,593,"herb","Perennial",0.4,0.00018172327653212
"501","Epilobium hirsutum","Myrtales","Onagraceae","Epilobium","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,40,20,20,10,8,593,"herb","Perennial",1.375,0.000189281525531004
"502","Epilobium latifolium","Myrtales","Onagraceae","Epilobium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",15,15,135,45,7.5,6,593,"herb","Perennial",1.56,0.000182359990087366
"504","Epilobium tibetanum","Myrtales","Onagraceae","Epilobium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,1,18,18,11,3.15,593,"herb","Perennial",0.565,0.000179692516041935
"505","Epistephium duckei","Asparagales","Orchidaceae","Epistephium","Hermaphrodite","self_compatible","high",100,"Open","zygomorphic",5,5,60,60,60,0.1,25000,"herb","Perennial",1.5,1.36667989069829e-05
"506","Erechtites hieracifolia","Asterales","Asteraceae","Erechtites","Hermaphrodite","self_compatible","none",25.9290136237332,"Capitulum","actinomorphic",30,30,30,8.5,25.5,2,100,"herb","Short lived",1.5,0.00813819576943348
"507","Erica ciliaris","Ericales","Ericaceae","Erica","Hermaphrodite","self_compatible","low",1,"Tube","actinomorphic",50,10,16,3.1,8,8.5,120,"shrub","Perennial",0.6,0.00140086584539494
"508","Erica scoparia","Ericales","Ericaceae","Erica","Hermaphrodite","partially_self_compatible","medium",31,"Campanulate","actinomorphic",2500,100,10,2.2,2.4,1.45,12.5,"shrub","Perennial",2.1,0.00140631791994208
"509","Erica tetralix","Ericales","Ericaceae","Erica","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",15,15,3.5,3.5,6.3,3.5,100,"herb","Perennial",1,0.00140607424519029
"510","Erica umbellata","Ericales","Ericaceae","Erica","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",1000,10,13.5,4.4,4.8,5,77.5,"shrub","Perennial",0.6,0.0014077484052188
"511","Erigenia bulbosa","Apiales","Apiaceae","Erigenia","Hermaphrodite","self_compatible","none",26.1649193294716,"Open","actinomorphic",15,15,18,6.1,2.6,1.5,2,"herb","Perennial",0.15,0.0038651442619102
"512","Erigeron annuus","Asterales","Asteraceae","Erigeron","Hermaphrodite","self_compatible","high",44.8782555354427,"Capitulum","zygomorphic",15,15,31.12,31.12,8,2.2,300,"herb","Short lived",1.5,0.015104365322811
"513","Erigeron canadensis","Asterales","Asteraceae","Erigeron","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",200,200,3.25,3.25,3.5,2.25,45,"herb","Short lived",0.75,0.013024864057973
"514","Erigeron compositus","Asterales","Asteraceae","Erigeron","Hermaphrodite","self_compatible","none",0,"Capitulum","actinomorphic",30,1,12.5,12.5,8.5,3.5,80,"herb","Perennial",0.05,0.0144455706555856
"515","Erigeron divergens","Asterales","Asteraceae","Erigeron","Hermaphrodite","self_compatible","none",35.0135682709188,"Capitulum","actinomorphic",10,1,23.1,23.1,2.1,3.75,300,"herb","Short lived",0.6,0.0146045896471561
"516","Erigeron eriocephalus","Asterales","Asteraceae","Erigeron","Hermaphrodite","self_compatible","none",24.2488632294622,"Capitulum","actinomorphic",3,1,12.5,12.5,12.5,3.75,200,"herb","Perennial",0.15,0.0110582380542364
"517","Erigeron philadelphicus","Asterales","Asteraceae","Erigeron","Hermaphrodite","self_compatible","none",32.4394933135178,"Capitulum","actinomorphic",15,4,35,35,2.85,3.75,400,"herb","Short lived",0.45,0.0143544319999012
"518","Erigeron pulchellus","Asterales","Asteraceae","Erigeron","Hermaphrodite","self_compatible","none",21.3646143417525,"Capitulum","actinomorphic",3,3,27.5,27.5,5.1,3.75,200,"herb","Perennial",0.3,0.0145536506706273
"519","Eriobotrya japonica","Rosales","Rosaceae","Eriobotrya","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",4000,25,50,9.1,5,3.25,10,"tree","Perennial",6.75,0.000556793095293911
"520","Eriopsis biloba","Asparagales","Orchidaceae","Eriopsis","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",35,35,100,24,8,0.1,25000,"herb","Perennial",0.125,8.12093567760789e-05
"521","Erodium cicutarium","Geraniales","Geraniaceae","Erodium","Hermaphrodite","self_compatible","high",82.8,"Open","actinomorphic",5,5,25,10,3.5,1,5,"herb","Short lived",0.45,0.000161617333629924
"524","Erophaca baetica","Fabales","Fabaceae","Erophaca","Monoecious","self_compatible","high",48.4558603418766,"Papilionaceous","zygomorphic",300,75,90,30,14.1,14,9.6,"herb","Perennial",0.5,0.000832606307695639
"525","Eryngium campestre","Apiales","Apiaceae","Eryngium","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",20,20,10,1.5,2.5,5,2,"herb","Perennial",0.3,0.00382160046043085
"526","Eryngium yuccifolium","Apiales","Apiaceae","Eryngium","Hermaphrodite","partially_self_compatible","none",0,"Capitulum","actinomorphic",20,20,17.5,17.5,17.5,10,50,"herb","Perennial",1.05,0.00383419630754138
"527","Erysimum redowskii","Brassicales","Brassicaceae","Erysimum","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",40,10,30,6,6,11.5,34.7,"herb","Short lived",0.16,0.000361669655244941
"528","Erythronium albidum","Liliales","Liliaceae","Erythronium","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1,1,25,25,24.1,19.1,34.7,"herb","Perennial",0.15,3.43854217508883e-05
