"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"Leucogenes grandiceps","Asterales","Asteraceae","Leucogenes","Leucogenes grandiceps","Hermaphrodite","self_compatible","low",16.702474137931,"Capitulum","actinomorphic",15,24.1,2.5,0.69,31.5,"herb","Perennial",0.1,"yes"
"Liatris pycnostachya","Asterales","Asteraceae","Liatris","Liatris pycnostachya","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1800,10,8.8,19,5,"herb","Perennial",1.05,"yes"
"Liatris scariosa","Asterales","Asteraceae","Liatris","Liatris scariosa","Hermaphrodite","self_compatible","low",17.147574137931,"Capitulum","actinomorphic",12,32,11,15,50,"herb","Perennial",0.75,"yes"
"Ligularia cymbulifera","Asterales","Asteraceae","Ligularia","Ligularia cymbulifera","Hermaphrodite","partially_self_compatible","low",14.2479676470588,"Capitulum","actinomorphic",50,19.1,6.5,6.5,15,"herb","Perennial",1,"yes"
"Ligularia dictyoneura","Asterales","Asteraceae","Ligularia","Ligularia dictyoneura","Hermaphrodite","self_compatible","low",20.6047,"Capitulum","actinomorphic",15,17.5,17.5,6.5,15,"herb","Short lived",0.785,"yes"
"Ligularia fischerii","Asterales","Asteraceae","Ligularia","Ligularia fischeri","Hermaphrodite","self_compatible","low",14.658899137931,"Tube","actinomorphic",25,40,15,15,15,"herb","Perennial",1.4,"yes"
"Ligularia lankongensis","Asterales","Asteraceae","Ligularia","Ligularia lankongensis","Hermaphrodite","self_compatible","low",18.5163833333333,"Capitulum","actinomorphic",10,25,10,6.5,15,"herb","Short lived",0.25,"yes"
"Ligularia tsangchanensis","Asterales","Asteraceae","Ligularia","Ligularia tsangchanensis","Hermaphrodite","self_compatible","low",16.03115,"Capitulum","actinomorphic",10,2.2,8,10,15,"herb","Perennial",0.675,"yes"
"Ligustrum joponicum","Lamiales","Oleaceae","Ligustrum","Ligustrum japonicum","Hermaphrodite","partially_self_compatible","low",9.02134166666667,"Tube","actinomorphic",30000,4,6,6,4,"shrub","Perennial",3,"yes"
"Ligustrum obtusifolium","Lamiales","Oleaceae","Ligustrum","Ligustrum obtusifolium","Hermaphrodite","partially_self_compatible","low",6.98709166666667,"Tube","actinomorphic",15000,5,9,1.5,4,"shrub","Perennial",3,"yes"
"Lilium duchartrei","Liliales","Liliaceae","Lilium","Lilium duchartrei","Hermaphrodite","self_compatible","low",13.0940666666667,"Open","actinomorphic",5,110,55,35,147,"herb","Perennial",0.8,"yes"
"Lilium superbum","Liliales","Liliaceae","Lilium","Lilium superbum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",5,68,50,40,147,"herb","Perennial",0.9,"yes"
