"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Pollen_per_flower"
"Lippia alba","Lamiales","Verbenaceae","Lippia","Lippia alba","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",750,5,4.1,1.5,2,"shrub","Perennial",1,"yes",1.5639425,31842.7848
"Lippia_turbinata","Lamiales","Verbenaceae","Lippia","Lippia turbinata","Hermaphrodite","self_compatible","low",3,"Tube","actinomorphic",5000,2,2.75,1.5,2,"shrub","Perennial",1.5,"yes",1.01900765,14487.10835
"Litsea citriodora","Laurales","Lauraceae","Litsea","Litsea cubeba","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,3.1,2,0.3,1,"shrub","Perennial",6.5,"yes",3.12115423333333,16216
"Litsea japonica","Laurales","Lauraceae","Litsea","Litsea japonica","Dioecious","dioecious","none",0,"Brush","actinomorphic",1200,3.1,4,0.3,1,"tree","Perennial",5,"yes",3.33035015,584449.51675
"Lobelia cardinalis","Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",20,14.1,27.5,27.5,740,"herb","Perennial",0.9,"yes",25.947273,34553
"Lobelia cardinalis x siphilitica","Asterales","Campanulaceae","Lobelia","Lobelia cardinalis x siphilitica","Hermaphrodite","self_compatible","low",13.928925,"Tube","zygomorphic",20,30,20,20,530,"herb","Short lived",0.75,"yes",12.49839,127270.275833333
"Lobelia inflata","Asterales","Campanulaceae","Lobelia","Lobelia inflata","Hermaphrodite","self_compatible","low",17.50385,"Tube","zygomorphic",15,7,9,4.5,740,"herb","Short lived",0.45,"yes",12.0860633333333,140053.599905
"Pratia macrodon","Asterales","Campanulaceae","Lobelia","Lobelia macrodon","Hermaphrodite","self_compatible","low",13.9965,"Tube","zygomorphic",5,17.5,12.5,1.75,627,"herb","Perennial",0.7,"yes",13.3474433333333,161397.563833333
"Lobelia siphilitica","Asterales","Campanulaceae","Lobelia","Lobelia siphilitica","Dioecious","self_compatible","low",12.24805,"Campanulate","zygomorphic",25,8,12,5.1,500,"herb","Perennial",1,"yes",14.027935,78780.1518333333
"Lobelia leptostachys","Asterales","Campanulaceae","Lobelia","Lobelia spicata","Dioecious","partially_self_compatible","low",13,"Tube","zygomorphic",50,15,10,5,627,"herb","Perennial",0.5,"yes",14.86897,139072.4175
"Alyssum maritimum","Brassicales","Brassicaceae","Lobularia","Lobularia maritima","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",750,4,3.63044204545455,0.45,2,"herb","Perennial",0.25,"yes",1.66547075,18000
"Lonicera gracilipes","Dipsacales","Caprifoliaceae","Lonicera","Lonicera gracilipes","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",100,7.7,11.3,15,23,"shrub","Perennial",1.5,"yes",0.12,103838.60485
"Lonicera sempervirens","Dipsacales","Caprifoliaceae","Lonicera","Lonicera sempervirens","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",600,1.1,35,3.2,23,"vine","Perennial",3,"yes",12,91521.8577
"Lonicera sullivantii","Dipsacales","Caprifoliaceae","Lonicera","Lonicera sullivantii","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",600,15.6,24.1,12.5,23,"shrub","Perennial",0.8,"yes",18.49795,109961.1635
"Lotus corniculatus","Fabales","Fabaceae","Lotus","Lotus corniculatus","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",35,11,11,5,35,"herb","Perennial",0.55,"yes",0.23,198500
"Lotus uliginosus","Fabales","Fabaceae","Lotus","Lotus pedunculatus","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",60,15,12,8,49,"herb","Perennial",0.575,"yes",0.33,420959
"Ludvigia alternifolia","Myrtales","Onagraceae","Ludwigia","Ludwigia alternifolia","Hermaphrodite","self_compatible","low",15.5495261904762,"Open","actinomorphic",10,12,8,2.5,9,"herb","Perennial",0.75,"yes",2.25473545,41443.5055
"Ludwigia decurrens","Myrtales","Onagraceae","Ludwigia","Ludwigia decurrens","Hermaphrodite","self_compatible","low",16.1692178571429,"Open","actinomorphic",15,27,6.75,2,12,"herb","Perennial",1,"yes",3.45307,65598.9046666667
"Ludwigia nervosa","Myrtales","Onagraceae","Ludwigia","Ludwigia nervosa","Hermaphrodite","self_compatible","low",19.35,"Open","actinomorphic",20,14.1,5,2.5,10.5,"shrub","Perennial",1.25,"yes",2.01144923333333,57375.7748333333
"Ludvigia polycarpa","Myrtales","Onagraceae","Ludwigia","Ludwigia polycarpa","Hermaphrodite","self_compatible","low",15.5955928571429,"Open","actinomorphic",35,7.1,4,0.65,9,"herb","Perennial",0.475,"yes",1.5958006,32202.9425238095
"Saxifraga caespitosa","Rosales","Rosaceae","Luetkea","Luetkea pectinata","Hermaphrodite","self_compatible","low",14.113275,"Open","actinomorphic",15,5.5,1.5,1,5,"shrub","Perennial",0.15,"yes",2.71298893333333,83891.443
"Lupinus angustifolius","Fabales","Fabaceae","Lupinus","Lupinus angustifolius","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",25,12.5,12.5,15.2,4,"herb","Short lived",0.45,"no",0,22018
"Lupinus polyphyllus","Fabales","Fabaceae","Lupinus","Lupinus polyphyllus","Hermaphrodite","self_compatible","low",13.4399,"Papilionaceous","zygomorphic",40,12.1,13,10.5,7,"herb","Perennial",1,"no",0,19488
"Lycium chilense","Solanales","Solanaceae","Lycium","Lycium chilense","Hermaphrodite","partially_self_compatible","low",11.9554571428571,"Campanulate","actinomorphic",1000,10,6.25,8,33,"shrub","Perennial",0.5,"yes",60,47200
"Lycium_gilliesianum","Solanales","Solanaceae","Lycium","Lycium gilliesianum","Hermaphrodite","partially_self_compatible","low",12.5333071428571,"Tube","actinomorphic",1000,3,12.5,12.8,33,"shrub","Perennial",0.9,"yes",900,50000
"Lycium_tenuispinosum","Solanales","Solanaceae","Lycium","Lycium tenuispinosum","Hermaphrodite","partially_self_compatible","low",11.8548,"Campanulate","actinomorphic",1000,10,6,12,33,"shrub","Perennial",1.5,"yes",57.876993,41000
"Lycopersicon cheesmanii minor","Solanales","Solanaceae","Lycopersicon","Lycopersicon cheesmanii","Hermaphrodite","self_compatible","low",13.2429,"Open","actinomorphic",20,22.1,2,5.5,45,"herb","Perennial",1,"no",0,128917.135083333
"Lycopus americanus","Lamiales","Lamiaceae","Lycopus","Lycopus americanus","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",60,2,2.5,4.5,4,"herb","Perennial",2.15,"yes",1.0164803,1588
"Trientalis europaea","Ericales","Primulaceae","Trientalis","Lysimachea europaea","Hermaphrodite","self_compatible","low",13.1957,"Open","actinomorphic",5,13.1,1.1,5,19,"herb","Perennial",0.12,"no",0,87723.4325
"Steironema ciliatum","Ericales","Primulaceae","Lysimachia","Lysimachia ciliata","Hermaphrodite","self_compatible","low",13.1097166666667,"Open","actinomorphic",15,25,5.1,5,30,"herb","Perennial",0.4,"no",0,157484.2712
"Steironema lanceolatum","Ericales","Primulaceae","Lysimachia","Lysimachia lanceolatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30,19.1,31.12,5,30,"herb","Perennial",0.55,"no",0,97862.2013928571
"Lysimachia mauiriana","Ericales","Primulaceae","Lysimachia","Lysimachia mauritiana","Hermaphrodite","self_compatible","low",21.4827,"Campanulate","actinomorphic",100,10.1,4,5,30,"herb","Short lived",0.3,"no",1.33075,44466.5348121429
"Lysimachia vulgaris","Ericales","Primulaceae","Lysimachia","Lysimachia vulgaris","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",30,17.5,9.5,4.5,30,"herb","Perennial",0.9,"yes",7.7324,86731.3750833333
"Lythrum alatum","Myrtales","Lythraceae","Lythrum","Lythrum alatum","Hermaphrodite","partially_self_compatible","low",12.5223666666667,"Tube","zygomorphic",20,10.5,7.8,0.6,80,"herb","Perennial",0.5,"yes",15.133855,120883.406876667
"Lythrum salicaria","Myrtales","Lythraceae","Lythrum","Lythrum salicaria","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",75,15,8.5,7,107,"herb","Perennial",1.25,"yes",27.22684315,30990
"Maackia tashiroi","Fabales","Fabaceae","Maackia","Maackia tashiroi","Hermaphrodite","self_compatible","low",13.60445,"Tube","zygomorphic",1200,4,6.5,1.65,2,"shrub","Perennial",1.22953333333333,"yes",1.53151605,15393.14631
"Macairea pachyphylla","Myrtales","Melastomataceae","Macairea","Macairea pachyphylla","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",700,15,10,4,49.07,"tree","Perennial",6,"no",0,424045.537821667
"Macairea parvifolia","Myrtales","Melastomataceae","Macairea","Macairea parvifolia","Hermaphrodite","partially_self_compatible","low",3.7,"Open","actinomorphic",700,16.5,10,4,49.07,"shrub","Perennial",1.6,"no",0,356633.100155
"Machitus thunbergii","Laurales","Lauraceae","Machilus","Machilus thunbergii","Hermaphrodite","self_compatible","medium",50.5,"Open","actinomorphic",500,5,2,2,1,"tree","Perennial",15,"yes",3.96175015,227892.70071
"Macleaya cordata","Ranunculales","Papaveraceae","Macleaya","Macleaya cordata","Hermaphrodite","self_compatible","low",11.9803333333333,"Brush","actinomorphic",250,20,10,1,5,"tree","Perennial",1.5,"yes",4.1939503,586619.715416667
"Macraea laricifolia","Asterales","Asteraceae","Macraea","Macraea laricifolia","Hermaphrodite","self_compatible","low",15.8587,"Capitulum","actinomorphic",35,9,4,4,60,"shrub","Perennial",2,"yes",2.5579775,215097.814595
"Maesa tenera","Ericales","Primulaceae","Maesa","Maesa tenera","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",3065.76166666667,2,2,0.5,50,"shrub","Perennial",2.5,"yes",27.6754484,94680.88642
"Smilacina racemosa","Asparagales","Asparagaceae","Maianthemum","Maianthemum racemosum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",60,2.25,0.75,0.2,8,"herb","Perennial",0.6,"yes",1.55311,96892.643
"Smilacina stellata","Asparagales","Asparagaceae","Maianthemum","Maianthemum stellatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,5.1,0.75,1,5.1,"herb","Perennial",0.4,"yes",1.6718,85624.1968428572
"Smilacina trifolia","Asparagales","Asparagaceae","Maianthemum","Maianthemum trifolium","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",8,3.25,2.25,1,3,"herb","Perennial",0.1,"yes",3.345955,91137.1408028571
"Mallotus japonicus","Malpighiales","Euphorbiaceae","Mallotus","Mallotus japonicus","Dioecious","dioecious","none",0,"Brush","actinomorphic",24000,4.1,5,4,4,"shrub","Perennial",3,"yes",0.27,592420.888
"Pyrus coronaria","Rosales","Rosaceae","Malus","Malus coronaria","Hermaphrodite","partially_self_compatible","low",8.25065,"Open","actinomorphic",40000,32.5,5.5,12,4,"tree","Perennial",6.25,"yes",11.1403725,468330.077
"Lavatera cretica","Malvales","Malvaceae","Malva","Malva multiflora","Hermaphrodite","self_compatible","low",19.49035,"Open","actinomorphic",20,40,7,7,9,"herb","Short lived",0.8,"yes",2.62,8190
"Malva rotundifolia","Malvales","Malvaceae","Malva","Malva pusilla","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,11,3.1,3,11,"herb","Short lived",0.35,"yes",2.62,682
"Malvastrum coromandelianum","Malvales","Malvaceae","Malvastrum","Malvastrum coromandelianum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,17,5,4,11,"herb","Short lived",0.4,"no",0,15671.0774621428
"Mandevilla benthamii","Gentianales","Apocynaceae","Mandevilla","Mandevilla benthamii","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",3,15,20,10,16.82,"herb","Perennial",0.434572916666667,"yes",5.620188,84961.082
"Marcetia taxifolia","Myrtales","Melastomataceae","Marcetia","Marcetia taxifolia","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",75,3.2,2,9.4,118.45,"herb","Perennial",1.575,"no",0,196891.929055
"Marrubium vulgare","Lamiales","Lamiaceae","Marrubium","Marrubium vulgare","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",85,4.9,2.3,0.7,1.1,"herb","Perennial",0.6,"no",0,5644.40435000001
"Martynia louisiana","Lamiales","Martyniaceae","Martynia","Martynia louisiana","Hermaphrodite","self_compatible","low",12.9322,"Tube","zygomorphic",8,28.2,60,27.5,4,"herb","Short lived",0.45,"yes",10.078378,151232.931125
"Maytenus octogona","Celastrales","Celastraceae","Maytenus","Maytenus octogona","Hermaphrodite","self_compatible","low",9.86886666666666,"Open","actinomorphic",1000,3.5,3,1,5,"shrub","Perennial",4.05,"yes",0.22,60735.1835
"Medusagyne oppositifolia","Theales","Ochnaceae","Medusagyne","Medusagyne oppositifolia","Monoecious","partially_self_compatible","low",10,"Brush","actinomorphic",1800,4,4,2.5,2,"tree","Perennial",9,"no",0,804883.091
"Meehania urticifolia","Lamiales","Lamiaceae","Meehania","Meehania urticifolia","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",10,10,45,45,8,"herb","Perennial",0.3,"yes",8.697455,66927.48796
"Melampyrum pratense","Lamiales","Orobanchaceae","Melampyrum","Melampyrum pratense","Hermaphrodite","self_compatible","low",25,"Tube","zygomorphic",5,5,15,15,4,"herb","Short lived",0.25,"yes",0.1,35366.9339722222
"Melanthium virginicum","Liliales","Melanthiaceae","Melanthium","Melanthium virginicum","Hermaphrodite","self_compatible","low",17.375825,"Open","actinomorphic",75,20,2,3,21,"herb","Perennial",1.1,"yes",3.06787015,59783.2237666667
"Melastoma candidum","Myrtales","Melastomataceae","Melastoma","Melastoma malabathricum","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",75,60,15,25,2172.9,"shrub","Perennial",1,"no",0,635675.8075
"Euodia chapelieri","Sapindales","Rutaceae","Melicope","Melicope chapelieri","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,3,0.5,0.5,8,"tree","Perennial",15,"no",0,357339.0181
"Euodia obtusifolia","Sapindales","Rutaceae","Melicope","Melicope lunu-ankenda","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,3,0.5,0.5,8,"tree","Perennial",15,"no",0,357339.0181
"Melilotus alba","Fabales","Fabaceae","Melilotus","Melilotus alba","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",60,3,4.5,2,5,"herb","Short lived",1.5,"yes",0.03,4292.2
"Meliosma oldhamii","Proteales","Sabiaceae","Meliosma","Meliosma oldhamii","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30000,4,2,0.5,4,"tree","Perennial",10,"yes",2.7537725,223919.6365
"Meliosma rigida","Proteales","Sabiaceae","Meliosma","Meliosma rigida","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10000,3,2.1,0.5,4,"tree","Perennial",3.5,"yes",6.54404583333333,145724.76025
"Meliosma tenuis","Proteales","Sabiaceae","Meliosma","Meliosma tenuis","Hermaphrodite","self_incompatible","low",1.8,"Open","actinomorphic",2500,5,2,0.5,9.9,"tree","Perennial",2.5,"yes",0.23,107380.5405
"Melochia pyramidata","Malvales","Malvaceae","Melochia","Melochia pyramidata","Hermaphrodite","self_compatible","medium",62.7,"Tube","actinomorphic",25,5.3,6.5,3.1,5.5,"herb","Perennial",0.6,"no",0,742.55
"Melochia villosa","Malvales","Malvaceae","Melochia","Melochia villosa","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",60,6.7,7.7,6,9,"herb","Perennial",1.15,"yes",1.95199015,1260
"Memecylon elaeagni","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",6.1972,"Open","actinomorphic",6943.46,6,3,4.5,7,"shrub","Perennial",7.5,"no",0,384429.91935
"Memecylon ovatifolium","Myrtales","Melastomataceae","Memecylon","Memecylon ovatifolium","Hermaphrodite","partially_self_compatible","low",10.20965,"Open","actinomorphic",867.025833333333,4.1,3.133475,0.5,10,"shrub","Perennial",1.1,"no",0,206995.97481
"Menodora decemfida","Lamiales","Oleaceae","Menodora","Menodora decemfida","Hermaphrodite","partially_self_compatible","low",11.1695,"Campanulate","actinomorphic",300,14.5,6,12.5,8,"shrub","Perennial",0.5,"yes",14.90563,138969.787
"Mentha aquatica","Lamiales","Lamiaceae","Mentha","Mentha aquatica","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",100,2.5,5,9,4,"herb","Perennial",0.85,"yes",0.1,29932.010655
"Mentha arvensis","Lamiales","Lamiaceae","Mentha","Mentha arvensis","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",80,3.4,5.5,6.25,4,"herb","Perennial",0.5,"yes",0.45,4610.84051
"Mentha haplocalyx","Lamiales","Lamiaceae","Mentha","Mentha canadensis","Hermaphrodite","self_compatible","low",17.7193333333333,"Tube","zygomorphic",150,3.4,5.5,6.25,4,"herb","Perennial",0.5,"yes",0.500495833333333,10348.5096
"Mentha pulegium","Lamiales","Lamiaceae","Mentha","Mentha pulegium","Hermaphrodite","self_compatible","low",18.2887333333333,"Tube","zygomorphic",300,2.5,6,6,4,"herb","Perennial",0.25,"yes",0.480785,13478.7523
"Mentzelia_albescens","Cornales","Loasaceae","Mentzelia","Mentzelia albescens","Hermaphrodite","self_compatible","low",22.6355,"Campanulate","actinomorphic",20,7.45,1.65,6.25,4,"herb","Short lived",0.5,"no",0,48194.5726571429
"Mentzelia aspera","Cornales","Loasaceae","Mentzelia","Mentzelia aspera","Hermaphrodite","self_compatible","low",15.10615,"Open","actinomorphic",50,15,5,5,6,"herb","Short lived",0.5,"no",0,70187.9229678571
"Mertensia virginica","Boraginales","Boraginaceae","Mertensia","Mertensia virginica","Hermaphrodite","self_compatible","low",11.63965,"Funnelform","actinomorphic",15,21,30,2.45,4,"herb","Perennial",0.5,"yes",21.188158,129797.39935
"Miconia ciliata","Myrtales","Melastomataceae","Miconia","Miconia ciliata","Hermaphrodite","self_incompatible","low",0,"Open","actinomorphic",75,5,2,1.25,104.39,"shrub","Perennial",4,"no",0,467500
"Miconia robinsoniana","Myrtales","Melastomataceae","Miconia","Miconia robinsoniana","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",200,13,2,4,270,"shrub","Perennial",3.5,"yes",7.7876925,324038.2145
"Miconia stephananthera","Myrtales","Melastomataceae","Miconia","Miconia stephananthera","Hermaphrodite","self_compatible","low",12.4144766666667,"Open","actinomorphic",200,1.1,1.1,5,270,"shrub","Perennial",1.5,"yes",13.8325539333333,115257.29584
"Saxifraga nivalis","Saxifragales","Saxifragaceae","Micranthes","Micranthes nivalis","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,6.5,2.1,1,150,"herb","Perennial",0.065,"yes",4.08787015,62914.7258571429
"Microseris lanceolata","Asterales","Asteraceae","Microseris","Microseris lanceolata","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,17.5,5,5,20,"herb","Perennial",0.2,"yes",0.962434083333333,184785.243253968
"Microtea scabrida","Caryophyllales","Phytolaccaceae","Microtea","Microtea scabrida","Hermaphrodite","self_compatible","low",17.40215,"Open","actinomorphic",200,1,1,0.1,1,"vine","Perennial",0.75,"yes",1.4692828,12559.60695
"Microula sikkimensis","Boraginales","Boraginaceae","Microula","Microula sikkimensis","Hermaphrodite","self_compatible","low",14.35575,"Tube","actinomorphic",30,6,6,3,4,"herb","Short lived",0.355,"yes",1.86700166666667,216420
"Mikania psilotachya","Asterales","Asteraceae","Mikania","Mikania psilostachya","Hermaphrodite","partially_self_compatible","low",11.34445,"Capitulum","actinomorphic",30000,3,6.4,7.1,5,"vine","Perennial",4.698725,"yes",9.246425,226294.26296
"Mimosa camporum","Fabales","Fabaceae","Mimosa","Mimosa camporum","Hermaphrodite","self_compatible","low",7.47,"Brush","actinomorphic",500,50,29.1,7.5,6.5,"herb","Short lived",0.35,"yes",8.67286408333333,31840
"Mimosa hexandra","Fabales","Fabaceae","Mimosa","Mimosa hexandra","Hermaphrodite","self_compatible","low",19.0308166666667,"Tube","actinomorphic",1600,1,2,7.5,6.5,"shrub","Perennial",2,"yes",2.04562908333333,30109.51996
"Mimosa sensibilis","Fabales","Fabaceae","Mimosa","Mimosa sensibilis","Hermaphrodite","partially_self_compatible","low",9.77821,"Brush","actinomorphic",1000,1,2,7.5,6.5,"shrub","Perennial",1.25,"no",0.926715,613273.81781
"Mimulus alatus","Lamiales","Phrymaceae","Mimulus","Mimulus alatus","Hermaphrodite","self_compatible","low",14.0489,"Tube","zygomorphic",10,11,22.5,7,75.6957,"herb","Perennial",0.75,"yes",2.769983,71932.99625
"Mimulus moschatus","Lamiales","Phrymaceae","Mimulus","Mimulus moschatus","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",2,17,20,8.5,290,"herb","Perennial",0.2,"yes",8.63868766666667,46693.7754766667
"Mimulus ringens","Lamiales","Phrymaceae","Mimulus","Mimulus ringens","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,10,15,13,6000,"herb","Perennial",0.6,"yes",23.960958,87589.83796
"Mimusops erythroxylon","Ericales","Sapotaceae","Mimusops","Mimusops erythroxylon","Hermaphrodite","partially_self_compatible","low",6.13805,"Open","actinomorphic",13078.35,15,10,5,7,"tree","Perennial",16,"no",0,454075.462
"Mimusops sechellarum","Ericales","Sapotaceae","Mimusops","Mimusops sechellarum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",20433.325,15,8,4,7,"tree","Perennial",16,"yes",3.04862,341429.59135
"Mirabilis jalapa","Caryophyllales","Nyctaginaceae","Mirabilis","Mirabilis jalapa","Hermaphrodite","self_compatible","medium",57,"Tube","actinomorphic",50,35,45,37.5,1,"herb","Perennial",0.5,"yes",2.62,382.4
"Oxybaphus_obatus","Caryophyllales","Nyctaginaceae","Mirabilis","Mirabilis ovata","Hermaphrodite","self_compatible","low",9.84611666666666,"Campanulate","actinomorphic",50,10,10,18,1,"herb","Perennial",0.5,"yes",2.14,177936.658666667
"Molinaea alternifolia","Sapindales","Sapindaceae","Molinaea","Molinaea arborea","Monoecious","monoecious","none",0,"Open","actinomorphic",7546.86119047619,5.5,5.5,0.5,3,"tree","Perennial",10,"yes",0.9,97317.6305
"Molinaea macrantha","Sapindales","Sapindaceae","Molinaea","Molinaea macrantha","Monoecious","monoecious","none",0,"Open","actinomorphic",500,5.5,5.5,0.5,3,"shrub","Perennial",10,"yes",2.1,131502.3445
"Mollugo flavescens","Caryophyllales","Molluginaceae","Mollugo","Mollugo flavescens","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",100,31.12,2,3,30,"herb","Short lived",0.25,"yes",5.974705,62877.442655
"Mollugo snodgrassii","Caryophyllales","Molluginaceae","Mollugo snodgrassii","Mollugo snodgrassii","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,8,2,2,30,"herb","Perennial",0.25,"yes",1.37120015,9755.48457166667
"Mollugo verticillata","Caryophyllales","Molluginaceae","Mollugo","Mollugo verticillata","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,4.5,1.5,0.4,30,"herb","Short lived",0.15,"yes",2.892875,1167
"Mormordica charantia","Cucurbitales","Cucurbitaceae","Momordica","Momordica charantia","Monoecious","monoecious","none",0,"Open","actinomorphic",10,32,5,2.5,48,"vine","Short lived",2.5,"yes",5.60785875,151969.706
"Monarda bradburiana","Lamiales","Lamiaceae","Monarda","Monarda bradburiana","Hermaphrodite","self_compatible","low",12.75405,"Tube","zygomorphic",14,30,30,30,4,"herb","Perennial",0.45,"yes",6.35887833333333,123066.154125
"Neopaxia australasica","Caryophyllales","Montiaceae","Montia","Montia australasica","Hermaphrodite","self_compatible","low",12.53905,"Open","actinomorphic",15,9,4.5,2,4.5,"herb","Perennial",0.15,"yes",3.12650515,68156.0882333333
"Montricharida arborescens","Alismatales","Araceae","Montrichardia","Montrichardia arborescens","Monoecious","monoecious","low",13,"Spike","zygomorphic",60,1,1,0.1,1,"shrub","Perennial",2.25,"no",0,19445.8
"Monttea_aphylla","Lamiales","Plantaginaceae","Monttea","Monttea aphylla","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",250,18,15.5,6,1,"shrub","Perennial",1.5,"no",0,52641.04325
"Morina nepalensis","Dipsacales","Caprifoliaceae","Morina","Morina nepalensis","Hermaphrodite","self_compatible","low",12.40245,"Tube","zygomorphic",60,12.5,22,15,1,"herb","Perennial",0.3,"yes",1.92724666666667,79412.416825
"Morinda citrifolia","Gentianales","Rubiaceae","Morinda","Morinda citrifolia","Hermaphrodite","self_compatible","low",10.2375833333333,"Tube","actinomorphic",1200,10,15,15,2,"tree","Perennial",6.5,"yes",3.3,198293.09685
"Morinda umbellata","Gentianales","Rubiaceae","Morinda","Morinda umbellata","Dioecious","self_compatible","low",12.7862166666667,"Tube","actinomorphic",500,2.2,2.2,2,2,"vine","Perennial",10,"yes",1.49,54168.22846
"Mosla dianthera","Lamiales","Lamiaceae","Mosla","Mosla dianthera","Hermaphrodite","self_compatible","low",23.90785,"Tube","zygomorphic",100,4,3.1,4,3.1,"herb","Short lived",0.15,"yes",1.5019753,11133.4680833333
"Muehlenbeckia axillaris","Caryophyllales","Polygonaceae","Muehlenbeckia","Muehlenbeckia axillaris","Dioecious","dioecious","none",0,"Open","actinomorphic",100,5.1,0.6,1,1,"shrub","Perennial",0.25,"yes",2.06499045,60251.53715
"Muehlenbeckia complexa","Caryophyllales","Polygonaceae","Muehlenbeckia","Muehlenbeckia complexa","Dioecious","dioecious","none",0,"Open","actinomorphic",150,3.5,0.5,1,1,"vine","Perennial",2.75,"yes",1.7822653,64318.01005
"Junellia_aspera","Lamiales","Verbenaceae","Mulguraea","Mulguraea aspera","Hermaphrodite","self_compatible","low",15.13445,"Tube","actinomorphic",100,5,10,6,4,"shrub","Perennial",1,"yes",0.912291966666666,33520.55781
"Arabis dentata","Brassicales","Brassicaceae","Murbeckiella","Murbeckiella pinnatifida","Hermaphrodite","self_compatible","medium",57.5346,"Tube","actinomorphic",75,1.5,2.1,0.25,29,"herb","Short lived",0.15,"yes",7.85495931666666,42019.9923490476
"Commelina nudiflora","Commelinales","Commelinaceae","Murdannia","Murdannia nudiflora","Hermaphrodite","self_compatible","high",96,"Open","actinomorphic",15,9,1.5,0.9,6,"herb","Short lived",0.15,"no",0,21945.23925
"Musa balbisiana","Zingiberales","Musaceae","Musa","Musa balbisiana","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,10,40,40,250,"herb","Perennial",4,"yes",52.5,280012.40275
"Musaenda parviflora","Gentianales","Rubiaceae","Mussaenda","Mussaenda parviflora","Dioecious","self_incompatible","none",0,"Tube","actinomorphic",35,11.35,13.4,13,929.5,"shrub","Perennial",4,"yes",39.610975,408704.65696
"Mycelis muralis","Asterales","Asteraceae","Mycelis","Mycelis muralis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",70,7.5,13.5,13.5,5,"herb","Perennial",0.55,"yes",1.70577833333333,4325
"Myosotis alpestris","Boraginales","Boraginaceae","Myosotis","Myosotis alpestris","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",15,10,10,3.25,4,"herb","Perennial",0.125,"yes",4.16747666666667,47098.9213571429
"Myosotis palustris","Boraginales","Boraginaceae","Myosotis","Myosotis scorpioides","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,9,1.5,2.25,4,"herb","Perennial",0.4,"yes",3.96138015,116734.920833333
