"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Nectar_concentration","Pollen_per_flower"
"Abutilon depauperatum","Malvales","Malvaceae","Abutilon","Abutilon depauperatum","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",50,15,15,15,4,30,"shrub","Perennial",1.75,"yes",0.88,28.8,15313
"Abutilon theophrasti","Malvales","Malvaceae","Abutilon","Abutilon theophrasti","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,12.5,12.5,2.5,4,34,"herb","Short lived",1.25,"yes",0.88,28.8,15313
"Acacia adealbata","Fabales","Fabaceae","Acacia","Acacia dealbata","Hermaphrodite","partially_self_compatible","low",0.4,"Brush","actinomorphic",65000,40,5.75,5.75,3.5,13,"tree","Perennial",8.5,"yes",0.1,5.8,14500
"Acacia insulae-iacobi","Fabales","Fabaceae","Acacia","Acacia insulae-iacobi","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,40,7.24644166666666,2.1,3.5,12,"tree","Perennial",5,"yes",0.1,5.8,14500
"Acacia rurodiana","Fabales","Fabaceae","Acacia","Acacia rorudiana","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,40,6,2.35,7,16,"shrub","Perennial",3.1,"yes",0.1,5.8,14500
"Acantholippia seriphioides","Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",10000,24,6,3,3,2,"shrub","Perennial",0.45,"no",0,0,58754.6155166667
"Acer carpinifolium","Sapindales","Sapindaceae","Acer","Acer carpinifolium","Dioecious","dioecious","none",0,"Open","actinomorphic",20000,40,9.1,2.1,2,4,"tree","Perennial",6.5,"no",0,0,238159.67325
"Acer insulae","Sapindales","Sapindaceae","Acer","Acer caudatifolium","Hermaphrodite","dioecious","none",0,"Open","actinomorphic",5000,20,5,5,1,8,"tree","Perennial",6.1,"no",0,0,156540.43625
"Acer negundo","Sapindales","Sapindaceae","Acer","Acer negundo","Dioecious","dioecious","none",0,"Open","actinomorphic",15000,20,5.6,5.1,6.65,4,"tree","Perennial",8,"no",0,0,237800
"Acer saccharinum","Sapindales","Sapindaceae","Acer","Acer saccharinum","Monoecious","monoecious","none",0,"Open","actinomorphic",10000,20,2.5,3,5,4,"tree","Perennial",28,"no",0,0,237800
"Achyranthes bidentata","Caryophyllales","Amaranthaceae","Achyranthes","Achyranthes bidentata","Hermaphrodite","self_compatible","low",15.4967625,"Tube","actinomorphic",100,15,1.5,5,1.5,1,"herb","Perennial",0.95,"no",0,0,15731.12655
"Aconitum piepunense","Ranunculales","Ranunculaceae","Aconitum","Aconitum piepunense","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",50,23,13,7.5,2.5,58,"herb","Perennial",1.12337083333333,"yes",12.75,28.46809,143865
"Actea alba","Ranunculales","Ranunculaceae","Actaea","Actaea rubra","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",250,20,5,31.12,1.5,22,"herb","Perennial",0.6,"no",0,0,41131
"Actinidia arguta","Ericales","Actinidiaceae","Actinidia","Actinidia arguta","Dioecious","dioecious","none",0,"Open","actinomorphic",300,45,16,5,6.5,600,"vine","Perennial",4,"no",0,0,2424009
"Actinidia rufa","Ericales","Actinidiaceae","Actinidia","Actinidia rufa","Dioecious","dioecious","none",0,"Open","actinomorphic",300,12.5,12.5,5,3,600,"shrub","Perennial",7,"no",0,0,2424009
"Adenophora capillaris","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,12.5,12.5,14,20,152,"herb","Perennial",0.75,"yes",1.71,19.2,20795
"Adenophora jasionifolia","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,20,20,18.44,20,193,"herb","Perennial",0.45,"yes",2.56,42.9,79395
"Adenophora khasiana","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,35,35,20.59,24,356,"herb","Perennial",0.9,"yes",0.53,39.8,20621
"Aeschynomene pratensis","Fabales","Fabaceae","Aeschynomene","Aeschynomene pratensis","Hermaphrodite","self_compatible","low",23.33,"Papilionaceous","zygomorphic",15,3,3,8,5,15,"herb","Perennial",1,"yes",1,26.70135,46259.44185
"Gerardia auriculata","Lamiales","Orobanchaceae","Agalinis","Agalinis auriculata","Hermaphrodite","self_compatible","high",95,"Campanulate","zygomorphic",10,30,12.1,13,11,215.55,"herb","Short lived",0.45,"no",0,0,29150
"Gerardia purpurea","Lamiales","Orobanchaceae","Agalinis","Agalinis purpurea","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,60,16.5,18.1,15,224,"herb","Short lived",0.45,"yes",0.04,17.1,88735.67635
"Gerardia tenuifolia","Lamiales","Orobanchaceae","Agalinis","Agalinis tenuifolia","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,20,10.5,12.5,11,87,"herb","Short lived",9.1,"no",0,0,158430.820033333
"Agauria salicifolia","Ericales","Ericaceae","Agarista","Agarista salicifolia","Hermaphrodite","self_compatible","low",13.8351,"Tube","actinomorphic",2000,10,4.5,8.5,7,7,"tree","Perennial",10.45,"yes",0.9,12.6,50888.56905
"Ageratum conyzoides","Asterales","Asteraceae","Ageratum","Ageratum conyzoides","Hermaphrodite","self_compatible","medium",52,"Capitulum","actinomorphic",50,6.5,6.5,3,1,40,"herb","Short lived",0.55,"yes",4.2,32.5518,191021.538775
"Agrimonia pilosa","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","Hermaphrodite","self_compatible","low",15.6408125,"Open","actinomorphic",30,18,7.5,1,3,2,"herb","Perennial",0.75,"no",0,0,23387.8425833333
"Agrimonia striata","Rosales","Rosaceae","Agrimonia","Agrimonia striata","Hermaphrodite","self_compatible","low",15.8816625,"Open","actinomorphic",60,18,7.2,0.6,3,1,"herb","Perennial",0.75,"no",0,0,24197.8175833333
"Akebia quinata","Ranunculales","Lardizabalaceae","Akebia","Akebia quinata","Monoecious","monoecious","none",0,"Open","actinomorphic",50,45,15,2.5,3,66.9617666666666,"vine","Perennial",6,"no",0,0,353498.822166667
"Albizzia julibrissin","Fabales","Fabaceae","Albizzia","Albizia julibrissin","Hermaphrodite","self_incompatible","low",13,"Brush","actinomorphic",20000,45,2,4,14,10,"tree","Perennial",9,"yes",15,25.6,363983.64875
"Allium ampeloprasum","Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",250,50,6,5,35.5,6,"herb","Perennial",1.25,"yes",0.61,24.4467,103650.90125
"Allium atrosanguineum","Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",50,10,8.12253333333333,6.874325,5.25,6,"herb","Perennial",0.3,"yes",0.61,23.52605,43496.23395
"Allium cyathophorum","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",750,17.5,3.5,5.5543,3.5,5.1,"herb","Perennial",0.225,"yes",0.61,22.41255,58795
"Allium macranthum","Asparagales","Amaryllidaceae","Allium","Allium macranthum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,140,20,25,14,8,"herb","Perennial",0.4,"yes",0.61,24.32465,74230.6651666667
"Allium wallichii","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,80,18,5,9,6,"herb","Perennial",0.525,"yes",0.61,22.4821,41851
"Alocasia odora","Alismatales","Arecaceae","Alocasia","Alocasia odora","Hermaphrodite","self_compatible","low",13,"Spike","actinomorphic",360,150,2,1,1,6,"herb","Perennial",1.25,"no",0,0,18910
"Alternanthera echinocephala","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera echinocephala","Hermaphrodite","self_compatible","low",1.5,"Campanulate","actinomorphic",5000,30,10,8,0.2,1,"shrub","Perennial",1.25,"yes",0.28,13.38,2506
"Alternanthera filifolia","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera filifolia","Hermaphrodite","self_compatible","low",9.0125,"Tube","actinomorphic",5000,30,7.3,8.11,0.2,1,"shrub","Perennial",1,"no",0.28,13.38,2506
"Amaranthus spinosus","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus spinosus","Monoecious","monoecious","none",0,"Open","actinomorphic",1500,10,2,2,2,1,"herb","Short lived",0.6,"no",0,0,4962
"Ambrosia trifida","Asterales","Asteraceae","Ambrosia","Ambrosia trifida","Monoecious","monoecious","none",0,"Capitulum","actinomorphic",1000,35,2.5,2.5,2,31.12,"herb","Short lived",2.15,"no",0,0,16875
"Ammannia coccinea","Myrtales","Lythraceae","Ammannia","Ammannia coccinea","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",350,15,4.5,4,1.5,22.115225,"herb","Short lived",0.25,"no",0,0,74737.264905
"Orchis morio","Asparagales","Orchidaceae","Anacamptis","Anacamptis morio","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",30,75,10,20,18.0075,3500,"herb","Perennial",0.2,"no",0,0,13
"Andromeda glaucophylla","Ericales","Ericaceae","Andromeda","Andromeda glaucophylla","Hermaphrodite","partially_self_compatible","low",40,"Campanulate","actinomorphic",800,20,4.5,4.1,2.45,47,"shrub","Perennial",0.35,"yes",0.64,24.7075,51985.2804
"Andryala integrifolia","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,14.5,14.5,4,10,75,"herb","Perennial",0.46,"no",0,0,413098.241406667
"Anemone demissa","Ranunculales","Ranunculaceae","Anemone","Anemone demissa","Hermaphrodite","self_compatible","low",14.9732,"Open","actinomorphic",15,150,52,4.1,1.9,1,"herb","Perennial",0.335,"no",0,0,195853
"Hepatica acutiloba","Ranunculales","Ranunculaceae","Anemone","Anemone hepatica","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",15,25,25,1,2,15,"herb","Perennial",0.125,"no",0,0,155056.611033333
"Anemone rivularis","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,20,20,5,1,100,"herb","Perennial",0.8,"no",0,0,195853
"Anemone rupestris","Ranunculales","Ranunculaceae","Anemone","Anemone rupestris","Hermaphrodite","self_compatible","low",14.50365,"Open","actinomorphic",15,25,25,7.1,3.5,1,"herb","Perennial",0.5,"no",0,0,195853
"Anemonella thalictroides","Ranunculales","Ranunculaceae","Anemonella","Anemonella thalictroides","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,18.5,18.5,5,0.5,1,"herb","Perennial",0.2,"no",0,0,10053
"Anisotome aromatica","Apiales","Apiaceae","Anisotome","Anisotome aromatica","Dioecious","dioecious","none",0,"Open","actinomorphic",200,15,4,1,0.5,2,"herb","Perennial",0.25,"no",0,0,16560
"Anisotome flexuosus","Apiales","Apiaceae","Anisotome","Anisotome flexuosa","Dioecious","dioecious","none",0,"Open","actinomorphic",500,15,4,1,0.5,2,"herb","Perennial",0.25,"no",0,0,16560
"Anthemis cotula","Asterales","Asteraceae","Anthemis","Anthemis cotula","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",10,21,3,9.5,3,115,"herb","Short lived",0.35,"no",0,0,165363.665165
"Antidesma madagascariense","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,10,2,2,0.5,2,"tree","Perennial",9.1,"no",0,0,253106.15775
"Aphloia theiformis","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","Hermaphrodite","self_compatible","low",9.2416,"Brush","actinomorphic",2000,80,20,9.1,0.1,6,"tree","Perennial",5,"yes",2.6,6.4,425992.8925
"Aquilegia canadensis","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia canadensis","Hermaphrodite","self_compatible","none",48,"Open","actinomorphic",15,24.1,24.1,21.1,12.1,118.6,"herb","Perennial",0.525,"yes",3.5,21.97715,72346
"Arachis microsperma","Fabales","Fabaceae","Arachis","Arachis microsperma","Hermaphrodite","self_compatible","low",19.1904125,"Papilionaceous","zygomorphic",5,16,16,61.5,40,4,"herb","Perennial",0.9989625,"no",0,0,3594.5
"Arctium lappa","Asterales","Asteraceae","Arctium","Arctium lappa","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",100,28.5,28.5,15.1591,20,40,"herb","Short lived",1.6,"no",0,0,3052
"Ardisia pusilla","Ericales","Primulaceae","Ardisia","Ardisia pusilla","Hermaphrodite","self_compatible","low",15.6150625,"Open","actinomorphic",10,15,3.5,1,2.5,5.5,"shrub","Perennial",0.23,"no",0,0,26954.6940833333
"Ardisia quinquegona","Ericales","Primulaceae","Ardisia","Ardisia quinquegona","Hermaphrodite","self_compatible","low",9.70585,"Open","actinomorphic",5000,15,3,1.5,2.5,5,"shrub","Perennial",3.1,"no",0,0,54935.9005166667
"Ardisia sieboldii","Ericales","Primulaceae","Ardisia","Ardisia sieboldii","Hermaphrodite","self_compatible","low",0.05,"Open","actinomorphic",50000,100,15,2,10.5,6,"tree","Perennial",8,"no",0,0,247046.119166667
"Arenaria pseudofrigida","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria pseudofrigida","Hermaphrodite","self_compatible","low",15.7397839285714,"Open","actinomorphic",50,30,10.1,7,3,15,"shrub","Perennial",0.035,"no",0,0,600
"Arenaria yunnanensis","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria yunnanensis","Hermaphrodite","self_compatible","medium",62.8762291666667,"Open","actinomorphic",50,16,16,7.25117083333333,6.5,15,"herb","Short lived",0.225,"no",0,0,600
"Arisaema triphyllum","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Dioecious","dioecious","none",0,"Open","zygomorphic",50,60,60,120,1,5,"herb","Perennial",0.45,"no",0,0,34299
"Armeria velutina","Caryophyllales","Plumbaginaceae","Armeria","Armeria velutina","Hermaphrodite","self_compatible","low",21.10565,"Open","actinomorphic",250,35,7,2,0.1,1,"herb","Perennial",0.4,"yes",0.25,18.048,979
"Cacalia tuberosa","Asterales","Asteraceae","Arnoglossum","Arnoglossum plantagineum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",200,15,15,10,9,6,"herb","Perennial",0.8,"no",0,0,307032.54412
"Asclepias incarnata","Gentianales","Apocynaceae","Asclepias","Asclepias incarnata","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3500,40,5.1,10,0.1,58,"herb","Perennial",1.05,"yes",0.14,58.96,221248.80795
"Asclepias sullivantii","Gentianales","Apocynaceae","Asclepias","Asclepias sullivantii","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",250,40,2.4,5.8,0.1,60,"herb","Perennial",0.9,"yes",0.21,66,216741.173
"Asclepias syriaca","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",400,40,4.5,4.5,0.1,208,"herb","Perennial",1.35,"yes",1.9,32,241925.86925
"Asclepias tuberosa","Gentianales","Apocynaceae","Asclepias","Asclepias tuberosa","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",1000,40,6.5,8,0.1,70,"herb","Perennial",0.45,"yes",0.29,57.23,197290.2703
"Asclepias verticillata","Gentianales","Apocynaceae","Asclepias","Asclepias verticillata","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",80,40,5.5,9,0.1,48,"herb","Perennial",0.3,"yes",2,35,209701.3719
"Asparagus officinalis","Asparagales","Asparagaceae","Asparagus","Asparagus officinalis","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2000,2.6,2.6,4.5,0.5,5,"vine","Perennial",0.55,"yes",0.935,21.5535035,210211.2172
"Azorina vidalii","Asterales","Campanulaceae","Azorina","Azorina vidalii","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",50,50,11,24,15,121.89065,"shrub","Perennial",1.2,"yes",9,22,140812.275
"Bacopa monniera","Lamiales","Plantaginaceae","Bacopa","Bacopa monnieri","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",10,7.5,7.5,10,4.1,178,"herb","Perennial",0.25,"no",0,0,57312
"Badula insularis","Ericales","Primulaceae","Badula","Badula insularis","Hermaphrodite","self_compatible","low",6.96725,"Open","actinomorphic",300,30,5.20318333333333,2.59331666666667,0.1,4,"tree","Perennial",3.5,"no",0,0,64017.719
"Badula platiphylla","Ericales","Primulaceae","Badula","Badula platyphylla","Hermaphrodite","self_compatible","low",8.33875,"Open","actinomorphic",300,30,5.818575,2.61856666666667,0.1,4,"shrub","Perennial",1.5,"no",0,0,58753.711
"Bakerella hoyifolia","Santalales","Loranthaceae","Bakerella","Bakerella hoyifolia","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",400,50,4.1,24.5,25,8,"herb","Perennial",0.75,"yes",10.1,13.1,82745.33985
"Barringtonia racemosa","Ericales","Lecythidaceae","Barringtonia","Barringtonia racemosa","Hermaphrodite","self_compatible","low",14.6042666666667,"Brush","actinomorphic",2000,120,20,19.735075,41,5,"tree","Perennial",6,"yes",3.5,26,50000
"Bartsia alpina","Lamiales","Orobanchaceae","Bartsia","Bartsia alpina","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",10,35,5,17.5,17,94,"herb","Perennial",0.23,"yes",0.99,15.1,47000
"Bastardia viscosa","Malvales","Malvaceae","Bastardia","Bastardia viscosa","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",20,7.1,7.1,2,1,5,"herb","Perennial",1,"yes",0.85,15.58,27388.5425
"Befaria glauca","Ericales","Ericaceae","Bejaria","Bejaria aestuans","Hermaphrodite","self_compatible","low",14.38875,"Campanulate","actinomorphic",100,100,35,25,28.1,100,"tree","Perennial",7.1,"yes",9.7,22.3726535,120538.82875
"Bertiera zaluzania","Gentianales","Rubiaceae","Bertiera","Bertiera zaluzania","Dioecious","dioecious","none",0,"Tube","actinomorphic",300,75,15,15,15,100,"shrub","Perennial",1,"yes",2.4,19.5,81575
"Beta maritima","Caryophyllales","Chenopodiaceae","Beta","Beta vulgaris","Dioecious","partially_self_compatible","low",13,"Tube","actinomorphic",150,10,2.5,4,2.01,1,"herb","Perennial",0.5,"no",0,0,150000
"Bidens aristosa","Asterales","Asteraceae","Bidens","Bidens aristosa","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,60,60,24.1,6,56.5,"herb","Short lived",0.75,"yes",0.012,40.4,294977.220338333
"Bidens bipinnata","Asterales","Asteraceae","Bidens","Bidens bipinnata","Hermaphrodite","self_compatible","medium",53.1492,"Capitulum","actinomorphic",5,7.5,7.5,2.1,2,19.5,"herb","Short lived",0.3,"yes",0.012,40.4,17374.5
"Bidens connata","Asterales","Asteraceae","Bidens","Bidens connata","Hermaphrodite","self_compatible","high",100,"Capitulum","actinomorphic",15,14,14,3,6,70,"herb","Short lived",0.8,"yes",0.012,40.4,110619.743455
"Bidens laevis","Asterales","Asteraceae","Bidens","Bidens laevis","Hermaphrodite","self_incompatible","low",7.78,"Capitulum","actinomorphic",3,40,40,10,6,80,"herb","Perennial",0.5,"yes",0.012,40.4,297043.618155
"Bidens pilosa","Asterales","Asteraceae","Bidens","Bidens pilosa","Hermaphrodite","self_compatible","high",67,"Capitulum","actinomorphic",5,11,11,8,6,50,"herb","Short lived",0.85,"yes",0.012,40.4,58644
"Psoralea bituminosa","Fabales","Fabaceae","Bituminaria","Bituminaria bituminosa","Hermaphrodite","self_compatible","medium",52.2334,"Tube","zygomorphic",200,10,2.5,11.5,9,1,"herb","Short lived",0.275,"yes",0.24,21.3,2138
"Blainvillea dichotoma","Asterales","Asteraceae","Blainvillea","Blainvillea dichotoma","Hermaphrodite","self_compatible","medium",54.520125,"Capitulum","actinomorphic",15,20,5.1,2.1,0.5,10,"herb","Short lived",0.5,"no",0,0,38090.0696933333
"Blastus cochinchinensis","Myrtales","Melastomataceae","Blastus","Blastus cochinchinensis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,35,8,3,10,100,"shrub","Perennial",2,"no",0,0,394855.4665
"Arabis laevigata","Brassicales","Brassicaceae","Boechera","Boechera stricta","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",35,10,2.1,1.1,0.175,163,"herb","Short lived",0.575,"yes",0.36,3.9,110954.71866
"Boerhaavia caribaea","Boraginales","Nyctaginaceae","Boerhaavia","Boerhavia caribaea","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",500,5,0.5,0.5,2.65,1,"herb","Perennial",0.9,"yes",0.36,3.9,79.2
"Boerhaavia erecta","Caryophyllales","Nyctaginaceae","Boerhavia","Boerhavia erecta","Hermaphrodite","self_compatible","medium",60.0286166666667,"Campanulate","actinomorphic",50,10,2,2,1.625,1,"herb","Short lived",0.5,"no",0,0,79.2
"Bonnetia sessilis","Malpighiales","Bonnetiaceae","Bonnetia","Bonnetia sessilis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",100,60,60,15.6,15,100,"shrub","Perennial",1.5,"no",0,0,244174.718285714
"Brassica fruticulosa","Brassicales","Brassicaceae","Brassica","Brassica fruticulosa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",20,30,15,5.5,1.96,20.2,"shrub","Perennial",2,"yes",0.06,26.19405,80280
"Brassica campestris","Brassicales","Brassicaceae","Brassica","Brassica rapa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,40,10,5,1,26,"herb","Short lived",0.75,"yes",1.35,54,390000
"Bursera graveolens","Sapindales","Burseraceae","Bursera","Bursera graveolens","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2500,20,4.8,4,1,2,"tree","Perennial",6,"yes",0.51,20.75,156819.23185
"Caesalpinia pulcherrima","Fabales","Fabaceae","Caesalpinia","Caesalpinia pulcherrima","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",2000,50,50,10,50,6,"shrub","Perennial",1.5,"yes",0.69,25.00065,30450
"Calamagrostis arundinacea","Poales","Poaceae","Calamagrostis","Calamagrostis arundinacea","Hermaphrodite","self_compatible","low",20.5466625,"Papilionaceous","zygomorphic",60,15,1,4,1,1,"herb","Perennial",0.45,"no",0,0,40275.3611833333
"Calophyllum eputamen","Malpighiales","Clusiaceae","Calophyllum","Calophyllum eputamen","Hermaphrodite","self_compatible","low",5.40030833333333,"Brush","actinomorphic",2000,100,15,8.34195714285714,10,1,"tree","Perennial",6.0215,"no",0,0,1488000
"Calopogon pulchellus","Asparagales","Orchidaceae","Calopogon","Calopogon tuberosus","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",10,37.5,37.5,17,10,7600,"herb","Perennial",0.7,"no",0,0,761165.468988333
"Campanula americana","Asterales","Campanulaceae","Campanula","Campanula americana","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",30,75,25,8,13.5,90,"herb","Short lived",1,"yes",0.4,60,80340
"Tecoma radicans","Lamiales","Bignoniaceae","Campsis","Campsis radicans","Hermaphrodite","self_incompatible","none",0,"Funnelform","actinomorphic",800,280,68,73,48,30,"vine","Perennial",5,"yes",160,27.4,30500
"Capsicum frutescens","Solanales","Solanaceae","Capsicum","Capsicum frutescens","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",3,16.25,16.25,13.37485,3.5,100,"shrub","Perennial",1,"yes",8.8,24.6,153805
"Cardiospermum galapageium","Malvales","Sapindaceae","Cardiospermum","Cardiospermum galapageium","Hermaphrodite","self_compatible","low",20.4745,"Open","zygomorphic",50,8,8,5,0.75,3,"vine","Perennial",3.5,"yes",0.76,22.5,1050
"Carica papaya","Brassicales","Caricaceae","Carica","Carica papaya","Hermaphrodite","self_compatible","low",13.11675,"Tube","actinomorphic",100,90,17.5,45,10,493,"tree","Perennial",6,"yes",7.2,23.85,115000
"Casearia coriacea","Malpighiales","Salicaceae","Casearia","Casearia coriacea","Hermaphrodite","self_compatible","low",14.7848,"Open","actinomorphic",100,5,1,1,0.1,4,"tree","Perennial",7,"yes",1.7,19,90047.3761
"Castanopsis sieboldii","Fagales","Fagaceae","Castanopsis","Castanopsis sieboldii","Monoecious","monoecious","none",0,"Brush","actinomorphic",80000,20,5,3,1,1,"tree","Perennial",20,"no",0,0,317630.503333333
"Catharanthus roseus","Gentianales","Apocynaceae","Catharanthus","Catharanthus roseus","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",20,40,40,22.5,19,40,"herb","Perennial",0.5,"yes",1.85,27.8273,99302.4668333333
"Centaurea jacea","Asterales","Asteraceae","Centaurea","Centaurea jacea","Hermaphrodite","self_incompatible","low",2.57,"Open","actinomorphic",5,45,45,16.5,9,70,"herb","Perennial",0.45,"yes",0.18,29,307302.985583333
"Cerastium alpinum","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium alpinum","Hermaphrodite","partially_self_compatible","medium",25,"Campanulate","actinomorphic",20,19.1,19.1,11.1,2.5,35,"herb","Perennial",0.4,"yes",49,5.5,11278
"Cerastium arcticum","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium arcticum","Hermaphrodite","partially_self_compatible","low",15.5203125,"Campanulate","actinomorphic",20,15,15,9,2.5,37.5,"herb","Perennial",0.17,"yes",3,1,11278
"Cerastium_arvense","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium arvense","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",15,17.5,17.5,17.5,2.5,43,"herb","Perennial",0.2,"no",0,0,30581.6
"Cerastium glomeratum","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium glomeratum","Hermaphrodite","self_compatible","medium",59.9596291666667,"Open","actinomorphic",50,12,12,7,0.65,25,"herb","Short lived",0.215,"no",0,0,1050
"Cereus bicolor","Caryophyllales","Cactaceae","Cereus","Cereus hildmannianus","Hermaphrodite","partially_self_compatible","low",7.5,"Open","actinomorphic",50,125,125,24.1,20,1800,"tree","Perennial",10,"yes",110.3,27.7,314686
"Cerinthe gymnandra","Boraginales","Boraginaceae","Cerinthe","Cerinthe major","Hermaphrodite","self_compatible","low",17.29305,"Tube","actinomorphic",20,30,6,24,24,2,"herb","Short lived",0.3,"yes",2.1,46.37,649680
"Cassia chamaecrista","Fabales","Fabaceae","Chamaecrista","Chamaecrista chamaecristoides","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",20,90,30,15,11.92,11.1,"shrub","Perennial",0.6,"no",0,0,144730.001035714
"Chamaerops humilis","Arecales","Arecaceae","Chamaerops","Chamaerops humilis","Dioecious","dioecious","none",0,"Open","actinomorphic",4000,200,4.5,4,0.25,3,"shrub","Perennial",1,"no",0,0,214000
"Chassalia coriacea","Gentianales","Rubiaceae","Chassalia","Chassalia coriacea","Hermaphrodite","self_compatible","low",9.69965,"Tube","actinomorphic",30,40,10,13,10,2,"shrub","Perennial",2.5,"yes",0.7,19.8,18390.248005
"Chelidonium majus","Ranunculales","Papaveraceae","Chelidonium","Chelidonium majus","Hermaphrodite","self_compatible","medium",54.2994553030303,"Open","actinomorphic",10,45,15.1,1.1,31.12,52.5,"herb","Short lived",0.5,"no",0,0,237630.937571667
