"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"95","Asterales","Asteraceae","Anaphalis","Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",13.5056180323609,"Capitulum","actinomorphic",10,2,14.1,14.1,10,0.5,100,"herb","Perennial",0.225
"96","Asterales","Asteraceae","Anaphalis","Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",13.505618032361,"Capitulum","actinomorphic",10,2,14.1,14.1,10,0.5,100,"herb","Perennial",0.225
"97","Boraginales","Boraginaceae","Anchusa","Anchusa azurea","Hermaphrodite","self_incompatible","none",19.4622979933936,"Tube","actinomorphic",50,12,50,11.5,8,4.5,4,"herb","Perennial",0.85
"98","Boraginales","Boraginaceae","Anchusa","Anchusa azurea","Hermaphrodite","self_incompatible","none",19.4622979933935,"Tube","actinomorphic",50,12,50,11.5,8,4.5,4,"herb","Perennial",0.85
"99","Ericales","Ericaceae","Andromeda","Andromeda glaucophylla","Hermaphrodite","partially_self_compatible","low",40,"Campanulate","actinomorphic",800,5,20,4.5,4.1,2.45,47,"shrub","Perennial",0.35
"100","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",14.5372684146488,"Capitulum","actinomorphic",20,8,14.5,14.5,4,10,75,"herb","Perennial",0.46
"101","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",14.5372684146488,"Capitulum","actinomorphic",20,8,14.5,14.5,4,10,75,"herb","Perennial",0.46
"102","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",14.5372684146488,"Capitulum","actinomorphic",20,8,14.5,14.5,4,10,75,"herb","Perennial",0.46
"103","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",14.5372684146487,"Capitulum","actinomorphic",20,8,14.5,14.5,4,10,75,"herb","Perennial",0.46
"104","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",14.5372684146487,"Capitulum","actinomorphic",20,8,14.5,14.5,4,10,75,"herb","Perennial",0.46
"105","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",14.5372684146488,"Capitulum","actinomorphic",20,8,14.5,14.5,4,10,75,"herb","Perennial",0.46
"106","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",14.5372684146489,"Capitulum","actinomorphic",20,8,14.5,14.5,4,10,75,"herb","Perennial",0.46
"107","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",14.5372684146487,"Capitulum","actinomorphic",20,8,14.5,14.5,4,10,75,"herb","Perennial",0.46
"108","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",14.5372684146487,"Capitulum","actinomorphic",20,8,14.5,14.5,4,10,75,"herb","Perennial",0.46
"109","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,1,20,20,5,1,100,"herb","Perennial",0.8
"110","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,1,20,20,5,1,100,"herb","Perennial",0.8
"111","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,1,20,20,5,1,100,"herb","Perennial",0.8
"112","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,1,20,20,5,1,100,"herb","Perennial",0.8
"113","Ranunculales","Ranunculaceae","Anemonella","Anemonella thalictroides","Hermaphrodite","self_incompatible","none",12.6592547092337,"Open","actinomorphic",15,1,18.5,18.5,5,0.5,1,"herb","Perennial",0.2
"114","Apiales","Apiaceae","Angelica","Angelica archangelica","Hermaphrodite","partially_self_compatible","none",13.1256774172246,"Open","actinomorphic",2000,19,100,4.5,0.5,1.5,2,"herb","Perennial",0.85
"115","Apiales","Apiaceae","Angelica","Angelica archangelica","Hermaphrodite","partially_self_compatible","none",13.1256774172246,"Open","actinomorphic",2000,19,100,4.5,0.5,1.5,2,"herb","Perennial",0.85
"116","Apiales","Apiaceae","Angelica","Angelica archangelica","Hermaphrodite","partially_self_compatible","none",13.125677417225,"Open","actinomorphic",2000,19,100,4.5,0.5,1.5,2,"herb","Perennial",0.85
"117","Apiales","Apiaceae","Angelica","Angelica archangelica","Hermaphrodite","partially_self_compatible","none",13.1256774172246,"Open","actinomorphic",2000,19,100,4.5,0.5,1.5,2,"herb","Perennial",0.85
"118","Apiales","Apiaceae","Angelica","Angelica archangelica","Hermaphrodite","partially_self_compatible","none",13.1256774172247,"Open","actinomorphic",2000,19,100,4.5,0.5,1.5,2,"herb","Perennial",0.85
"119","Apiales","Apiaceae","Angelica","Angelica archangelica","Hermaphrodite","partially_self_compatible","none",13.1256774172246,"Open","actinomorphic",2000,19,100,4.5,0.5,1.5,2,"herb","Perennial",0.85
"120","Apiales","Apiaceae","Anthriscus","Anthriscus sylvestris","Monoecious","self_compatible","medium",20.8981646077469,"Open","zygomorphic",800,44,13.5,4.5,9.51368140702315,1,2,"herb","Perennial",0.9
"121","Apiales","Apiaceae","Anthriscus","Anthriscus sylvestris","Monoecious","self_compatible","medium",20.898164607747,"Open","zygomorphic",800,44,13.5,4.5,9.51368140702309,1,2,"herb","Perennial",0.9
"122","Apiales","Apiaceae","Anthriscus","Anthriscus sylvestris","Monoecious","self_compatible","medium",20.8981646077473,"Open","zygomorphic",800,44,13.5,4.5,9.51368140702318,1,2,"herb","Perennial",0.9
"123","Apiales","Apiaceae","Anthriscus","Anthriscus sylvestris","Monoecious","self_compatible","medium",20.8981646077469,"Open","zygomorphic",800,44,13.5,4.5,9.51368140702325,1,2,"herb","Perennial",0.9
"124","Apiales","Apiaceae","Anthriscus","Anthriscus sylvestris","Monoecious","self_compatible","medium",20.8981646077469,"Open","zygomorphic",800,44,13.5,4.5,9.51368140702311,1,2,"herb","Perennial",0.9
"125","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,33,10,2,2,0.5,2,"tree","Perennial",9.1
"126","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,33,10,2,2,0.5,2,"tree","Perennial",9.1
"127","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,33,10,2,2,0.5,2,"tree","Perennial",9.1
"128","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,33,10,2,2,0.5,2,"tree","Perennial",9.1
"129","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,33,10,2,2,0.5,2,"tree","Perennial",9.1
"130","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,33,10,2,2,0.5,2,"tree","Perennial",9.1
"131","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,33,10,2,2,0.5,2,"tree","Perennial",9.1
"132","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,33,10,2,2,0.5,2,"tree","Perennial",9.1
"133","Gentianales","Rubiaceae","Antirhea","Antirhea borbonica","Hermaphrodite","self_compatible","none",12.6044413499585,"Tube","actinomorphic",2000,20,10,0.75,5.1,2.5,2,"shrub","Perennial",4
"134","Gentianales","Rubiaceae","Antirhea","Antirhea borbonica","Hermaphrodite","self_compatible","none",12.6044413499583,"Tube","actinomorphic",2000,20,10,0.75,5.1,2.5,2,"shrub","Perennial",4
