"","Species_geonet","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"262","Trichocereus_strigosus","Caryophyllales","Cactaceae","Echinopsis","Echinopsis strigosa","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",5,142.5,195,15,2203,"shrub","Perennial",0.3,"yes"
"263","Echium plantagineum","Boraginales","Boraginaceae","Echium","Echium plantagineum","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,23.1,25,35,4,"herb","Perennial",0.8,"yes"
"264","Elaeagnus_angustifolia","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus angustifolia","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",25000,9.9,7.5,7.5,1,"tree","Perennial",3,"yes"
"265","Aetheorrina bulbosa","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,20,5,6,15,"herb","Perennial",0.45,"no"
"266","Empetrum nigrum","Ericales","Ericaceae","Empetrum","Empetrum nigrum","Dioecious","dioecious","none",0,"Open","actinomorphic",500,2,3,0.3,4.5,"shrub","Perennial",0.2,"no"
"267","Isopyrum biternatum","Ranunculales","Ranunculaceae","Enemion","Enemion biternatum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",80,15.5,1.5,2,24,"herb","Perennial",0.25,"no"
"268","Chamaenerium angustifolium","Myrtales","Onagraceae","Epilobium","Epilobium angustifolium","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",40,35,5,15,593,"herb","Perennial",0.3,"yes"
"269","Epilobium gunnianum","Myrtales","Onagraceae","Epilobium","Epilobium gunnianum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,11.5,2,7,593,"herb","Perennial",0.4,"yes"
"270","Epilobium hirsutum","Myrtales","Onagraceae","Epilobium","Epilobium hirsutum","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,20,10,8,593,"herb","Perennial",1.375,"yes"
"271","Epilobium latifolium","Myrtales","Onagraceae","Epilobium","Epilobium latifolium","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",15,45,7.5,6,593,"herb","Perennial",1.56,"yes"
"272","Epilobium tibetanum","Myrtales","Onagraceae","Epilobium","Epilobium tibetanum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,18,11,3.15,593,"herb","Perennial",0.565,"yes"
"273","Epistephium duckei","Asparagales","Orchidaceae","Epistephium","Epistephium duckei","Hermaphrodite","self_compatible","high",100,"Open","zygomorphic",5,60,60,0.1,25000,"herb","Perennial",1.5,"yes"
"274","Erica ciliaris","Ericales","Ericaceae","Erica","Erica ciliaris","Hermaphrodite","self_compatible","low",1,"Tube","actinomorphic",50,3.1,8,8.5,120,"shrub","Perennial",0.6,"yes"
"275","Erica scoparia","Ericales","Ericaceae","Erica","Erica scoparia","Hermaphrodite","partially_self_compatible","medium",31,"Campanulate","actinomorphic",2500,2.2,2.4,1.45,12.5,"shrub","Perennial",2.1,"no"
"276","Erica tetralix","Ericales","Ericaceae","Erica","Erica tetralix","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",15,3.5,6.3,3.5,100,NA,NA,1,"yes"
"277","Erica umbellata","Ericales","Ericaceae","Erica","Erica umbellata","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",1000,4.4,4.8,5,77.5,"shrub","Perennial",0.6,"yes"
"278","Erigeron canadensis","Asterales","Asteraceae","Erigeron","Erigeron canadensis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",200,3.25,3.5,2.25,45,"herb","Short lived",0.75,"yes"
"279","Erigeron compositus","Asterales","Asteraceae","Erigeron","Erigeron compositus","Hermaphrodite","self_compatible","none",0,"Capitulum","actinomorphic",30,12.5,8.5,3.5,80,"herb","Perennial",0.05,"yes"
"280","Eriobotrya japonica","Rosales","Rosaceae","Eriobotrya","Eriobotrya japonica","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",4000,9.1,5,3.25,10,"tree","Perennial",6.75,"yes"
"281","Eriopsis biloba","Asparagales","Orchidaceae","Eriopsis","Eriopsis biloba","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",35,24,8,0.1,25000,"herb","Perennial",0.125,"yes"
"282","Erodium_cicatarium","Geraniales","Geraniaceae","Erodium","Erodium cicutarium","Hermaphrodite","self_compatible","high",82.8,"Open","actinomorphic",5,10,3.5,1,5,"herb","Short lived",0.45,"yes"
"283","Eryngium campestre","Apiales","Apiaceae","Eryngium","Eryngium campestre","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",20,1.5,2.5,5,2,"herb","Perennial",0.3,"yes"
"284","Eryngium yuccifolium","Apiales","Apiaceae","Eryngium","Eryngium yuccifolium","Hermaphrodite","partially_self_compatible","none",0,"Capitulum","actinomorphic",20,17.5,17.5,10,50,"herb","Perennial",1.05,"yes"
"285","Erysimum pallasii","Brassicales","Brassicaceae","Erysimum","Erysimum redowskii","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",40,6,6,11.5,34.7,"herb","Short lived",0.16,"yes"
"286","Erythronium albidum","Liliales","Liliaceae","Erythronium","Erythronium albidum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1,25,24.1,19.1,34.7,"herb","Perennial",0.15,"no"
"287","Erythroxylum macrocarpum","Malpighiales","Erythroxylaceae","Erythroxylum","Erythroxylum macrocarpum","Hermaphrodite",NA,"low",5,"Open","actinomorphic",100,6.5,NA,1.4,3,"shrub","Perennial",4,"yes"
"288","Eupatorium altissimum","Asterales","Asteraceae","Eupatorium","Eupatorium altissimum","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",150,7.1,4,10,5,"herb","Perennial",0.75,"yes"
"289","Eupatorium chinense","Asterales","Asteraceae","Eupatorium","Eupatorium chinense","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",250,2.1,5,10,5,"shrub","Perennial",1,"yes"
"290","Eupatorium perfoliatum","Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",500,12,4.1,10,16,"herb","Short lived",0.7,"yes"
"291","Eupatorium purpureum","Asterales","Asteraceae","Eupatorium","Eupatorium purpureum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1000,30.12,5.5,11.5,5.5,"herb","Perennial",1.35,"yes"
"292","Eupatorium serotinum","Asterales","Asteraceae","Eupatorium","Eupatorium serotinum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",500,30,2.75,10,11.5,"herb","Perennial",1,"yes"
"293","Asiminia triloba","Magnoliales","Annonaceae","Asimina","Asimina triloba","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,20,20,2,50,"herb","Perennial",0.85,"yes"
"294","Eupatorium sessilifolium","Asterales","Asteraceae","Eupatorium","Eupatorium sessilifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",350,4,NA,10,5,"herb","Perennial",0.85,"yes"
"295","Euphorbia corollata","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia corollata","Monoecious","monoecious","none",0,"Open","actinomorphic",90,6,2,1.1,3,"herb","Perennial",0.6,"yes"
"296","Euphorbia cyathophora","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia cyathophora","Monoecious","monoecious","none",0,"Open","actinomorphic",10,2,2,1.6,3,"herb","Short lived",0.6,"yes"
"297","Euphorbia preslii","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia nutans","Monoecious","monoecious","none",0,"Open","actinomorphic",200,5.7,3.9,1.55,3,"herb","Short lived",0.5,"yes"
"298","Euphorbea segatalis","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia segetalis","Monoecious","self_compatible","low",13,"Open","actinomorphic",75,2,3,3,3,"herb","Short lived",0.35,"yes"
"299","Euphrasia collina","Lamiales","Orobanchaceae","Euphrasia","Euphrasia collina","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",20,11,10.1,10,24,"herb","Perennial",0.325,"yes"
"300","Euphrasia regelii","Lamiales","Orobanchaceae","Euphrasia","Euphrasia regelii","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,6,7.5,5,39,"herb","Short lived",0.19,"yes"
"301","Euphrasia revoluta","Lamiales","Orobanchaceae","Euphrasia","Euphrasia revoluta","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",3,14.1,12.5,5,31.5,"herb","Perennial",0.05,"yes"
"302","Euphrasia zelandica","Lamiales","Orobanchaceae","Euphrasia","Euphrasia zelandica","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,13.5,9,5,24,"herb","Short lived",0.05,"yes"
"303","Euptelea polyandra","Ranunculales","Eupteleaceae","Euptelea","Euptelea polyandra","Hermaphrodite","partially_self_compatible","medium",50.5,"Brush","actinomorphic",750,2.5,2.5,10,4,"tree","Perennial",10,"no"
"304","Eurya japonica","Ericales","Pentaphylacaceae","Eurya","Eurya japonica","Dioecious","self_incompatible","none",0,"Campanulate","actinomorphic",20000,3.5,3.5,1.5,9,"shrub","Perennial",3.5,"yes"
"305","Solidago graminifolia","Asterales","Asteraceae","Euthamia","Euthamia graminifolia","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",400,5,4,10,36.5,"herb","Perennial",0.5,"yes"
"306","Meriana sclerophylla","Solanales","Convolvulaceae","Evolvulus","Evolvulus pusillus","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",50,10.5,3,1.5,4,"herb","Perennial",0.4,"no"
"307","Excoecaria benthamiana","Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","Monoecious","monoecious","none",0,"Open","actinomorphic",50000,2.2,2,1,3,"tree","Perennial",6,"yes"
"308","Polygonum scandens","Caryophyllales","Polygonaceae","Fallopia","Fallopia scandens","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",600,5.1,3.1,1,1,"herb","Perennial",3,"yes"
"309","Farfugium joponicum","Asterales","Asteraceae","Farfugium","Farfugium joponicum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",60,25,20,5.1,30,"herb","Perennial",0.4,"yes"
"310","Filipendula ulmaria","Rosales","Rosaceae","Filipendula","Filipendula ulmaria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",600,6.5,0.5,1.25,2,"herb","Perennial",0.85,"no"
"311","Frasera carolinensis","Gentianales","Gentianaceae","Frasera","Frasera caroliniensis","Hermaphrodite","self_compatible","low",17.9,"Open","actinomorphic",75,24,NA,5,10,"herb","Perennial",1.65,"yes"
"312","Freesia refracta","Asparagales","Iridaceae","Freesia","Freesia refracta","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",30,31.1,26,10,4,"herb","Perennial",0.35,"yes"
"313","Gaertnera psychotrioides/edentata","Gentianales","Rubiaceae","Gaertnera","Gaertnera psychotrioides","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,10,12.5,12.5,2,"tree","Perennial",6.3,"yes"
"314","Gaertnera rotundifolia","Gentianales","Rubiaceae","Gaertnera","Gaertnera rotundifolia","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,2.5,20,15.25,2,"shrub","Perennial",3.5,"yes"
"315","Orchis spectabilis","Asparagales","Orchidaceae","Galearis","Galearis spectabilis","Hermaphrodite","partially_self_compatible","none",0,"Tube","zygomorphic",5,20,25,0.1,25000,"herb","Perennial",4.5,"yes"
"316","Galeopsis bifida","Lamiales","Lamiaceae","Galeopsis","Galeopsis bifida","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",15,7,13.5,10,4,"herb","Short lived",0.45,"yes"
"317","Galium aperine","Gentianales","Rubiaceae","Galium","Galium aparine","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,1.5,1,0.45,2,"herb","Short lived",1,"yes"
"318","Galium palustre","Gentianales","Rubiaceae","Galium","Galium palustre","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",50,4,1,0.8,2,"herb","Perennial",0.3,"yes"
"319","Galium perpusillum","Gentianales","Rubiaceae","Galium","Galium perpusillum","Dioecious","dioecious","none",0,"Tube","actinomorphic",20,3.75,0.9,1,2,"herb","Perennial",0.06,"yes"
"320","Galium propinquum","Gentianales","Rubiaceae","Galium","Galium propinquum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30,1.65,1.65,1,2,"herb","Perennial",0.1,"yes"
"321","Galium saxatile","Gentianales","Rubiaceae","Galium","Galium saxatile","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",50,2.5,1,2,2,"shrub","Perennial",0.6,"yes"
"322","Gaura biennis","Myrtales","Onagraceae","Gaura","Gaura biennis","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",50,13,7,11,4,"herb","Short lived",1.05,"yes"
"323","Gaylussacia baccata","Ericales","Ericaceae","Gaylussacia","Gaylussacia baccata","Hermaphrodite","partially_self_compatible","low",10,"Tube","actinomorphic",2000,4,7,5.05,10,NA,"Perennial",0.6,"yes"
"324","Genista anglica","Fabales","Fabaceae","Genista","Genista anglica","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",1000,8,12.5,6.5,17.9,"shrub","Perennial",0.38,"no"
"325","Genista hirsuta","Fabales","Fabaceae","Genista","Genista hirsuta","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",3000,1.7,8.5,9.1,6.47,"shrub","Perennial",0.9,"no"
"326","Genista pilosa","Fabales","Fabaceae","Genista","Genista pilosa","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",500,7,10,6.5,13,NA,NA,0.6,"no"
"327","Gentiana andrewsii","Gentianales","Gentianaceae","Gentiana","Gentiana andrewsii","Hermaphrodite","self_compatible","low",4,"Tube","actinomorphic",10,18.75,37.5,15,150,"herb","Perennial",0.6,"yes"
"328","Gentiana atuntsiensis","Gentianales","Gentianaceae","Gentiana","Gentiana atuntsiensis","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",10,14.5,29,4.5,150,"herb","Perennial",0.15,"yes"
"329","Gentiana chungtienensis","Gentianales","Gentianaceae","Gentiana","Gentiana chungtienensis","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",30,19.5,19.5,1.75,150,"herb","Short lived",0.04,"yes"
"330","Gentiana crassicaulis","Gentianales","Gentianaceae","Gentiana","Gentiana crassicaulis","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",35,20.1,21,2.25,150,"herb","Perennial",0.2,"yes"
"331","Gentiana puberula","Gentianales","Gentianaceae","Gentiana","Gentiana saponaria","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",5,18.1,40,20,150,"herb","Perennial",0.375,"yes"
"332","Gentiana corymbifera","Gentianales","Gentianaceae","Gentianella","Gentianella corymbifera","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",30,16,10,15,52,"herb","Short lived",0.23,"yes"
"333","Gentianella diemensis","Gentianales","Gentianaceae","Gentianella","Gentianella diemensis","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,18,10,15,85,"herb","Short lived",0.26,"yes"
"334","Gentiana montana","Gentianales","Gentianaceae","Gentianella","Gentianella montana","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",6,15.15,15.25,15,66,"herb","Short lived",3.6,"yes"
"335","Geoffroea spinosa","Fabales","Fabaceae","Geoffroea","Geoffroea spinosa","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",15000,9.1,15,15,2,"tree","Perennial",6,"yes"
"336","Geranium carolinianum","Geraniales","Geraniaceae","Geranium","Geranium carolinianum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",5,7.1,1.3,13,5,"herb","Short lived",0.375,"yes"
"337","Geranium maculatum","Geraniales","Geraniaceae","Geranium","Geranium maculatum","Dioecious","partially_self_compatible","low",13,"Open","actinomorphic",10,25.1,13,5,10,"herb","Perennial",0.5,"yes"
"338","Geranium robertianum","Geraniales","Geraniaceae","Geranium","Geranium robertianum","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,17.5,10.5,20,10,"herb","Short lived",0.3,"yes"
"339","Geum rivale","Rosales","Rosaceae","Geum","Geum rivale","Hermaphrodite","partially_self_compatible","low",13.2,"Campanulate","actinomorphic",5,12.5,11,7,1,"herb","Perennial",0.425,"yes"
"340","Glechoma hederacea","Lamiales","Lamiaceae","Glechoma","Glechoma hederacea","Dioecious","self_compatible","none",0,"Tube","zygomorphic",10,8,12.5,7,4,"herb","Perennial",0.11,"yes"
"341","Gleditsia triacanthos","Fabales","Fabaceae","Gleditsia","Gleditsia triacanthos","Monoecious","monoecious","none",0,"Open","actinomorphic",20000,5,1.5,0.5,10,"tree","Perennial",17.5,"yes"
"342","Glionnetia sericea","Gentianales","Rubiaceae","Glionnetia","Glionnetia sericea","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",75,30,9.4,10,100,"shrub","Perennial",5.5,"yes"
"343","Glochidion acuminatum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion acuminatum","Monoecious","monoecious","none",0,"Tube","actinomorphic",500,1.5,3,1.25,8,"shrub","Perennial",5.5,"no"
"344","Glochidion obovatum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion obovatum","Monoecious","monoecious","none",0,"Open","actinomorphic",500,1.75,1.75,1.25,9.5,"shrub","Perennial",0.75,"no"
"345","Glochidion zeylanicum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion zeylanicum","Monoecious","monoecious","none",0,"Open","actinomorphic",500,4,2,3.5,11,"shrub","Perennial",3.5,"no"
"346","Gomphrena celosioides","Caryophyllales","Amaranthaceae","Gomphrena","Gomphrena celosioides","Hermaphrodite","self_compatible","medium",70,"Tube","actinomorphic",1000,2,5.5,0.4,1,"herb","Perennial",0.15,"yes"
"347","Gomphrena elegans","Caryophyllales","Amaranthaceae","Gomphrena","Gomphrena elegans","Hermaphrodite","self_compatible","medium",70,"Tube","actinomorphic",100,2,3,2.25,1,"herb","Short lived",1,"yes"
"348","Gossypium barbadense","Malvales","Malvaceae","Gossypium","Gossypium barbadense","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",30,10.3,25,3.2,50,"shrub","Perennial",2,"yes"
"349","Gossypium darwinii","Malvales","Malvaceae","Gossypium","Gossypium darwinii","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,70,36,25,32.5,"shrub","Perennial",1.1,"yes"
"350","Gymnocladus dioica","Fabales","Fabaceae","Gymnocladus","Gymnocladus dioica","Dioecious","dioecious","none",0,"Open","actinomorphic",15000,25,18,5,4,"tree","Perennial",25,"yes"
"351","Halenia elliptica","Gentianales","Gentianaceae","Halenia","Halenia elliptica","Hermaphrodite","self_compatible","high",100,"Campanulate","actinomorphic",10,8,17.5,4,14.5,"herb","Short lived",0.4,"yes"
"352","Halimium commutatum","Malvales","Cistaceae","Halimium","Halimium commutatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,19.1,4,0.5,7,"shrub","Perennial",1.5,"no"
"353","Halimium halimifolium","Malvales","Cistaceae","Halimium","Halimium halimifolium","Hermaphrodite","self_incompatible","none",1,"Open","actinomorphic",50,28,3,1,46,"shrub","Perennial",1,"no"
"354","Harrisia balansae","Caryophyllales","Cactaceae","Harrisia","Harrisia balansae","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",10,120,175,138,5022,"shrub","Perennial",2.2,"yes"
"355","Hedeoma pulegioides","Lamiales","Lamiaceae","Hedeoma","Hedeoma pulegioides","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,3,6,6,4,"herb","Short lived",2.4,"yes"
"356","Helenium autumnale","Asterales","Asteraceae","Helenium","Helenium autumnale","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,13.1,14,3,335,"herb","Perennial",0.9,"yes"
"357","Helenium donianum","Asterales","Asteraceae","Helenium","Helenium donianum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,23.75,NA,0.5,500,"herb","Perennial",0.55,"yes"
"358","Helianthus annuus","Asterales","Asteraceae","Helianthus","Helianthus annuus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,26,3.1,10,1700,"herb","Short lived",1.5,"yes"
"359","Helianthus divaricatus","Asterales","Asteraceae","Helianthus","Helianthus divaricatus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,57,6,7,50,"herb","Perennial",0.85,"yes"
"360","Helianthus grosse-serratus","Asterales","Asteraceae","Helianthus","Helianthus grosseserratus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,19.1,5,9.5,150,"herb","Perennial",2.25,"yes"
"361","Helianthus strumosus","Asterales","Asteraceae","Helianthus","Helianthus hirsutus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,39.5,6,7,50,"herb","Perennial",1,"yes"
"362","Helianthus laetiflorus","Asterales","Asteraceae","Helianthus","Helianthus laetiflorus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,11.2,7.25,7,90,"herb","Perennial",1.5,"yes"
"363","Helianthus mollis","Asterales","Asteraceae","Helianthus","Helianthus mollis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,15.3,12.5,3.1,100,"herb","Perennial",0.6,"yes"
"364","Helianthus tuberosus","Asterales","Asteraceae","Helianthus","Helianthus tuberosus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,19.1,4,6.5,9.4,"herb","Perennial",1.25,"yes"
"365","Heliconia psittacorum","Zingiberales","Heliconiaceae","Heliconia","Heliconia psittacorum","Hermaphrodite","partially_self_compatible","none",0,"Tube","zygomorphic",15,4,4,3.5,3,"herb","Perennial",0.87,"yes"
"366","Heliopsis helianthoides","Asterales","Asteraceae","Heliopsis","Heliopsis helianthoides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,56,8.4,4.5,125,"herb","Perennial",0.125,"yes"
"367","Heliotropium angiospermum","Boraginales","Boraginaceae","Heliotropium","Heliotropium angiospermum","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",50,5,5.5,0.65,4,"herb","Perennial",0.23,"yes"
"368","Heracleum candicans","Apiales","Apiaceae","Heracleum","Heracleum candicans","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",450,12,3,1,2,"herb","Perennial",1.7,"no"
"369","Heteropterys glabra","Malpighiales","Malpighiaceae","Heteropterys","Heteropterys glabra","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",300,30,5,5,3,"shrub","Perennial",1.5,"no"
"370","Heuchera hispida","Saxifragales","Saxifragaceae","Heuchera","Heuchera hispida","Hermaphrodite","self_incompatible","none",0,"Campanulate","zygomorphic",100,2.5,2.5,4.5,100,"herb","Perennial",0.3,"yes"
"371","Hibiscus hamabo","Malvales","Malvaceae","Hibiscus","Hibiscus hamabo","Hermaphrodite","self_compatible","medium",61.6,"Open","actinomorphic",50,70,30,24.05,50,"shrub","Perennial",4.5,"yes"
"372","Hibiscus maleinoi","Malvales","Malvaceae","Hibiscus","Hibiscus makinoi","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",50,85.5,18.2,15,50,"shrub","Perennial",1,"yes"
"373","Hibiscus militaris","Malvales","Malvaceae","Hibiscus","Hibiscus militaris","Hermaphrodite","self_compatible","medium",50.5,"Open","actinomorphic",50,70,35,30,50,"herb","Perennial",1.5,"yes"
"374","Hibiscus trionum","Malvales","Malvaceae","Hibiscus","Hibiscus trionum","Hermaphrodite","self_compatible","medium",50.5,"Open","actinomorphic",15,40,4.01,6.6,50,"herb","Short lived",1,"yes"
"375","Hieracium praealtum","Asterales","Asteraceae","Hieracium","Hieracium praealtum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,30,NA,6,60,"herb","Perennial",0.35,"yes"
"376","Hieracium umbellatum","Asterales","Asteraceae","Hieracium","Hieracium umbellatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10,25,12.5,6,55,"herb","Perennial",0.75,"yes"
"377","Homalanthus populifolius","Malpighiales","Euphorbiaceae","Homalanthus","Homalanthus populifolius","Monoecious","monoecious","none",0,"Open","actinomorphic",1000,4,1,0.625,3,"tree","Perennial",6,"no"
"378","Houstonia purpurea calycosa","Gentianales","Rubiaceae","Houstonia","Houstonia purpurea","Hermaphrodite","partially_self_compatible","low",13,"Campanulate","actinomorphic",15,5.1,5,1.75,32.8,"herb","Perennial",0.22,"yes"
"379","Hydrangea arborescens","Cornales","Hydrangeaceae","Hydrangea","Hydrangea arborescens","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",60,2.1,1,0.5,65,"shrub","Perennial",1.65,"yes"
"380","Hydrangea hirta","Cornales","Hydrangeaceae","Hydrangea","Hydrangea hirta","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",350,4.1,1,1,65,"shrub","Perennial",0.5,"no"
"381","Hydrangea macrophylla","Cornales","Hydrangeaceae","Hydrangea","Hydrangea macrophylla","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",75,6,1,2.35,65,"shrub","Perennial",1,"no"
"382","Hydrangea paniculata","Cornales","Hydrangeaceae","Hydrangea","Hydrangea paniculata","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",250,8,NA,2.25,65,"shrub","Perennial",0.6,"yes"
"383","Hydrophyllum appendiculatum","Boraginales","Boraginaceae","Hydrophyllum","Hydrophyllum appendiculatum","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",20,16,10,2,1,"herb","Short lived",0.48,"yes"
"384","Hydrophyllum virginianum","Boraginales","Boraginaceae","Hydrophyllum","Hydrophyllum virginianum","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",20,9.1,9.1,11.1,3,"herb","Perennial",0.45,"yes"
"385","Hypericum ascyron","Malpighiales","Hypericaceae","Hypericum","Hypericum ascyron","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",20,18.2,NA,8.75,75,"herb","Perennial",1.1,"no"
"386","Hypericum cistifolium","Malpighiales","Hypericaceae","Hypericum","Hypericum cistifolium","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",30,11,1,1.5,75,"shrub","Perennial",0.5,"no"
"387","Hypericum perfolatum","Malpighiales","Hypericaceae","Hypericum","Hypericum perfolatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,17.5,2.1,4.85,75,"herb","Perennial",0.5,"no"
"388","Hypericum perforatum","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",50,17.5,2.1,4.85,75,"shrub","Perennial",0.6,"no"
"389","Hypericum pseudopetiolatum","Malpighiales","Hypericaceae","Hypericum","Hypericum pseudopetiolatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,10.5,1,1.6,75,"herb","Perennial",0.375,"no"
"390","Hypericum punctatum","Malpighiales","Hypericaceae","Hypericum","Hypericum punctatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",30,13,1.5,3,75,"herb","Perennial",0.4,"no"
"391","Hypochaeris radicata","Asterales","Asteraceae","Hypochaeris","Hypochaeris radicata","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",20,30,12.5,1.5,50,"herb","Perennial",0.45,"yes"
