"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence","Clusters"
"Stylosanthes biflora","Hermaphrodite","self_compatible","low",-0.176022649908331,"Papilionaceous","zygomorphic",-0.236067321405682,-0.168277095490959,-0.742661109101351,-0.361129759814852,-0.113360852036815,0.333109059992512,-0.126495636834177,"herb","Perennial",0.102490541593973,"yes",5
"Stylosanthes hamata","Hermaphrodite","self_compatible","high",2.58618110283423,"Papilionaceous","zygomorphic",-0.236647312238936,-0.168277095490959,-0.823057397541689,-0.538670549172433,-0.375481537657005,-0.221454097551886,-0.126201461310507,"herb","Short lived",-0.367118577789277,"yes",5
"Succisa pratensis","Dioecious","self_compatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.185028128079365,-0.0477474619770716,-0.365245199478653,-0.587987435105094,-0.265642776799927,0.166740112729192,-0.107998056411092,"herb","Perennial",-0.395579736539777,"yes",4
"Suriana maritima","Hermaphrodite","self_compatible","low",0.0365356082646222,"Open","actinomorphic",-0.214027669742045,-0.168277095490959,-0.476906711201345,0.225741182783819,-0.462855099530402,-0.276910413306325,-0.12178882845545,"shrub","Perennial",0.130951700344473,"yes",2
"Swertia bimaculata","Hermaphrodite","self_compatible","medium",0.651450109896115,"Open","actinomorphic",-0.236067321405682,-0.109242172953545,0.639708406025571,0.349033397615472,-0.34635701703254,-0.165997781797446,-0.0845462071587685,"herb","Short lived",-0.253273942787277,"yes",1
"Swertia forrestii","Hermaphrodite","self_compatible","low",-0.166172456989667,"Open","actinomorphic",-0.236067321405682,-0.146138999539429,-0.14192217603327,0.102448967952165,-0.178127961001502,-0.665104623587403,-0.0845462071587685,"herb","Perennial",-0.516539661229402,"yes",2
"Symphoricarpos orbicularis","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Campanulate","actinomorphic",-0.0129738473946812,-0.109242172953545,-0.476906711201345,-0.637304321037755,-0.404606058281471,-0.554191992078524,-0.126495636834177,"shrub","Perennial",-0.295965680913027,"yes",3
"Symphyotrichum anomalus","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.231427394739653,-0.160897730173783,-0.365245199478653,0.472325612447126,-0.229858934534678,-0.165997781797446,-0.0864877656149936,"herb","Perennial",-0.239043363412027,"yes",3
"Symphyotrichum cordifolium","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.231427394739653,-0.133840057344134,0.193062359134805,0.00381519608684257,-0.34635701703254,-0.165997781797446,-0.110904334079642,"herb","Perennial",-0.381349157164527,"yes",3
"Symphyotrichum ericoides","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.202427853076973,-0.133840057344134,0.193062359134805,-0.168793904677472,-0.165784989160853,-0.299092939608101,-0.110904334079642,"herb","Perennial",-0.438271474665527,"yes",3
"Symphyotrichum lanceolatum","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.219827578074581,-0.146138999539429,1.08635445291634,0.625207958838376,-0.171609893285746,-0.165997781797446,-0.110904334079642,"herb","Perennial",-0.210582204661527,"yes",3
