"","Original_names","Visits","d","Id","Order","Family","Genus","Species","Breeding_system","Compatibility","Selfing","Selfing_quantitative","Flower_shape","Flower_symmetry","Flower_number","Flower_inflorescence","Floral_unit_width","Flower_width","Flower_length","Style_length","Ovule_number","Life_form","Life_span","Plant_height"
"493","Memecylon elaeagni",34,0.187606301227977,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",8.09585,"Open","actinomorphic",2234.205,15,30,6,3,4.5,7,"shrub","Perennial",7.5
"494","Memecylon elaeagni",35,0.134954398074819,"11_6_kaiser-bunbury_2017_seychelles_salazie","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",8.09585,"Open","actinomorphic",2234.205,15,30,6,3,4.5,7,"shrub","Perennial",7.5
"495","Memecylon elaeagni",84,0.135322915205982,"11_7_kaiser-bunbury_2017_seychelles_tea_plantation","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",8.09585,"Open","actinomorphic",2234.205,15,30,6,3,4.5,7,"shrub","Perennial",7.5
"496","Memecylon elaeagni",83,0.30863574664585,"11_8_kaiser-bunbury_2017_seychelles_trois_feres","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",8.09585,"Open","actinomorphic",2234.205,15,30,6,3,4.5,7,"shrub","Perennial",7.5
"497","Memecylon elaeagni",77,0.247917500320425,"13_1_kaiser-bunbury_2011_seychelles_bernica","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",8.09585,"Open","actinomorphic",2234.205,15,30,6,3,4.5,7,"shrub","Perennial",7.5
"498","Memecylon elaeagni",42,0.120282782844997,"13_2_kaiser-bunbury_2011_seychelles_casse_dent","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",8.09585,"Open","actinomorphic",2234.205,15,30,6,3,4.5,7,"shrub","Perennial",7.5
"499","Memecylon elaeagni",80,0.14004768940067,"13_3_kaiser-bunbury_2011_seychelles_copolia","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",8.09585,"Open","actinomorphic",2234.205,15,30,6,3,4.5,7,"shrub","Perennial",7.5
"500","Memecylon elaeagni",82,0.225251264735312,"13_4_kaiser-bunbury_2011_seychelles_la_reserve","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",8.09585,"Open","actinomorphic",2234.205,15,30,6,3,4.5,7,"shrub","Perennial",7.5
"501","Memecylon elaeagni",43,0.143468651372898,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",8.09585,"Open","actinomorphic",2234.205,15,30,6,3,4.5,7,"shrub","Perennial",7.5
"502","Memecylon elaeagni",81,0.204999156658266,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",8.09585,"Open","actinomorphic",2234.205,15,30,6,3,4.5,7,"shrub","Perennial",7.5
"503","Memecylon ovatifolium",22,0.279994507001165,"14_2_kaiser-bunbury_2010_mauritius_restored","Myrtales","Melastomataceae","Memecylon","Memecylon ovatifolium","Hermaphrodite","self_compatible","low",14.2729333333333,"Open","actinomorphic",1329.12,15,10,4.1,2.52668333333334,0.5,10,"shrub","Perennial",1.1
"504","Menodora decemfida",19,0.872120000802469,"15_1_peralta_2006_mendoza_site_1","Lamiales","Oleaceae","Menodora","Menodora decemfida","Hermaphrodite","partially_self_compatible","low",12.8571666666667,"Campanulate","actinomorphic",300,5,14.5,14.5,6,12.5,8,"shrub","Perennial",0.5
"505","Mentha haplocalyx",16,0.133695238121817,"5_1_fang_2008_china","Lamiales","Lamiaceae","Mentha","Mentha canadensis","Hermaphrodite","self_compatible","low",15.31235,"Tube","zygomorphic",150,35,15,3.4,5.5,6.25,4,"herb","Perennial",0.5
"506","Mertensia virginica",90,0.371417055257194,"16_1_burkle_usa_2013","Boraginales","Boraginaceae","Mertensia","Mertensia virginica","Hermaphrodite","self_compatible","low",13.1278666666667,"Funnelform","actinomorphic",15,15,150,21,30,2.45,4,"herb","Perennial",0.5
"507","Microseris lanceolata",46,0.378901527431978,"6_1_inouye_1988_australia","Asterales","Asteraceae","Microseris","Microseris lanceolata","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,1,17.5,17.5,5,5,20,"herb","Perennial",0.2
"508","Microtea scabrida",11,0.620751587735345,"10_1_souza_2017_brazil_chaco","Caryophyllales","Phytolaccaceae","Microtea","Microtea scabrida","Hermaphrodite","self_compatible","low",16.6315583333333,"Open","actinomorphic",200,20,10,1,1,0.1,1,"vine","Perennial",0.75
"509","Microula sikkimensis",281,0.390531036707112,"5_1_fang_2008_china","Boraginales","Boraginaceae","Microula","Microula sikkimensis","Hermaphrodite","self_compatible","low",20.2630833333333,"Tube","actinomorphic",30,5,18,6,6,3,4,"herb","Short lived",0.355
"510","Mimosa hexandra",11,0.760663267810102,"10_1_souza_2017_brazil_chaco","Fabales","Fabaceae","Mimosa","Mimosa hexandra","Hermaphrodite","self_compatible","low",13.43475,"Tube","actinomorphic",1600,40,50,1,2,7.5,6.5,"shrub","Perennial",2
"511","Mimosa sensibilis",1316,0.200924546723721,"10_1_souza_2017_brazil_chaco","Fabales","Fabaceae","Mimosa","Mimosa sensibilis","Hermaphrodite","self_compatible","low",14.03715,"Brush","actinomorphic",1000,25,50,1,2,7.5,6.5,"shrub","Perennial",1.25
"512","Mimusops erythroxylon",27,0.382596287977602,"14_2_kaiser-bunbury_2010_mauritius_restored","Ericales","Sapotaceae","Mimusops","Mimusops erythroxylon","Hermaphrodite","partially_self_compatible","low",9.80080833333333,"Tube","actinomorphic",3789.075,5,40,15,10,5,7,"tree","Perennial",16
"513","Mimusops sechellarum",27,0.176231433089668,"11_1_kaiser-bunbury_2017_seychelles_bernica","Ericales","Sapotaceae","Mimusops","Mimusops sechellarum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",9955.575,15,40,15,8,4,7,"tree","Perennial",16
"514","Mimusops sechellarum",44,0.190657279483458,"11_3_kaiser-bunbury_2017_seychelles_copolia","Ericales","Sapotaceae","Mimusops","Mimusops sechellarum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",9955.575,15,40,15,8,4,7,"tree","Perennial",16
"515","Mimusops sechellarum",2,0.494849449349271,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Ericales","Sapotaceae","Mimusops","Mimusops sechellarum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",9955.575,15,40,15,8,4,7,"tree","Perennial",16
"516","Mimusops sechellarum",25,0.226320195222376,"13_1_kaiser-bunbury_2011_seychelles_bernica","Ericales","Sapotaceae","Mimusops","Mimusops sechellarum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",9955.575,15,40,15,8,4,7,"tree","Perennial",16
"517","Mimusops sechellarum",25,0.379701515602989,"13_3_kaiser-bunbury_2011_seychelles_copolia","Ericales","Sapotaceae","Mimusops","Mimusops sechellarum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",9955.575,15,40,15,8,4,7,"tree","Perennial",16
"518","Mimusops sechellarum",13,0.59935401030188,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Ericales","Sapotaceae","Mimusops","Mimusops sechellarum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",9955.575,15,40,15,8,4,7,"tree","Perennial",16
"519","Mimusops sechellarum",19,0.355428186963038,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Ericales","Sapotaceae","Mimusops","Mimusops sechellarum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",9955.575,15,40,15,8,4,7,"tree","Perennial",16
"520","Molinaea alternifolia",161,0.168240222553948,"14_1_kaiser-bunbury_2010_mauritius_control","Sapindales","Sapindaceae","Molinaea","Molinaea arborea","Monoecious","monoecious","none",0,"Open","actinomorphic",13407.6764446793,150,40,5.5,5.5,0.5,3,"tree","Perennial",10
"521","Molinaea alternifolia",206,0.149161364826327,"14_2_kaiser-bunbury_2010_mauritius_restored","Sapindales","Sapindaceae","Molinaea","Molinaea arborea","Monoecious","monoecious","none",0,"Open","actinomorphic",13407.6764446793,150,40,5.5,5.5,0.5,3,"tree","Perennial",10
"522","Molinaea macrantha",25,0.543893750082537,"14_1_kaiser-bunbury_2010_mauritius_control","Sapindales","Sapindaceae","Molinaea","Molinaea macrantha","Monoecious","monoecious","none",0,"Open","actinomorphic",500,40,40,5.5,5.5,0.5,3,"shrub","Perennial",10
"523","Mollugo verticillata",14,0.615596746131063,"10_1_souza_2017_brazil_chaco","Caryophyllales","Molluginaceae","Mollugo","Mollugo verticillata","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,30,20,4.5,1.5,0.4,30,"herb","Short lived",0.15
"524","Monarda bradburiana",46,0.357962535756325,"16_1_burkle_usa_2013","Lamiales","Lamiaceae","Monarda","Monarda bradburiana","Hermaphrodite","self_compatible","low",11.0147166666667,"Tube","zygomorphic",14,14,75,30,30,30,4,"herb","Perennial",0.45
"525","Monimiastrum globosum",11,0.236182716472104,"14_2_kaiser-bunbury_2010_mauritius_restored","Myrtales","Myrtaceae","Eugenia","Eugenia kanakana","Hermaphrodite","partially_self_compatible","low",8.9788,"Brush","actinomorphic",200,5,40,12.55475,6.9971,3.5,30,"shrub","Perennial",4.5
"526","Morinda citrifolia",140,0.125757977712461,"8_2_olesen_2002_mauritius","Gentianales","Rubiaceae","Morinda","Morinda citrifolia","Hermaphrodite","self_compatible","low",12.5966,"Tube","actinomorphic",1200,60,50,10,15,15,2,"tree","Perennial",6.5
"527","Muehlenbeckia axillaris",5,0.31645541602854,"17_3_arroyo_correa_new_zealand_2019_3","Caryophyllales","Polygonaceae","Muehlenbeckia","Muehlenbeckia axillaris","Dioecious","dioecious","none",0,"Open","actinomorphic",100,3,15,5.1,0.6,1,1,"shrub","Perennial",0.25
"528","Muehlenbeckia complexa",13,0.377746622748296,"17_1_arroyo_correa_new_zealand_2019_1","Caryophyllales","Polygonaceae","Muehlenbeckia","Muehlenbeckia complexa","Dioecious","dioecious","none",0,"Open","actinomorphic",150,3,15,3.5,0.5,1,1,"vine","Perennial",2.75
"529","Muehlenbeckia complexa",215,0.362638124522269,"17_2_arroyo_correa_new_zealand_2019_2","Caryophyllales","Polygonaceae","Muehlenbeckia","Muehlenbeckia complexa","Dioecious","dioecious","none",0,"Open","actinomorphic",150,3,15,3.5,0.5,1,1,"vine","Perennial",2.75
"530","Muehlenbeckia complexa",9,0.767252355775551,"17_3_arroyo_correa_new_zealand_2019_3","Caryophyllales","Polygonaceae","Muehlenbeckia","Muehlenbeckia complexa","Dioecious","dioecious","none",0,"Open","actinomorphic",150,3,15,3.5,0.5,1,1,"vine","Perennial",2.75
"531","Mycelis muralis",2,0.0799374888560438,"17_1_arroyo_correa_new_zealand_2019_1","Asterales","Asteraceae","Mycelis","Mycelis muralis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",70,70,7.5,7.5,13.5,13.5,5,"herb","Perennial",0.55
"532","Myonima violacea",108,0.360315884172356,"14_1_kaiser-bunbury_2010_mauritius_control","Gentianales","Rubiaceae","Ixora","Ixora parviflora","Hermaphrodite","self_compatible","low",9.0315,"Tube","actinomorphic",6000,100,50,10,5.5,8.5,3,"tree","Perennial",5
"533","Myosotis alpestris",29,0.628025291833579,"5_1_fang_2008_china","Boraginales","Boraginaceae","Myosotis","Myosotis alpestris","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",15,15,30,10,10,3.25,4,"herb","Perennial",0.125
"534","Nemopanthus mucronata",132,0.76255072873603,"9_1_small_1976_canada","Aquifoliales","Aquifoliaceae","Nemopanthus","Nemopanthus mucronatus","Dioecious","dioecious","none",0,"Open","actinomorphic",35,1,75,5.1,2.5,0.1,24.5,"shrub","Perennial",2.4
"535","Neopaxia australasica",4,0.585952435949244,"6_1_inouye_1988_australia","Caryophyllales","Montiaceae","Montia","Montia australasica","Hermaphrodite","self_compatible","low",16.2551,"Open","actinomorphic",15,1,9,9,4.5,2,4.5,"herb","Perennial",0.15
"536","Nepenthes pervillei",7,0.708137571989058,"11_3_kaiser-bunbury_2017_seychelles_copolia","Caryophyllales","Nepenthaceae","Nepenthes","Nepenthes pervillei","Dioecious","dioecious","none",0,"Tube","actinomorphic",1,1,19.1,19.1,28.2,1,24,"vine","Perennial",5.1
"537","Nepenthes pervillei",15,0.820432663799984,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Caryophyllales","Nepenthaceae","Nepenthes","Nepenthes pervillei","Dioecious","dioecious","none",0,"Tube","actinomorphic",1,1,19.1,19.1,28.2,1,24,"vine","Perennial",5.1
"538","Nepenthes pervillei",21,0.667752887856361,"11_7_kaiser-bunbury_2017_seychelles_tea_plantation","Caryophyllales","Nepenthaceae","Nepenthes","Nepenthes pervillei","Dioecious","dioecious","none",0,"Tube","actinomorphic",1,1,19.1,19.1,28.2,1,24,"vine","Perennial",5.1
"539","Nepenthes pervillei",46,0.664052417226376,"11_8_kaiser-bunbury_2017_seychelles_trois_feres","Caryophyllales","Nepenthaceae","Nepenthes","Nepenthes pervillei","Dioecious","dioecious","none",0,"Tube","actinomorphic",1,1,19.1,19.1,28.2,1,24,"vine","Perennial",5.1
"540","Nepenthes pervillei",36,0.549265939051579,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Caryophyllales","Nepenthaceae","Nepenthes","Nepenthes pervillei","Dioecious","dioecious","none",0,"Tube","actinomorphic",1,1,19.1,19.1,28.2,1,24,"vine","Perennial",5.1
"541","Nepenthes pervillei",51,0.379836749958198,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Caryophyllales","Nepenthaceae","Nepenthes","Nepenthes pervillei","Dioecious","dioecious","none",0,"Tube","actinomorphic",1,1,19.1,19.1,28.2,1,24,"vine","Perennial",5.1
"542","Nepeta stewartiana",12,0.589884137353586,"5_1_fang_2008_china","Lamiales","Lamiaceae","Nepeta","Nepeta stewartiana","Hermaphrodite","self_compatible","medium",50.5,"Tube","zygomorphic",40,40,30,15,22.5,10,4,"herb","Perennial",1
"543","Nephrosperma vanhoutteanum",540,0.244079693147292,"11_1_kaiser-bunbury_2017_seychelles_bernica","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"544","Nephrosperma vanhoutteanum",255,0.166872151470373,"11_2_kaiser-bunbury_2017_seychelles_casse_dent","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"545","Nephrosperma vanhoutteanum",231,0.278020873883651,"11_3_kaiser-bunbury_2017_seychelles_copolia","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"546","Nephrosperma vanhoutteanum",714,0.230397979615502,"11_4_kaiser-bunbury_2017_seychelles_reserve","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"547","Nephrosperma vanhoutteanum",111,0.405671053480604,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"548","Nephrosperma vanhoutteanum",742,0.255527948522508,"11_6_kaiser-bunbury_2017_seychelles_salazie","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"549","Nephrosperma vanhoutteanum",823,0.209177138194784,"11_7_kaiser-bunbury_2017_seychelles_tea_plantation","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"550","Nephrosperma vanhoutteanum",518,0.22464870642926,"11_8_kaiser-bunbury_2017_seychelles_trois_feres","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"551","Nephrosperma vanhoutteanum",631,0.195755419811992,"13_1_kaiser-bunbury_2011_seychelles_bernica","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"552","Nephrosperma vanhoutteanum",333,0.170067764876813,"13_2_kaiser-bunbury_2011_seychelles_casse_dent","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"553","Nephrosperma vanhoutteanum",252,0.204876928639498,"13_3_kaiser-bunbury_2011_seychelles_copolia","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"554","Nephrosperma vanhoutteanum",373,0.232879176346639,"13_4_kaiser-bunbury_2011_seychelles_la_reserve","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"555","Nephrosperma vanhoutteanum",370,0.256057359192199,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"556","Nephrosperma vanhoutteanum",400,0.215882148456399,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,1400,300,3,1,1,1500,"tree","Perennial",7.5
"557","Neptunia plena",15,0.00859090935055925,"10_1_souza_2017_brazil_chaco","Fabales","Fabaceae","Neptunia","Neptunia plena","Hermaphrodite","self_compatible","low",16.8901,"Campanulate","actinomorphic",200,40,20,1,10,6,19.1,"herb","Perennial",1
"558","Northea hornei",13,0.216981519629936,"11_3_kaiser-bunbury_2017_seychelles_copolia","Ericales","Sapotaceae","Northea","Northia seychellana","Hermaphrodite","partially_self_compatible","low",9.01509166666667,"Campanulate","actinomorphic",500,50,50,12,6.5,8,5,"tree","Perennial",12
"559","Northea hornei",8,0.683798416731832,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Ericales","Sapotaceae","Northea","Northia seychellana","Hermaphrodite","partially_self_compatible","low",9.01509166666667,"Campanulate","actinomorphic",500,50,50,12,6.5,8,5,"tree","Perennial",12
"560","Northea hornei",27,0.473078484282321,"13_2_kaiser-bunbury_2011_seychelles_casse_dent","Ericales","Sapotaceae","Northea","Northia seychellana","Hermaphrodite","partially_self_compatible","low",9.01509166666667,"Campanulate","actinomorphic",500,50,50,12,6.5,8,5,"tree","Perennial",12
"561","Northea hornei",33,0.193010981076584,"13_3_kaiser-bunbury_2011_seychelles_copolia","Ericales","Sapotaceae","Northea","Northia seychellana","Hermaphrodite","partially_self_compatible","low",9.01509166666667,"Campanulate","actinomorphic",500,50,50,12,6.5,8,5,"tree","Perennial",12
"562","Northea hornei",39,0.31523205243158,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Ericales","Sapotaceae","Northea","Northia seychellana","Hermaphrodite","partially_self_compatible","low",9.01509166666667,"Campanulate","actinomorphic",500,50,50,12,6.5,8,5,"tree","Perennial",12
"563","Ochna kirkii",52,0.808839792611209,"13_4_kaiser-bunbury_2011_seychelles_la_reserve","Malpighiales","Ochnaceae","Ochna","Ochna kirkii","Hermaphrodite","self_compatible","low",10.0032333333333,"Open","actinomorphic",50,12,45,45,11.1,13,9,"shrub","Perennial",1.2
"564","Ochna mauritiana",111,0.175020404597493,"14_1_kaiser-bunbury_2010_mauritius_control","Malpighiales","Ochnaceae","Ochna","Ochna mauritiana","Hermaphrodite","partially_self_compatible","low",7.97370833333334,"Open","actinomorphic",120,10,100,19.1,5,1.5,9,"shrub","Perennial",4.75
"565","Ochna mauritiana",6,0.410341668985509,"14_2_kaiser-bunbury_2010_mauritius_restored","Malpighiales","Ochnaceae","Ochna","Ochna mauritiana","Hermaphrodite","partially_self_compatible","low",7.97370833333334,"Open","actinomorphic",120,10,100,19.1,5,1.5,9,"shrub","Perennial",4.75
"566","Olea lancea",37,0.232220732737216,"14_1_kaiser-bunbury_2010_mauritius_control","Lamiales","Oleaceae","Olea","Olea lancea","Hermaphrodite","partially_self_compatible","low",8.07035,"Open","actinomorphic",6000,60,30,4,0.5,0.5,4,"tree","Perennial",4
"567","Olea lancea",14,0.345783623173469,"14_2_kaiser-bunbury_2010_mauritius_restored","Lamiales","Oleaceae","Olea","Olea lancea","Hermaphrodite","partially_self_compatible","low",8.07035,"Open","actinomorphic",6000,60,30,4,0.5,0.5,4,"tree","Perennial",4
"568","Olearia phlogopappa",4,0.505762504472783,"6_1_inouye_1988_australia","Asterales","Asteraceae","Olearia","Olearia phlogopappa","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",25,25,100,22.5,8,8,9.5,"shrub","Perennial",0.75
"569","Onosma confertum",131,0.199616460153427,"5_1_fang_2008_china","Boraginales","Boraginaceae","Onosma","Onosma confertum","Hermaphrodite","self_compatible","low",13.86245,"Tube","actinomorphic",50,5,20,7.5,14.5,15.5,4,"herb","Perennial",0.5
"570","Opuntia bergeriana",13,0.94424258380104,"10_1_souza_2017_brazil_chaco","Caryophyllales","Cactaceae","Opuntia","Opuntia elatior","Hermaphrodite","self_compatible","low",11.33175,"Open","actinomorphic",30,1,40,40,20,22.5,270,"shrub","Perennial",2
"571","Opuntia stricta",49,0.776633612049877,"1_2_bartomeus_spain_2008_fraop_1_2","Caryophyllales","Cactaceae","Opuntia","Opuntia stricta","Hermaphrodite","self_compatible","medium",63,"Open","actinomorphic",100,1,70,70,25,17.5,270,"herb","Perennial",0.26
"572","Opuntia stricta",57,0.536117834378995,"1_5_bartomeus_spain_2008_miqop_1_2","Caryophyllales","Cactaceae","Opuntia","Opuntia stricta","Hermaphrodite","self_compatible","medium",63,"Open","actinomorphic",100,1,70,70,25,17.5,270,"herb","Perennial",0.26
"573","Opuntia stricta",24,0.467043511981405,"1_6_bartomeus_spain_2008_selop_1_2","Caryophyllales","Cactaceae","Opuntia","Opuntia stricta","Hermaphrodite","self_compatible","medium",63,"Open","actinomorphic",100,1,70,70,25,17.5,270,"herb","Perennial",0.26
"574","Opuntia sulphurea",9,0.637212059037258,"15_1_peralta_2006_mendoza_site_1","Caryophyllales","Cactaceae","Opuntia","Opuntia sulphurea","Hermaphrodite","self_compatible","low",12.91385,"Open","actinomorphic",50,1,52.5,52.5,32.5,45,270,"shrub","Perennial",0.18
"575","Opuntia sulphurea",6,0.554183480792248,"15_2_peralta_2006_mendoza_site_2","Caryophyllales","Cactaceae","Opuntia","Opuntia sulphurea","Hermaphrodite","self_compatible","low",12.91385,"Open","actinomorphic",50,1,52.5,52.5,32.5,45,270,"shrub","Perennial",0.18
"576","Opuntia sulphurea",6,0.548418080571061,"15_3_peralta_2006_mendoza_site_3","Caryophyllales","Cactaceae","Opuntia","Opuntia sulphurea","Hermaphrodite","self_compatible","low",12.91385,"Open","actinomorphic",50,1,52.5,52.5,32.5,45,270,"shrub","Perennial",0.18
"577","Opuntia sulphurea",13,0.563103229701399,"15_4_peralta_2006_mendoza_site_4","Caryophyllales","Cactaceae","Opuntia","Opuntia sulphurea","Hermaphrodite","self_compatible","low",12.91385,"Open","actinomorphic",50,1,52.5,52.5,32.5,45,270,"shrub","Perennial",0.18
"578","Origanum vulgare",306,0.146219906163057,"5_1_fang_2008_china","Lamiales","Lamiaceae","Origanum","Origanum vulgare","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",100,15,35,4,7.5,18.5,4,"herb","Perennial",0.5
"579","Orites lancifolia",96,0.385326673009447,"6_1_inouye_1988_australia","Proteales","Proteaceae","Orites","Orites lancifolius","Hermaphrodite","self_compatible","low",11.2145,"Tube","actinomorphic",9500,30,40,5,4.1,8,2,"shrub","Perennial",1
"580","Oxalis violacea",11,0.561432837936456,"16_1_burkle_usa_2013","Oxalidales","Oxalidaceae","Oxalis","Oxalis violacea","Hermaphrodite","self_incompatible","low",13,"Campanulate","actinomorphic",20,1,200,50,24.1,0.75,71,"herb","Perennial",0.15
"581","Oxylobium ellipticum",37,0.307872239388185,"6_1_inouye_1988_australia","Fabales","Fabaceae","Oxylobium","Oxylobium ellipticum","Hermaphrodite","partially_self_compatible","low",11.80545,"Papilionaceous","zygomorphic",200,40,55,7.1,9,5,9,"shrub","Perennial",1
"582","Pandanus barklyi",74,0.393226974104312,"14_2_kaiser-bunbury_2010_mauritius_restored","Pandanales","Pandanaceae","Pandanus","Pandanus barkleyi","Dioecious","dioecious","none",0,"Brush","actinomorphic",300,100,100,2,2,1,1,"shrub","Perennial",4.5
"583","Pandanus rigidifolius",6,0.207386423544473,"14_2_kaiser-bunbury_2010_mauritius_restored","Pandanales","Pandanaceae","Pandanus","Pandanus rigidifolius","Monoecious","monoecious","none",0,"Brush","actinomorphic",900,300,100,2,2,1,1,"shrub","Perennial",2.5
"584","Pandanus wiehii",6,0.491869918175543,"14_2_kaiser-bunbury_2010_mauritius_restored","Malpighiales","Pandaceae","Pandanus","Pandanus wiehei","Monoecious","monoecious","none",0,"Brush","actinomorphic",1200,400,100,2,2,1,1,"shrub","Perennial",4
"585","Paragenipa lancifolia",50,0.0932194340401136,"11_1_kaiser-bunbury_2017_seychelles_bernica","Gentianales","Rubiaceae","Paragenipa","Paragenipa wrightii","Hermaphrodite","self_compatible","low",14.7430230769231,"Campanulate","actinomorphic",10,2,10,10,5.5,5,81.6153333333334,"tree","Perennial",5.5
"586","Paragenipa lancifolia",26,0.137529947274908,"11_2_kaiser-bunbury_2017_seychelles_casse_dent","Gentianales","Rubiaceae","Paragenipa","Paragenipa wrightii","Hermaphrodite","self_compatible","low",14.7430230769231,"Campanulate","actinomorphic",10,2,10,10,5.5,5,81.6153333333334,"tree","Perennial",5.5
"587","Paragenipa lancifolia",33,0.236996704437411,"11_3_kaiser-bunbury_2017_seychelles_copolia","Gentianales","Rubiaceae","Paragenipa","Paragenipa wrightii","Hermaphrodite","self_compatible","low",14.7430230769231,"Campanulate","actinomorphic",10,2,10,10,5.5,5,81.6153333333334,"tree","Perennial",5.5
"588","Paragenipa lancifolia",97,0.187555518764195,"11_4_kaiser-bunbury_2017_seychelles_reserve","Gentianales","Rubiaceae","Paragenipa","Paragenipa wrightii","Hermaphrodite","self_compatible","low",14.7430230769231,"Campanulate","actinomorphic",10,2,10,10,5.5,5,81.6153333333334,"tree","Perennial",5.5
