"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"142","Asterales","Asteraceae","Aster","Species_all_Aster asa-grayi","Hermaphrodite","self_incompatible","none",15.085684055697,"Open","actinomorphic",15,1,22.5,22.5,10,3,100,"herb","Perennial",0.24
"143","Asterales","Asteraceae","Aster","Species_all_Aster diplostephioides","Hermaphrodite","self_incompatible","none",15.1772299650392,"Capitulum","actinomorphic",5,1,15.3,15.3,30,5,200,"herb","Perennial",0.35
"144","Asterales","Asteraceae","Aster","Species_all_Aster glehnii","Hermaphrodite","self_incompatible","none",14.5276065794333,"Capitulum","actinomorphic",75,75,30,30,14.1911996222895,3,35,"herb","Perennial",1.35
"145","Asterales","Asteraceae","Aster","Species_all_Aster iinumae","Hermaphrodite","self_incompatible","none",14.540781373187,"Capitulum","actinomorphic",10,1,29.1,29.1,1.5,1,75,"herb","Perennial",0.75
"146","Asterales","Asteraceae","Aster","Species_all_Aster oreophilus","Hermaphrodite","self_incompatible","none",14.8553690214746,"Capitulum","actinomorphic",20,1,29.1,29.1,14.3601793456701,5,75,"herb","Perennial",0.4
"147","Asterales","Asteraceae","Aster","Species_all_Aster salicifolius","Hermaphrodite","self_incompatible","none",14.8527721604532,"Capitulum","actinomorphic",15,15,4,4,7,3,40,"herb","Perennial",1.05
"148","Asterales","Asteraceae","Aster","Species_all_Aster satsumensis","Hermaphrodite","self_incompatible","none",14.8639633487064,"Capitulum","actinomorphic",15,15,19.1,19.1,13.4014428460768,3,75,"herb","Perennial",0.5
"149","Asterales","Asteraceae","Aster","Species_all_Aster souliei","Hermaphrodite","self_incompatible","none",15.02192782726,"Capitulum","actinomorphic",2,1,13.2,13.2,10,5,200,"herb","Perennial",0.235
"150","Asterales","Asteraceae","Aster","Species_all_Aster subulatus","Hermaphrodite","self_compatible","none",18.600810724799,"Capitulum","actinomorphic",100,20,13,13,13,3,35,"herb","Short lived",0.15
"151","Asterales","Asteraceae","Aster","Species_all_Aster vestitus","Hermaphrodite","self_incompatible","none",14.2022697915347,"Capitulum","actinomorphic",1,1,80,80,15,5,75,"herb","Perennial",0.95
"152","Asterales","Asteraceae","Aster","Species_all_Aster yunnanensis","Hermaphrodite","self_incompatible","none",14.4167024824256,"Capitulum","actinomorphic",5,1,62.5,62.5,9.1,5,75,"herb","Perennial",0.525
"153","Saxifragales","Saxifragaceae","Astilbe","Species_all_Astilbe thunbergii","Hermaphrodite","self_compatible","none",16.8695513614572,"Brush","actinomorphic",300,300,25,6,2,1.8,100,"herb","Perennial",0.9
"154","Fabales","Fabaceae","Astragalus","Species_all_Astragalus alpinus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,15,24,9,12,12,7,"herb","Perennial",0.14
