"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Pollen_per_flower"
"Thaspium aureum atropurpurem","Apiales","Apiaceae","Thaspium","Thaspium trifoliatum","Hermaphrodite","partially_self_compatible","low",21.25,"Open","actinomorphic",150,2.5,1,1.42,2,"herb","Perennial",0.6,14934
"Thlaspi arvense","Brassicales","Brassicaceae","Thlaspi","Thlaspi arvense","Hermaphrodite","partially_self_compatible","medium",40,"Open","actinomorphic",150,5,6.45053333333333,0.2,12,"herb","Short lived",0.3,14694
"Thymus mastichina","Lamiales","Lamiaceae","Thymus","Thymus mastichina","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",250,3,14,20,4,"shrub","Perennial",0.4,2338
"Tibetia himalaica","Fabales","Fabaceae","Tibetia","Tibetia himalaica","Hermaphrodite","self_compatible","low",18.70745,"Papilionaceous","zygomorphic",1,8,2.5,1,32.7544166666667,"herb","Perennial",0.673075,2622
"Tournefortia rufo-sericea","Boraginales","Boraginaceae","Tournefortia","Tournefortia rufo-sericea","Hermaphrodite","self_compatible","high",80,"Tube","actinomorphic",1351.38,4,5,1,4,"shrub","Perennial",1.5,19888
"Tribulus cistoides","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus cistoides","Hermaphrodite","self_compatible","medium",36,"Open","actinomorphic",30,25,0.5,4,17.5,"herb","Short lived",2.8,88252
"Trifolium arvense","Fabales","Fabaceae","Trifolium","Trifolium arvense","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",100,2,5,4,4,"herb","Short lived",0.25,320
"Trifolium campestre","Fabales","Fabaceae","Trifolium","Trifolium campestre","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",150,3,4.75,1,4,"herb","Short lived",0.15,366.8
"Trifolium dubium","Fabales","Fabaceae","Trifolium","Trifolium dubium","Hermaphrodite","self_compatible","high",100,"Papilionaceous","actinomorphic",100,8.5,8.5,1,2,"herb","Short lived",0.27,295.8
"Trifolium pratense","Fabales","Fabaceae","Trifolium","Trifolium pratense","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",200,6.75,15,7,2.5,"herb","Perennial",0.325,2856.27
"Trifolium repens","Fabales","Fabaceae","Trifolium","Trifolium repens","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",75,3,9,3,4,"herb","Perennial",0.2,9413.4
"Specularia perfoliata","Asterales","Campanulaceae","Triodanis","Triodanis perfoliata","Hermaphrodite","self_compatible","medium",100,"Open","actinomorphic",20,10.5,5.25,4.5,200,"herb","Short lived",0.55,540
"Tuberaria guttata","Malvales","Cistaceae","Tuberaria","Tuberaria guttata","Hermaphrodite","self_compatible","high",90,"Open","actinomorphic",5,11.5,3,1,60,"herb","Short lived",0.15,5538
"Ulex australis","Fabales","Fabaceae","Ulex","Ulex parviflorus","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",750,2.5,7.25,7,2,"shrub","Perennial",1,19000
"Vaccinium myrtilloides","Ericales","Ericaceae","Vaccinium","Vaccinium myrtilloides","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","actinomorphic",50,4.4,6,6,63,"shrub","Perennial",0.4,20655
"Vaccinium myrtillus","Ericales","Ericaceae","Vaccinium","Vaccinium myrtillus","Hermaphrodite","self_compatible","medium",35,"Tube","actinomorphic",50,5.8,5,4.7,90.8,"shrub","Perennial",0.5,52380
"Vaccinium uliginosum","Ericales","Ericaceae","Vaccinium","Vaccinium uliginosum","Hermaphrodite","partially_self_compatible","medium",40,"Campanulate","actinomorphic",50,3.25,4.5,3.8,84.9,"shrub","Perennial",0.75,21.592
"Vaccinium vitis-idaea","Ericales","Ericaceae","Vaccinium","Vaccinium vitis-idaea","Hermaphrodite","partially_self_compatible","medium",35,"Campanulate","actinomorphic",50,4.8,6.5,6.9,64.1,"shrub","Perennial",0.2,48979
"Verbena bracteosa","Lamiales","Verbenaceae","Verbena","Verbena bracteata","Hermaphrodite","self_compatible","medium",33,"Tube","zygomorphic",100,2.1,7,0.6,4,"herb","Short lived",0.3,846
"Verbena stricta","Lamiales","Verbenaceae","Verbena","Verbena stricta","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",250,7,6,1.5,5,"herb","Short lived",0.75,3523
"Veronica arvensis","Lamiales","Plantaginaceae","Veronica","Veronica arvensis","Hermaphrodite","self_compatible","medium",50.5,"Open","actinomorphic",2,3,1,0.7,30,"herb","Short lived",0.125,520
"Veronica beccabunga","Lamiales","Plantaginaceae","Veronica","Veronica beccabunga","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",60,2,6,3,61,"herb","Perennial",0.45,1290
"Veronica chamaedrys","Lamiales","Plantaginaceae","Veronica","Veronica chamaedrys","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",4,11,1,4,16,"herb","Perennial",0.195,7123
"Veronica peregrina","Lamiales","Plantaginaceae","Veronica","Veronica peregrina","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",2,2.1,1.8,0.25,30,"herb","Short lived",0.175,201
"Veronica_polita","Lamiales","Plantaginaceae","Veronica","Veronica polita","Hermaphrodite","self_compatible","low",21.28005,"Open","zygomorphic",15,5.5,2,1.3,11.75,"herb","Short lived",0.15,2902
"Veronica serpyllifolia","Lamiales","Plantaginaceae","Veronica","Veronica serpyllifolia","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",40,8,2.8,2.25,59,"herb","Perennial",0.125,3303
"Vicia cracca","Fabales","Fabaceae","Vicia","Vicia cracca","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",250,6.5,11,11,5.5,"vine","Perennial",1,7467
"Vicea lutea","Fabales","Fabaceae","Vicia","Vicia lutea","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,11.25,22.5,2,4.5,"herb","Short lived",0.75,19514
"Vicia sativa","Fabales","Fabaceae","Vicia","Vicia sativa","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",50,8.5,20,1.1,5.6,"herb","Short lived",0.27,6119
"Viola cunninghamii","Malpighiales","Violaceae","Viola","Viola cunninghamii","Hermaphrodite","partially_self_compatible","low",10,"Open","zygomorphic",5,12,8,1.75,25,"herb","Perennial",0.025,10333
"Wahlenbergia albomarginata","Asterales","Campanulaceae","Wahlenbergia","Wahlenbergia albomarginata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",1,17.5,11,7,379,"herb","Perennial",0.05,27467
"Zea mays","Poales","Poaceae","Zea","Zea mays","Monoecious","monoecious","none",0,"Tube","actinomorphic",3289.59,6,12.5,45,1,"herb","Short lived",2.5,14636
"Zizia aurea","Apiales","Apiaceae","Zizia","Zizia aurea","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",200,3,6,0.5,2,"herb","Perennial",0.55,9914
