Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,,,,,,,,,,,,,,,,,,,,
Fabales,Asteraceae,Baccharis,Baccharis crispa,NA,Baccharis aff crispa,,,,,,,,,,,,,,,,,,,,
Asterales,Plantaginaceae,Monttea,Monttea aphylla,NA,Monttea aphylla,,,,,,,,,,,,,,,,,,,,
Lamiales,Brassicaceae,Descurainia,Descurainia sp,NA,Descurainia sp,,,,,,,,,,,,,,,,,,,,
Brassicales,Loasaceae,Mentzelia,Mentzelia albescens,NA,Mentzelia albescens,,,,,,,,,,,,,,,,,,,,
Cornales,Malvaceae,Lecanophora,Lecanophora heterophylla,NA,Lecanophora heterophylla,,,,,,,,,,,,,,,,,,,,
Malvales,Anacardiaceae,Schinus,Schinus fasciculata,NA,Schinus aff fasciculata,,,,,,,,,,,,,,,,,,,,
Sapindales,Asteraceae,Proustia,Proustia cuneifolia,NA,Proustia cuneifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Nyctaginaceae,Mirabilis,Mirabilis ovata,NA,Oxybaphus obatus,,,,,,,,,,,,,,,,,,,,
NA,Solanaceae,Lycium,Lycium chilense,NA,Lycium chilense,,,,,,,,,,,,,,,,,,,,
Solanales,Cactaceae,Echinopsis,Echinopsis candicans,NA,Trichocereus candicans,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Papaveraceae,Fumaria,Fumaria capreolata,NA,Fumaria capreolata,,,,,,,,,,,,,,,,,,,,
Ranunculales,Apocynaceae,Philibertia,Philibertia gilliesii,NA,Philibertia gilliesii,,,,,,,,,,,,,,,,,,,,
Gentianales,Caryophyllaceae,Cerastium,Cerastium arvense,NA,Cerastium arvense,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Fabaceae,Hoffmannseggia,Hoffmannseggia eremophila,NA,Hoffmannseggia eremophila,,,,,,,,,,,,,,,,,,,,
Fabales,Cactaceae,Echinopsis,Echinopsis strigosa,NA,Trichocereus strigosus,,,,,,,,,,,,,,,,,,,,
NA,Geraniaceae,Erodium,Erodium sp,NA,Erodium sp,,,,,,,,,,,,,,,,,,,,
Geraniales,Verbenaceae,Mulguraea,Mulguraea aspera,NA,Junellia aspera,,,,,,,,,,,,,,,,,,,,
Lamiales,Plantaginaceae,Veronica,Veronica polita,NA,Veronica polita,,,,,,,,,,,,,,,,,,,,
Lamiales,Geraniaceae,Erodium,Erodium cicutarium,NA,Erodium cicatarium,,,,,,,,,,,,,,,,,,,,
Geraniales,Nyctaginaceae,Bougainvillea,Bougainvillea spinosa,NA,Bougainvillea spinosa,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Solanaceae,Lycium,Lycium tenuispinosum,NA,Lycium tenuispinosum,,,,,,,,,,,,,,,,,,,,
Solanales,Verbenaceae,Junellia,Junellia crithmifolia,NA,Glandularia crithmifolia,,,,,,,,,,,,,,,,,,,,
Lamiales,Boraginaceae,Heliotropium,Heliotropium sp,NA,Heliotropium sp,,,,,,,,,,,,,,,,,,,,
Boraginales,Solanaceae,Lycium,Lycium gilliesianum,NA,Lycium gilliesianum,,,,,,,,,,,,,,,,,,,,
Solanales,Cactaceae,Pyrrhocactus,Pyrrhocactus pachacoensis,NA,Pyrrhocactus pachacoensis,,,,,,,,,,,,,,,,,,,,
NA,Polygalaceae,Bredemeyera,Bredemeyera microphylla,NA,Bredemeyera microphylla,,,,,,,,,,,,,,,,,,,,
Fabales,Boraginaceae,Cryptantha,Cryptantha sp,NA,Cryptantha sp,,,,,,,,,,,,,,,,,,,,
Boraginales,Lamiaceae,Vitex,Vitex trifolia,NA,Vitex rotundifolia,,,,,,,,,,,,,,,,,,,,
Lamiales,Euphorbiaceae,Mallotus,Mallotus japonicus,NA,Mallotus japonicus,,,,,,,,,,,,,,,,,,,,
Malpighiales,Cyperaceae,Scleria,Scleria terrestris,NA,Scleria terrestris,,,,,,,,,,,,,,,,,,,,
Poales,Phyllanthaceae,Glochidion,Glochidion acuminatum,NA,Glochidion acuminatum,,,,,,,,,,,,,,,,,,,,
Malpighiales,Pittosporaceae,Pittosporum,Pittosporum tobira,NA,PittosPorum tobira,,,,,,,,,,,,,,,,,,,,
Apiales,Melastomataceae,Melastoma,Melastoma malabathricum,NA,Melastoma candidum,,,,,,,,,,,,,,,,,,,,
Myrtales,Primulaceae,Ardisia,Ardisia sieboldii,NA,Ardisia sieboldii,,,,,,,,,,,,,,,,,,,,
Ericales,Rubiaceae,Mussaenda,Mussaenda parviflora,NA,Musaenda parviflora,,,,,,,,,,,,,,,,,,,,
Gentianales,Theaceae,Schima,Schima wallichii,NA,Schima wallichii,,,,,,,,,,,,,,,,,,,,
Ericales,Fagaceae,Castanopsis,Castanopsis sieboldii,NA,Castanopsis sieboldii,,,,,,,,,,,,,,,,,,,,
Fagales,Primulaceae,Ardisia,Ardisia quinquegona,NA,Ardisia quinquegona,,,,,,,,,,,,,,,,,,,,
Ericales,Staphyleaceae,Euscaphis,Euscaphis japonica,NA,Euscaphis japonica,,,,,,,,,,,,,,,,,,,,
Crossosomatales,Elaeocarpaceae,Elaeocarpus,Elaeocarpus japonicus,NA,Elaeocarpus japonicus,,,,,,,,,,,,,,,,,,,,
Oxalidales,Lauraceae,Litsea,Litsea japonica,NA,Litsea japonica,,,,,,,,,,,,,,,,,,,,
Laurales,Araliaceae,Dendropanax,Dendropanax trifidus,NA,Dendropanax trifidus,,,,,,,,,,,,,,,,,,,,
Apiales,Rhizophoraceae,Kandelia,Kandelia candel,NA,Kandetia candel,,,,,,,,,,,,,,,,,,,,
Malpighiales,Lamiaceae,Callicarpa,Callicarpa japonica,NA,Callicarpa japonica,,,,,,,,,,,,,,,,,,,,
Lamiales,Rutaceae,Tetradium,Tetradium glabrifolium,NA,Euodia meliifolia,,,,,,,,,,,,,,,,,,,,
Sapindales,Asteraceae,Cirsium,Cirsium brevicaule,NA,Cirsium brevicaule,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Youngia,Youngia japonica,NA,Youngia japonica,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Youngia,Youngia japonica,NA,Youngia japonica,,,,,,,,,,,,,,,,,,,,
Asterales,Ranunculaceae,Ranunculus,Ranunculus sieboldii,NA,Ranunculus sieboldii,,,,,,,,,,,,,,,,,,,,
Ranunculales,Phyllanthaceae,Glochidion,Glochidion zeylanicum,NA,Glochidion zeylanicum,,,,,,,,,,,,,,,,,,,,
Malpighiales,Lythraceae,Lagerstroemia,Lagerstroemia subcostata,NA,Lagerstroemia subcostata,,,,,,,,,,,,,,,,,,,,
Myrtales,Vitaceae,Ampelopsis,Ampelopsis glandulosa,brevipedunculata,Ampetopsis brevipedunculata,,,,,,,,,,,,,,,,,,,,
Vitales,Lamiaceae,Clerodendrum,Clerodendrum trichotomum,NA,Clerodendrum trichotomum,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Aster,Aster asa-grayi,NA,Aster asa-grayi,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Aster,Aster asa-grayi,NA,Aster asa-grayi,,,,,,,,,,,,,,,,,,,,
Asterales,Primulaceae,Maesa,Maesa tenera,NA,Maesa tenera,,,,,,,,,,,,,,,,,,,,
Ericales,Cannabaceae,Trema,Trema orientalis,NA,Trema orientalis,,,,,,,,,,,,,,,,,,,,
Rosales,Cannabaceae,Trema,Trema orientalis,NA,Trema orientalis,,,,,,,,,,,,,,,,,,,,
Rosales,Sabiaceae,Meliosma,Meliosma rigida,NA,Meliosma rigida,,,,,,,,,,,,,,,,,,,,
Proteales,Rubiaceae,Wendlandia,Wendlandia formosana,NA,Wendtandia formosana,,,,,,,,,,,,,,,,,,,,
Gentianales,Hydrangeaceae,Deutzia,Deutzia naseana,NA,Deutzia naseana,,,,,,,,,,,,,,,,,,,,
