network number,site ID,habitat type,plant,family (plant),growth form,taxonomic resolution plant,pollinator,taxonomic resolution (pollinator),"individuals caught (1=yes, 0=no)",family (pollinator),order (pollinator),group (pollinator) ,interaction strength,Identifier,Literature used,Comment
cof340844,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Chrysotoxum continum (Bezzi, 1915)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340844,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,Hypotrigona sp.1,morphospecies (genus),1,Apidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340844,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Megachile venusta (Smith, 1853)",Species,1,Megachilidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,"6,7,8",
cof340844,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Meliponula ferruginea (Lepeletier, 1841)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,3,C. Eardley,2,
cof340844,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Phytomia bulligera (Austen, 1909)",Species,1,Syrphidae,Diptera,Syrphid,8,A. Ssymank,15-26*,
cof340844,cof3,coffee plantation,Argemone mexicana,Papaveraceae,herbaceous,Species,Lasioglossum sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,2,C. Eardley,1,
cof340844,cof3,coffee plantation,Argemone mexicana,Papaveraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,5,A. Claßen,14,
cof340844,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,Halictus sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,2,C. Eardley,1,
cof340844,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,Halictus sp.5,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340844,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,44,A. Claßen,14,
cof340844,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,"Ceratina moerenhouti (Vachal, 1903)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,5,
cof340844,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,"Chrysotoxum continum (Bezzi, 1915)",Species,1,Syrphidae,Diptera,Syrphid,2,A. Ssymank,15-26*,
cof340844,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,Hypotrigona sp.1,morphospecies (genus),1,Apidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340844,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,"Phytomia bulligera (Austen, 1909)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340844,cof3,coffee plantation,Celosia schweinfurthiana,Amaranthaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
cof340844,cof3,coffee plantation,Coffea arabica,Rubiaceae,shrubby,Species,Nomia sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340844,cof3,coffee plantation,Coffea arabica,Rubiaceae,shrubby,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,55,A. Claßen,14,
cof340844,cof3,coffee plantation,Coffea arabica,Rubiaceae,shrubby,Species,"Phytomia bulligera (Austen, 1909)",Species,1,Syrphidae,Diptera,Syrphid,5,A. Ssymank,15-26*,
cof340844,cof3,coffee plantation,Commelina benghalensis,Commelinaceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340844,cof3,coffee plantation,Commelina benghalensis,Commelinaceae,herbaceous,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340844,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Phytomia bulligera (Austen, 1909)",Species,1,Syrphidae,Diptera,Syrphid,4,A. Ssymank,15-26*,
cof340844,cof3,coffee plantation,Indigofera spicata,Fabaceae,herbaceous,Species,Nomia sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340844,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
cof340844,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340844,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Nomia sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340844,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Patellapis sp.12,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340844,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Patellapis sp.17,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340891,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,5,A. Claßen,14,
cof340891,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,15,A. Claßen,14,
cof340891,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340891,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,"Phytomia bulligera (Austen, 1909)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340891,cof3,coffee plantation,Commelina benghalensis,Commelinaceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340891,cof3,coffee plantation,Commelina benghalensis,Commelinaceae,herbaceous,Species,Syrphidae Commelina,observation,0,Syrphidae,Diptera,Syrphid,1,,,
cof340891,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,Lasioglossum sp.14,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340891,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340891,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,4,A. Ssymank,15-26*,
cof340891,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Meliponula ferruginea (Lepeletier, 1841)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,3,C. Eardley,2,
cof340891,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Paragus borbonicus (Macquart, 1842)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340891,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Phytomia bulligera (Austen, 1909)",Species,1,Syrphidae,Diptera,Syrphid,4,A. Ssymank,15-26*,
cof340891,cof3,coffee plantation,Indigofera spicata,Fabaceae,herbaceous,Species,Lasioglossum sp.10,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340891,cof3,coffee plantation,Indigofera spicata,Fabaceae,herbaceous,Species,Nomia sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,8,C. Eardley,1,
cof340891,cof3,coffee plantation,Indigofera spicata,Fabaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,18,A. Claßen,14,
cof340891,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,3,A. Claßen,14,
cof340891,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
