"","species_geonet","column_label","unique.id","Order_all","Family_all","Genus_all","Species_all","subspecies","sex_or_flower_type","breeding_system","autonomous_selfing_level (none/low/medium/high)","compatibility","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","parasitic (yes/no)","flower_colour","flower_morphology","flower_pollinator_morphology","flower_symmetry","corolla_diameter_mean_mm","corolla_diameter_min_mm","corolla_diameter_max_mm","corolla_length_mean_mm","corolla_length_min_mm","corolla_length_max_mm","tube_length_mm","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_journal","doi","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n","intramorph_percentage","intramorph_n","stamen_length_mm","stamen_length_min_mm","stamen_length_max_mm","style_length_mm","style_length_min_mm","style_length_max_mm","ovary_length_mm","ovary_min_mm","ovary_max_mm","stigma_length_mm","stigma_min_mm","stigma_max_mm","pistil_length_mm","pistil_min_mm","pistil_max_mm","inflorescence_form","inflorescence_arrangement","inflorescence_length_mm","inflorescence_width_mean_mm","inflorescence_width_min_mm","inflorescence_width_max_mm","inflorescence_comment","pollen_anther_mean","pollen_anther_sd","pollen_anther_n","pollen_flower_mean","pollen_flower_min","pollen_flower_max","pollen_flower_sd","pollen_flower_n","pollen_ovule_ratio","pollen_ovule_ratio_sd","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","stamen_mean","stamen_min","stamen_max","anthers_exerted_yes_or_no","anthers_exerted_mm","pistil_mean","stigma_mean","stigma_exerted_yes_or_no","stigma_exerted_mm","flowers_inflorescences_min","flowers_inflorescences_max","flowers_inflorescences_mean","inflorescences_plant_min","inflorescences_plant_max","inflorescences_plant_mean","flower_plant_min","flower_plant_max","flower_plant_mean","flower_lifespan_days","flowering_time_days","nectar_yes_or_no","nectar_ul_day_mean","nectar_ul_day_sd","nectar_ul_day_n","total_nectar_ul_mean","total_nectar_ul_sd","total_nectar_ul_n","sugar_nectar_mg_mean","sugar_nectar_mg_sd","sugar_nectar_mg_n","sugar_concentration_mean","sugar_concentration_sd","sugar_concentration_n","fruit_type","fruit_colour","fruit_length_mm","fruit_width_mm","pollen_polar_length_um_mean","pollen_polar_length_um_min","pollen_polar_length_um_max","pollen_equatorial_length_mean_um","pollen_equatorial_length_min_um","pollen_equatorial_length_max_um","pollen_polar_equatorial","mean_pollen_tube_growth_um_min","chromosome number","ploidy","location","country","references__1","reference_journal__1","doi__5","doi__6","doi__7","doi__8","doi__9"
"745","Cimicifuga simplex","113","kato_1993.csv","Ranunculales","Ranunculaceae","Actaea","Actaea simplex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"corymb",,"25","25",,,,,,,,,,,,,,,,,,,"9",,,"no","0",,,"no","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","online: keys.trin.org.au","NA",,,,
"746","Cimicifuga yunnanensis","29","fang_huang_2008.csv","Ranunculales","Ranunculaceae","Actaea","Actaea yunnanensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"747","Cinnamomum camphora","111","kakutani_1990.csv","Laurales","Lauraceae","Cinnamomum","Cinnamomum camphora",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"748","Cinnamomum doederleinii","115","kato_2000.csv","Laurales","Lauraceae","Cinnamomum","Cinnamomum doederleinii","NA","bisexual","hermaphrodite","NA","NA","NA","flower","NA","NA","NA",,"white","campanulate","campanulate","actinomorphic","5","NA","NA","5","NA","NA","NA","shrub","perennial","1","6","3.5","NA","online: keys.trin.org.au","NA",,,,,"NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"749","Cinnamomum verum","65","kaiser_bunbury_2014_11.csv","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"750","Cipura_sp","160","souza_2018_pantanal.csv","NA","NA","NA","NA",,"NA","NA","NA","NA","NA","NA","NA","NA",,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"751","Circaea lutetiana","148","robertson_1929.csv","Myrtales","Onagraceae","Circaea","Circaea lutetiana","NA","bisexual","hermaphrodite","low","self_compatible","NA","flower","yes","rhizomes","NA",,"whitish_pink","disk","disk","actinomorphic","5.5","3","8","2.9","NA","NA","NA","herb","perennial","0.3","0.6","0.45","NA; NA; verbung & during 1998; peter & raven 1963","online: https://www.florafinder.org; online: https://www.ct-botanical-society.org; journal: plant ecology; journal: watsonia","NA","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"752","Cirsium altissimum","148","robertson_1929.csv","Asterales","Asteraceae","Cirsium","Cirsium altissimum","NA","bisexual","hermaphrodite","low","self_incompatible","NA","disc_floret","NA","NA","no",,"pink","tube","tube","actinomorphic","4.5","NA","NA","27","22","32",,"herb","biennial","NA","2.5","1.25","NA; adhikari 2003","online: http://www.missouriplants.com; thesis: effects of insect herbivory on plant architecture, flowering phenology. flower vistor sactivity and reproduction success in cirsium altissimum","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"753","Cirsium altissimum","148","robertson_1929.csv","Asterales","Asteraceae","Cirsium","Cirsium altissimum","NA","NA","NA","NA","NA","NA","ray_floret","NA","NA","no",,"NA","NA","NA","NA","absent","NA","NA","absent","NA","NA","NA","herb","biennial","NA","2.5","1.25","NA; adhikari 2003","online: http://www.missouriplants.com; thesis: effects of insect herbivory on plant architecture, flowering phenology. flower vistor sactivity and reproduction success in cirsium altissimum","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"754","Cirsium altissimum","148","robertson_1929.csv","Asterales","Asteraceae","Cirsium","Cirsium altissimum","NA","bisexual","hermaphrodite","low","self_incompatible","NA","capitulum","NA","NA","no",,"pink","disk","disk","actinomorphic","31","NA","NA","27","NA","NA","NA","herb","biennial","NA","2.5","1.25","NA; adhikari 2003","online: http://www.missouriplants.com; thesis: effects of insect herbivory on plant architecture, flowering phenology. flower vistor sactivity and reproduction success in cirsium altissimum","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"755","Cirsium arvense","13","Benadi_2014_2.csv","Asterales","Asteraceae","Cirsium","Cirsium arvense","NA","separated","dioecious","NA","dioecious","NA","disc_floret_female","yes","rhizomes","NA",,"rose-purple to pink","tube","tube","actinomorphic","0.36","0.34","0.38","2.81","2.7","2.9","NA","herb","perennial","0.3","2","1.1499999999999999","Hayden 1934; CABI Invasive Species Compendium; Kay 1987","American Journal of Botany; CABI Invasive Species Compendium; New Phytologist","https://doi.org/10.2307/2436375","https://www.cabi.org/isc/datasheet/13628#9627B38D-26C4-4696-A96E-C79F778F69AF","https://doi.org/10.1111/j.1469-8137.1985.tb02794.x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"capitulum",,"18","NA",,,,,,,,,,,,,,,,,,,,,,,,,,"yes","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA; makinto, 1914","online: pfaf.org; the botanical magazine","NA","https://doi.org/10.15281/jplantres1887.28.329_153",,,,
"756","Cirsium arvense","13","Benadi_2014_2.csv","Asterales","Asteraceae","Cirsium","Cirsium arvense","NA","separated","dioecious","NA","dioecious","NA","disc_floret_male","yes","rhizomes","NA",,"rose-purple to pink","tube","tube","actinomorphic","0.56999999999999995","0.55000000000000004","0.59","4.9000000000000004","4.8","5","NA","herb","perennial","0.3","2","1.1499999999999999","Hayden 1934; CABI Invasive Species Compendium; Kay 1989","American Journal of Botany; CABI Invasive Species Compendium; New Phytologist","https://doi.org/10.2307/2436375","https://www.cabi.org/isc/datasheet/13628#9627B38D-26C4-4696-A96E-C79F778F69AF","https://doi.org/10.1111/j.1469-8137.1985.tb02794.x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"757","Cirsium arvense","13","Benadi_2014_2.csv","Asterales","Asteraceae","Cirsium","Cirsium arvense","NA","separated","dioecious","NA","dioecious","NA","female_capitulum","yes","rhizomes","NA",,"rose-purple to pink","disk","disk","actinomorphic","2","1.5","2.5","5","3","7","NA","herb","perennial","0.3","2","1.1499999999999999","Hayden 1934; CABI Invasive Species Compendium; Kay 1986","American Journal of Botany; CABI Invasive Species Compendium; New Phytologist","https://doi.org/10.2307/2436375","https://www.cabi.org/isc/datasheet/13628#9627B38D-26C4-4696-A96E-C79F778F69AF","https://doi.org/10.1111/j.1469-8137.1985.tb02794.x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"758","Cirsium arvense","13","Benadi_2014_2.csv","Asterales","Asteraceae","Cirsium","Cirsium arvense","NA","bisexual","hermaphrodite","low","self_compatible","NA","capitulum","yes","rhizomes","NA",,"rose-purple to pink","disk","disk","actinomorphic","2","1.5","2.5","5","3","7","NA","herb","perennial","0.3","2","1.1499999999999999","Hayden 1934; CABI Invasive Species Compendium; Kay 1985","American Journal of Botany; CABI Invasive Species Compendium; New Phytologist","https://doi.org/10.2307/2436375","https://www.cabi.org/isc/datasheet/13628#9627B38D-26C4-4696-A96E-C79F778F69AF","https://doi.org/10.1111/j.1469-8137.1985.tb02794.x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"759","Cirsium arvense","13","Benadi_2014_2.csv","Asterales","Asteraceae","Cirsium","Cirsium arvense","NA","separated","dioecious","NA","dioecious","NA","male_capitulum","yes","rhizomes","NA",,"rose-purple to pink","disk","disk","actinomorphic","2","1.5","2.5","5","3","7",,"herb","perennial","0.3","2","1.1499999999999999","Hayden 1934; CABI Invasive Species Compendium; Kay 1988","American Journal of Botany; CABI Invasive Species Compendium; New Phytologist","https://doi.org/10.2307/2436375","https://www.cabi.org/isc/datasheet/13628#9627B38D-26C4-4696-A96E-C79F778F69AF","https://doi.org/10.1111/j.1469-8137.1985.tb02794.x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"760","Cirsium brevicaule","115","kato_2000.csv","Asterales","Asteraceae","Cirsium","Cirsium brevicaule","NA","bisexual","hermaphrodite","NA","self_compatible","NA","capitulum","NA","NA","NA",,"purple","disk","disk","actinomorphic","4","floret","floret","18","floret","floret","10","herb","perennial","NA","1","0.5","NA; makinto, 1914","online: pfaf.org; journal: the botanical magazine","NA","https://doi.org/10.15281/jplantres1887.28.329_153",,,,"NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"761","Cirsium discolor","148","robertson_1929.csv","Asterales","Asteraceae","Cirsium","Cirsium discolor","NA","bisexual","protandrous","NA","NA","NA","capitulum","NA","NA","NA",,"pink","disk","disk","actinomorphic","45","NA","NA","30","25","35","NA","herb","biennial","0.9","2.1","1.5","NA; NA","online: https://www.minnesotawildflowers.info; online: https://www.fs.fed.us","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"762","Cirsium effusum","113","kato_1993.csv","Asterales","Asteraceae","Cirsium","Cirsium arizonicum","bipinnatum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"763","Cirsium eriophoroides","29","fang_huang_2008.csv","Asterales","Asteraceae","Cirsium","Cirsium eriophoroides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"764","Cirsium japonicum","112","kato_1990.csv","Asterales","Asteraceae","Cirsium","Cirsium japonicum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"765","Cirsium kagamontanum","112","kato_1990.csv","Asterales","Asteraceae","Cirsium","Cirsium kagamontanum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"766","Cirsium lanceolatum","148","robertson_1929.csv","Asterales","Asteraceae","Cirsium","Cirsium lanceolatum","NA","bisexual","hermaphrodite","low","partially_self_incompatible","NA","capitulum","no","NA","no",,"pink","disk","disk","actinomorphic","44.5","38","51","38","25","51","NA","herb","annual","NA","1.5","0.75","NA; michaux 1989","online: http://www.herbiguide.com.au; journal: new zealand journal of botany","NA","https://doi.org/10.1080/0028825X.1989.10414121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"767","Cirsium lanceolatum","148","robertson_1929.csv","Asterales","Asteraceae","Cirsium","Cirsium lanceolatum","NA","bisexual","hermaphrodite","low","partially_self_incompatible","NA","disc_floret","no","NA","no",,"pink","tube","tube","actinomorphic","5","NA","NA","30","25","35","21.5","herb","annual","NA","1.5","0.75","NA; michaux 1989","online: http://www.herbiguide.com.au; journal: new zealand journal of botany","NA","https://doi.org/10.1080/0028825X.1989.10414121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"768","Cirsium microspicatum","37","Inoue_1990.csv","Asterales","Asteraceae","Cirsium","Cirsium microspicatum","NA","bisexual","hermaphrodite","low","partially_self_incompatible","NA","capitulum","NA","NA","NA",,"purple","tube","bowl","actinomorphic","40","30","50","20","NA","NA","NA","herb","annual","NA","1.5","0.75","NA","online: https://www.iewf.org","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"769","Cirsium nipponica","111","kakutani_1990.csv","Asterales","Asteraceae","Cirsium","Cirsium nipponicum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"770","Cirsium oleraceum","11","beck_2006.csv","Asterales","Asteraceae","Cirsium","Cirsium oleraceum","NA","separated & bisexual","gynodioecious","NA","self_compatible","NA","capitulum","yes","rhizomes","NA","no","pale_yellow","campanulate","campanulate","actinomorphic","40","NA","NA","25","NA","NA","NA","herb","perennial","0.4","1.2","0.8","charlesworth 1981; talavera & valdes 1976; bell et al., 2012","journal: heredity; journal: lagascalia; book: darwins biological work: some aspects reconsidered","https://doi.org/10.1038/hdy.1981.3","NA","ISBN: 1107697158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"771","Cirsium oleraceum","11","beck_2006.csv","Asterales","Asteraceae","Cirsium","Cirsium oleraceum","NA","separated & bisexual","gynodioecious","NA","self_compatible","NA","disc_floret","yes","rhizomes","NA","no","pale_yellow","campanulate","campanulate","actinomorphic","0.5","NA","NA","25","NA","NA","25","herb","perennial","0.4","1.2","0.8","charlesworth 1981; talavera & valdes 1976; bell et al., 2012","journal: heredity; journal: lagascalia; book: darwins biological work: some aspects reconsidered","https://doi.org/10.1038/hdy.1981.3","NA","ISBN: 1107697158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"772","Cirsium oleraceum","11","beck_2006.csv","Asterales","Asteraceae","Cirsium","Cirsium oleraceum","NA","separated & bisexual","gynodioecious","NA","NA","NA","ray_floret","yes","rhizomes","NA","no","NA","NA","NA","NA","absent","NA","NA","absent","NA","NA","NA","herb","perennial","0.4","1.2","0.8","charlesworth 1981; talavera & valdes 1976; bell et al., 2012","journal: heredity; journal: lagascalia; book: darwins biological work: some aspects reconsidered","https://doi.org/10.1038/hdy.1981.3","NA","ISBN: 1107697158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"773","Cirsium palustre","23","dicks_2002_2.csv","Asterales","Asteraceae","Cirsium","Cirsium palustre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"774","Cirsium pratensis","18","bundgaard_2003.csv","Asterales","Asteraceae","Cirsium","Cirsium pratense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"775","Cirsium pumilum","148","robertson_1929.csv","Asterales","Asteraceae","Cirsium","Cirsium pumilum","NA","bisexual","hermaphrodite","none","self_incompatible","NA","capitulum","yes","lateral shoots","NA",,"reddish to deep purple","bowl","bowl","actinomorphic","114","38","76","50","40","60","NA","herb","biennial","0.25","1","625","NA; NA","online: efloras.org; online: http://echinaceaproject.org","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"776","Cirsium pumilum","148","robertson_1929.csv","Asterales","Asteraceae","Cirsium","Cirsium pumilum","NA","bisexual","hermaphrodite","none","self_incompatible","NA","disc_floret","yes","lateral shoots","NA",,"reddish to deep purple","tube","tube","actinomorphic",,"NA","NA","50","40","60","50","herb","biennial","0.25","1","625","NA; NA","online: efloras.org; online: http://echinaceaproject.org","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"777","Cirsium sieboldii","114","kato_1996.csv","Asterales","Asteraceae","Cirsium","Cirsium sieboldii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"778","Cirsium suffultum","186","yamazaki_2003.csv","Asterales","Asteraceae","Cirsium","Cirsium suffultum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"779","Cirsium vulgare","11","beck_2006.csv","Asterales","Asteraceae","Cirsium","Cirsium vulgare","NA","bisexual","hermaphrodite","low","self_incompatible","NA","capitulum","yes","rhizomes","no","no","pale_purple","disk","disk","actinomorphic","26","12","40","30","NA","NA","NA","herb","biennial","0.3","2","1.1499999999999999","klinkhamer & de jong 1993; michaux 1989; NA; NA","journal: journal of ecology; journal: new zealand journal of botany; online: http://www.missouriplants.com; online: https://www.oardc.ohio-state.edu","10.2307/2261233","https://doi.org/10.1080/0028825X.1989.10414121","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"780","Cirsium vulgare","11","beck_2006.csv","Asterales","Asteraceae","Cirsium","Cirsium vulgare","NA","bisexual","hermaphrodite","low","self_incompatible","NA","disc_floret","yes","rhizomes","no","no","pale_purple","tube","tube","actinomorphic","0.5","NA","NA","30","25","35","30","herb","biennial","0.3","2","1.1499999999999999","klinkhamer & de jong 1993; michaux 1989; NA; NA","journal: journal of ecology; journal: new zealand journal of botany; online: http://www.missouriplants.com; online: https://www.oardc.ohio-state.edu","10.2307/2261233","https://doi.org/10.1080/0028825X.1989.10414121","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"781","Cirsium vulgare","11","beck_2006.csv","Asterales","Asteraceae","Cirsium","Cirsium vulgare","NA","separated","absent","NA","NA","NA","ray_floret","yes","rhizomes","NA","no","NA","NA","NA","NA","absent","NA","NA","absent","NA","NA","NA","herb","biennial","0.3","2","1.1499999999999999","klinkhamer & de jong 1993; michaux 1989; NA; NA","journal: journal of ecology; journal: new zealand journal of botany; online: http://www.missouriplants.com; online: https://www.oardc.ohio-state.edu","10.2307/2261233","https://doi.org/10.1080/0028825X.1989.10414121","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"782","Cissampelos_ovalifolia","158","souza_2018_cerrado.csv","Ranunculales","Menispermaceae","Cissampelos","Cissampelos ovalifolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"783","Cissus sicycoides","134","percival_1974.csv","Vitales","Vitaceae","Cissus","Cissus verticillata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"784","Cissus_erosa","158","souza_2018_cerrado.csv","Vitales","Vitaceae","Cissus","Cissus erosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"785","Cissus_spinosa","160","souza_2018_pantanal.csv","Vitales","Vitaceae","Cissus","Cissus spinosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"786","Cistus albidus","7","bartomeus_2008_med1ca.csv","Malvales","Cistaceae","Cistus","Cistus albidus",,,,"none","partially_self_incompatible","NA","flower",,,,,"purple_to_pink","disk","disk","actinomorphic",,,,,,,,"shrub","perennial",,,,"blasco & mateu 2013; onate & munne-bosch 2010","journal: acta botanica gallica; journal: plant biology","10.1080/12538078.1995.10515713","https://doi.org/10.1111/j.1438-8677.2009.00246.x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"787","Cistus libanotis","32","herrera_1988.csv","Malvales","Cistaceae","Cistus","Cistus libanotis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
